ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
20,20,10857,9665,323,163,135,633,34,10741,9484,269,204,170,662,122,10709,8848,493,236,219,921,52,10730,8862,493,226,214,881,48,10712,9192,516,161,108,758,73,11121,9395,580,172,96,919,21,8503,7673,209,96,97,456,23,8540,7606,239,95,59,480,15,8453,7197,301,148,127,637,27,8453,7197,301,91,78,351,15,39,381,8480,7418,316,70,51,607,15,9027,7788,362,59,87,719,0,5121,2801,2199,4205,1691,2178,4386,2546,1685,4258,1436,2822,4140,2366,1647,4634,2227,2302,4911,2187,2557,4940,2523,2417,4913,2240,2403,4818,2306,2512,4817,2082,2443,4800,2184,2616,3448,977,1602
21,21,10006,9126,266,150,130,402,19,10297,9395,213,59,84,538,0,10926,9307,383,193,217,775,39,10934,9311,384,189,208,754,39,10211,9246,197,63,152,538,0,10367,9262,391,114,128,432,0,7565,7000,150,78,85,270,12,7752,7257,121,1,15,356,0,8378,7332,224,120,143,475,24,8378,7332,224,76,83,196,10,29,428,7644,7218,102,0,87,272,0,7783,7209,234,78,50,221,0,4947,2493,2324,4593,1681,2573,4706,2680,1886,4583,1351,3232,4546,2495,1912,5288,2334,2813,5701,2327,3213,5718,2682,3036,5686,2396,3059,5562,2458,3104,5515,2142,3097,5551,2267,3284,4091,951,2120
22,22,10242,8453,623,591,286,383,64,10827,8839,878,754,244,177,132,10854,7915,1079,701,513,656,82,10862,7920,1079,682,501,621,74,10819,8788,852,761,229,222,146,11244,8759,679,814,291,563,98,7554,6420,385,372,187,209,36,7892,6559,644,450,78,102,0,7991,5984,768,485,343,392,53,7991,5984,768,353,194,157,29,61,445,7956,6655,624,428,39,128,0,8238,6830,534,503,123,218,15,3428,1668,1688,3045,1167,1570,3080,1725,1248,2999,982,2017,2805,1592,1128,3292,1534,1650,3540,1531,1869,3537,1756,1781,3505,1563,1750,3436,1598,1838,3400,1414,1751,3440,1521,1919,2284,642,1078
23,23,9924,8623,334,216,193,667,17,10138,8164,542,377,199,1108,67,10907,8763,498,288,262,1033,49,10930,8775,499,263,246,937,38,9872,7963,595,344,198,1034,63,10390,8456,507,368,328,910,5,8008,7146,207,136,133,426,13,8162,6808,317,244,151,591,25,8971,7471,366,173,190,682,41,8971,7471,366,101,124,389,14,52,454,7987,6758,328,205,143,461,34,8470,7381,267,160,152,464,4,4279,2175,1983,3944,1610,2043,4054,2342,1580,3955,1306,2649,3871,2148,1606,4386,2057,2223,4647,2021,2499,4688,2319,2369,4675,2094,2379,4617,2153,2464,4563,1949,2379,4597,2012,2585,3378,876,1687
24,24,10897,9687,298,120,182,663,19,11136,9212,604,172,355,848,0,10858,8998,425,186,220,948,32,10893,9022,425,174,213,843,28,11066,9541,529,167,178,705,0,11103,9595,684,83,215,433,0,8331,7608,163,57,111,426,9,8669,7525,301,55,241,553,0,8444,7215,275,96,157,619,17,8444,7215,275,55,101,333,4,36,425,8504,7550,255,55,145,466,0,8711,7763,363,47,183,332,0,5284,2528,2634,5241,1819,3069,5429,2864,2435,5264,1400,3864,5241,2586,2533,5657,2312,3234,5916,2265,3515,5955,2567,3388,5913,2317,3378,5838,2337,3501,5755,2072,3412,5782,2174,3608,4433,935,2388
25,25,10525,9652,188,81,104,533,15,9980,9059,158,133,91,529,8,11049,9680,332,106,106,755,34,10910,9573,327,102,101,718,31,10180,9159,181,143,121,552,6,10510,9267,281,113,91,657,10,8221,7600,123,41,69,396,13,7878,7252,86,106,17,402,2,8609,7626,216,56,78,557,24,8609,7626,216,35,38,302,3,30,359,8025,7336,97,78,38,478,3,8197,7354,159,52,34,574,7,4904,2034,2674,4796,1255,3223,4959,2183,2640,4845,1113,3732,4761,1950,2657,5270,1589,3570,5580,1482,3967,5580,1741,3839,5573,1551,3816,5465,1564,3901,5413,1423,3750,5452,1468,3984,4299,701,2849
26,26,10125,9624,124,47,80,264,15,10756,10138,165,43,107,289,14,10824,9829,219,91,123,469,12,10829,9833,219,90,122,462,12,10747,9930,120,72,311,289,89,11583,10482,315,91,315,387,97,7853,7537,72,18,50,169,7,8021,7711,66,10,25,187,13,8339,7670,140,45,78,323,9,8339,7670,140,23,48,144,2,31,281,8179,7789,42,16,94,189,1,8628,8111,113,23,88,269,3,5412,2138,3045,5529,1541,3646,5716,2621,2974,5539,1145,4394,5678,2472,3065,5943,2011,3831,6197,1914,4154,6256,2211,4045,6213,2017,4001,6130,1966,4164,6034,1779,4004,6059,1859,4200,4969,818,3089
27,27,10885,8837,280,88,124,1690,27,10932,8772,486,152,120,1676,0,10718,8036,401,145,173,1973,29,10731,8041,401,136,172,1952,27,10811,8760,471,130,147,1586,4,10694,8317,486,143,128,1726,3,8165,6930,160,46,85,989,15,8182,6876,245,60,66,943,0,8101,6435,254,77,120,1208,15,8101,6435,254,33,66,854,6,10,443,8012,6821,270,59,75,793,4,7848,6526,244,55,35,971,4,4483,2376,1919,4425,1547,2450,4591,2597,1834,4410,1485,2925,4305,2432,1705,4646,2072,2446,4858,1955,2718,4876,2329,2547,4857,2084,2484,4834,2076,2758,4791,1918,2527,4786,1969,2817,3554,1050,1801
28,28,11003,10170,133,26,64,617,14,10750,9692,229,28,93,723,55,10855,9662,217,80,99,754,51,10859,9663,217,80,99,755,51,11027,9764,256,33,93,862,29,11137,9773,203,39,57,1050,38,8481,7981,67,11,30,383,6,8298,7656,155,24,54,407,0,8339,7595,133,47,62,464,30,8339,7595,133,12,26,248,2,37,286,8389,7727,160,14,59,418,0,8413,7699,171,16,1,483,0,5608,1977,3324,5242,1037,3867,5424,1859,3431,5248,938,4310,5186,1960,3017,5564,1463,4007,5901,1339,4446,5914,1643,4271,5879,1448,4231,5833,1464,4369,5746,1291,4226,5755,1366,4389,4554,658,3254
29,29,10799,9626,152,50,62,928,6,11151,9669,368,112,85,949,60,10910,9553,286,82,116,876,28,10911,9553,286,82,116,877,28,10943,9385,269,116,100,1081,18,11065,9419,324,47,135,1082,36,8418,7699,92,18,33,584,4,8578,7692,234,31,24,552,0,8496,7628,178,47,74,549,12,8496,7628,178,16,37,270,0,20,347,8478,7778,193,33,64,406,0,8408,7790,211,19,50,390,0,6031,2559,3136,5769,1277,4097,5876,2128,3525,5608,1214,4394,5730,2095,3365,5928,1608,4199,6237,1451,4635,6242,1797,4445,6204,1638,4324,6143,1493,4650,5963,1365,4296,6009,1453,4556,4747,801,3376
30,30,9129,8487,264,34,39,305,8,10532,9231,610,5,237,435,18,10889,9244,581,136,170,652,16,10896,9251,581,136,170,649,15,10551,9140,530,4,84,743,44,10568,9020,630,75,98,428,271,6990,6573,182,12,28,207,2,7700,6998,266,4,89,334,20,8146,7078,354,85,102,437,11,8146,7078,354,47,84,162,5,30,386,7651,6974,272,4,34,315,45,7649,6892,265,40,46,165,110,4309,1174,2984,4607,653,3687,4614,1042,3378,4475,666,3809,4095,1087,2842,4968,907,3974,5420,839,4464,5413,1076,4337,5385,973,4186,5321,947,4374,5241,841,4128,5272,900,4372,3493,521,2713
31,31,10115,3115,127,28,81,6867,9,10556,3061,377,40,88,7241,12,10301,2557,220,66,113,7499,15,10304,2557,220,66,111,7499,15,10547,3113,316,51,85,7221,11,10217,2913,403,63,108,7046,13,6823,2585,74,9,54,4150,4,6926,2422,103,15,31,4315,0,7108,2192,122,35,74,4753,4,7108,2192,122,19,42,4340,0,11,382,6943,2200,93,18,45,4521,0,6864,2097,140,43,41,4463,4,4016,2545,1342,3310,1675,1354,3403,2131,1127,3303,1771,1532,3276,2149,1045,3574,2049,1447,3740,2056,1587,3769,2287,1482,3746,2105,1478,3747,2109,1638,3695,2014,1494,3697,2094,1603,2413,965,1194
32,32,9489,3033,226,32,25,6362,7,10019,2851,418,61,39,6921,5,10330,2969,270,43,66,7167,25,10342,2971,270,43,64,7165,24,9758,2752,272,61,22,6782,0,9747,2739,378,45,23,6822,0,6274,2373,128,14,18,3829,6,6600,2187,235,34,14,4138,0,6837,2264,150,26,37,4441,14,6837,2264,150,5,8,4197,0,21,192,6543,2047,163,44,25,4292,0,6653,2091,247,31,7,4313,0,3535,2269,1153,3253,1659,1369,3360,2110,1176,3266,1665,1601,3684,2572,1042,3687,2225,1403,3886,2238,1578,3907,2434,1473,3879,2233,1496,3867,2305,1562,3845,2230,1482,3847,2250,1597,2161,772,1121
33,33,10667,10050,228,56,48,325,9,10855,10028,330,79,81,380,0,10900,9747,342,96,124,466,16,10772,9669,338,94,119,417,13,10563,9727,396,65,72,326,1,10943,10086,308,82,117,275,3,8399,8010,130,33,35,206,6,8394,7797,290,73,39,215,0,8489,7713,189,64,94,319,9,8489,7713,189,37,54,145,0,34,317,8213,7624,266,47,58,229,0,8356,7865,109,73,100,217,0,5279,1838,3189,5222,913,4041,5328,1293,3797,5142,974,4168,4879,1450,3262,5565,1229,4245,5900,1122,4653,5897,1385,4512,5894,1310,4369,5815,1208,4607,5747,1133,4346,5775,1178,4597,4280,616,3159
34,34,10545,10174,113,40,56,151,5,10857,10187,284,1,101,324,0,10871,10067,224,79,122,313,52,10878,10074,224,79,122,313,52,10810,10071,302,1,107,343,0,11227,10298,177,30,142,406,0,8337,8113,71,16,37,88,4,8266,7963,117,5,18,168,0,8368,7900,129,43,63,193,29,8368,7900,129,13,21,80,4,7,214,8272,7848,173,4,24,235,0,8666,8171,133,29,53,285,0,6171,1440,4378,6129,704,5190,6185,1424,4589,5969,690,5279,5731,1242,4310,6151,864,5229,6622,812,5710,6622,1027,5595,6553,963,5415,6464,819,5645,6375,755,5387,6388,811,5577,5374,418,4454
35,35,11422,10358,361,61,96,597,15,11353,10043,565,19,79,659,4,10760,9349,423,98,106,809,34,10768,9355,423,98,106,807,34,11539,10108,535,17,78,627,5,10713,9155,605,35,96,644,6,8689,8073,207,19,60,336,9,8557,7937,274,4,70,270,0,8353,7461,255,42,71,518,19,8353,7461,255,15,35,272,0,24,291,8844,8113,367,8,52,309,0,8018,7383,239,25,43,347,0,6008,2081,3645,5614,829,4506,5754,1687,3915,5633,765,4868,5426,1544,3702,5885,1159,4634,6245,1092,5037,6249,1342,4907,6225,1186,4814,6192,1139,5053,6143,1093,4774,6143,1157,4986,5001,487,3720
36,36,10877,10206,258,61,67,309,21,10895,9979,365,123,20,518,25,10908,9795,339,108,118,449,22,10853,9766,337,104,113,412,21,10692,9753,381,118,115,378,27,10924,9718,424,68,120,471,17,8394,7990,148,28,44,194,10,8494,7947,240,27,24,248,19,8521,7758,224,69,73,312,14,8521,7758,224,48,42,136,7,9,297,8423,7802,220,38,91,231,19,8794,8024,272,24,100,330,19,5025,2142,2716,4656,1132,3189,4769,1958,2620,4616,1032,3584,4390,1856,2366,4992,1559,3325,5283,1460,3690,5278,1790,3488,5289,1557,3465,5235,1524,3711,5193,1401,3503,5189,1470,3719,4061,820,2539
37,37,11037,10552,169,48,50,238,11,10740,10091,103,25,91,241,241,10920,10058,221,39,90,364,14,10931,10069,221,39,87,362,14,10702,10011,145,97,171,251,24,10803,10078,209,106,188,250,2,8793,8467,102,17,33,187,8,8414,7967,95,12,40,190,115,8687,8096,137,8,65,283,14,8687,8096,137,3,30,93,0,26,302,8455,8010,138,8,70,209,10,8692,8070,206,19,185,190,0,5971,1840,3919,5631,1149,4136,5793,2053,3552,5623,978,4645,5563,1850,3533,6003,1502,4397,6333,1446,4743,6354,1727,4627,6324,1514,4625,6252,1492,4760,6185,1329,4588,6217,1500,4717,5284,600,3725
38,38,10370,9717,270,52,49,312,14,11162,10118,396,101,84,506,7,10866,9749,352,110,89,509,31,10878,9757,353,110,89,496,31,10927,9863,380,93,62,579,7,11017,9948,406,70,44,587,7,7936,7549,155,19,33,191,7,8544,7928,256,16,53,273,0,8552,7821,224,61,61,321,17,8552,7821,224,20,28,96,8,36,319,8605,7981,229,10,42,342,0,8681,8020,242,36,37,353,0,5068,1520,3307,5315,844,4166,5457,1794,3427,5284,765,4519,5332,1427,3679,5939,1120,4708,6340,1039,5180,6336,1300,5036,6321,1124,4951,6277,1065,5212,6247,1016,4937,6230,1072,5158,4956,458,3746
39,39,9319,8351,345,95,85,491,17,10236,8583,816,206,180,891,0,10708,8734,756,207,149,870,30,10721,8743,756,182,135,803,26,11067,9231,851,149,157,955,0,11048,9134,777,157,141,962,119,6796,6273,188,35,56,263,8,7427,6596,396,50,155,217,0,7888,6711,447,99,96,506,17,7888,6711,447,43,46,272,9,19,341,7755,6821,506,43,160,240,0,7869,6937,495,72,135,204,0,3927,1689,2121,4176,1132,2712,4304,1979,2162,4187,1015,3172,4264,1821,2271,4891,1690,3041,5268,1676,3435,5259,2000,3259,5244,1787,3151,5185,1730,3455,5166,1594,3262,5164,1708,3456,3664,746,2128
40,40,10008,8798,455,81,68,663,26,11515,9835,591,132,13,1033,0,10764,9048,578,127,110,856,39,10780,9062,579,124,107,815,34,11737,10147,789,118,1,737,0,10974,9321,658,117,63,732,0,7297,6622,244,37,36,387,15,8484,7624,191,28,7,633,0,7979,6967,323,64,68,497,20,7979,6967,323,35,32,270,3,19,330,8733,7986,291,22,2,384,0,8286,7590,224,17,0,406,0,4295,1804,2382,4321,1046,2987,4445,1951,2296,4309,942,3367,4347,1665,2520,4994,1478,3370,5345,1436,3754,5336,1707,3629,5330,1494,3530,5283,1489,3794,5236,1332,3601,5255,1452,3803,3740,620,2394
41,41,10329,2926,512,63,78,7061,3,10778,2646,744,107,327,7344,249,10281,2596,466,62,104,7321,24,10288,2597,466,62,103,7317,23,10903,2428,764,72,265,7796,222,10255,2372,781,70,276,7124,264,6745,2395,265,32,54,4130,2,6889,2204,379,30,24,4210,0,6804,2129,283,34,75,4402,9,6804,2129,283,5,37,4052,0,2,296,7126,2187,424,51,15,4410,0,6780,2109,424,48,20,4119,4,3334,2111,1099,2755,1363,1193,2854,1799,949,2802,1173,1629,2859,1858,944,2998,1677,1272,3136,1696,1376,3146,1802,1344,3119,1657,1317,3114,1709,1405,3102,1635,1331,3094,1698,1396,2035,779,905
42,42,10314,4813,540,97,35,4979,13,11247,5105,619,127,50,5447,11,10279,4158,494,170,78,5492,24,10295,4164,494,154,74,5457,20,10603,4924,609,181,63,5044,5,10293,4619,487,262,64,4973,58,7249,3817,327,52,23,3094,9,7966,4073,397,64,17,3425,4,7209,3387,320,91,56,3386,15,7209,3387,320,52,19,3179,6,4,242,7375,3645,377,67,31,3360,0,7326,3526,299,151,30,3289,0,4607,3047,1429,3687,1778,1645,3806,2367,1301,3691,1614,2077,4041,2596,1340,4124,2190,1838,4278,2081,2106,4296,2328,1968,4313,2172,1946,4265,2191,2074,4254,2131,1935,4236,2152,2084,2814,950,1250
43,43,9872,8574,486,156,117,626,20,9861,8274,611,164,274,615,0,10793,8690,715,242,213,989,36,10813,8705,716,213,200,919,29,9234,7688,746,276,153,472,0,9842,8014,780,248,141,503,116,7377,6637,271,67,72,347,12,7197,6426,352,84,82,252,0,8015,6779,378,121,137,566,27,8015,6779,378,81,67,324,7,29,350,6891,5979,344,220,68,319,0,7256,6336,292,164,60,330,85,4648,2085,2462,4533,1412,2681,4690,2287,2235,4534,1130,3404,4489,2111,2222,5087,1970,2952,5389,1976,3255,5415,2295,3120,5375,2040,3076,5303,1964,3339,5260,1817,3142,5270,1931,3339,3927,902,2068
44,44,9417,8508,353,96,126,379,17,9780,8981,312,49,51,417,0,10801,9254,509,189,199,587,32,10814,9261,510,183,198,567,32,10949,10202,214,11,49,463,0,13063,11933,531,61,107,299,106,6830,6300,194,47,89,234,11,7225,6735,144,2,11,333,0,7948,7014,315,78,126,354,22,7948,7014,315,38,79,176,3,31,292,8132,7608,87,7,30,391,0,9319,8741,235,28,49,217,0,4517,1820,2587,4349,1198,2798,4515,1972,2392,4374,975,3399,4396,1832,2409,5244,1766,3345,5692,1800,3755,5728,2088,3640,5696,1856,3609,5644,1803,3841,5597,1668,3618,5586,1760,3826,4172,793,2418
45,45,10923,9550,446,183,106,708,31,11162,9193,542,358,263,958,10,10836,8929,590,254,164,831,27,10869,8952,593,228,148,760,24,11083,8758,635,316,313,1219,87,10864,8459,802,329,326,991,217,8870,7968,295,96,81,454,20,8752,7570,373,202,80,557,10,8882,7523,429,152,116,588,19,8882,7523,429,92,68,362,14,48,346,8603,7235,428,150,101,671,8,8650,7331,495,179,61,491,14,5567,2837,2582,4699,2159,2160,4871,2757,1978,4668,1705,2963,4800,2774,1891,5182,2683,2365,5404,2771,2490,5453,2948,2505,5414,2688,2465,5339,2698,2641,5284,2489,2481,5305,2617,2688,3954,1066,1441
46,46,10691,9392,501,167,146,574,31,10503,9389,503,142,58,479,0,10902,8879,755,272,222,763,55,10917,8887,758,253,213,737,54,10377,8913,573,177,187,539,51,10929,9099,733,114,234,613,132,8630,7810,306,94,94,364,19,8440,7668,366,77,2,339,0,8665,7298,495,170,156,495,24,8665,7298,495,73,107,241,9,31,411,8239,7223,449,108,67,372,0,8605,7445,561,100,110,390,0,5308,2809,2341,4597,2026,2125,4765,2793,1784,4554,1718,2836,4547,2746,1650,5057,2665,2230,5331,2708,2438,5352,3002,2350,5327,2732,2298,5254,2744,2510,5228,2517,2346,5237,2663,2574,3707,1140,1414
47,47,11319,8578,1250,263,149,1277,22,10469,8410,721,332,148,1008,110,10887,7847,1167,337,147,1510,55,10760,7776,1152,314,139,1361,47,10383,7699,842,284,219,1537,66,9653,7191,891,222,229,1242,7,9017,7143,824,172,112,866,10,8076,6704,435,159,91,660,30,8839,6690,809,209,87,1081,38,8839,6690,809,123,53,712,19,35,398,7692,6048,562,127,73,847,24,7647,5939,707,117,83,814,4,4307,2643,1505,3573,1587,1557,3713,2303,1215,3566,1492,2074,3534,2290,1091,3946,2168,1624,4189,2219,1791,4179,2493,1686,4173,2185,1652,4132,2257,1875,4101,2046,1704,4106,2190,1916,2604,888,951
48,48,8825,7066,758,234,84,859,34,9104,7144,799,207,155,852,1,10856,8265,1127,339,166,1097,40,10887,8283,1128,310,158,1054,37,9613,7473,1023,318,169,805,4,10699,8155,1231,319,153,1015,44,6616,5615,446,96,45,485,18,6641,5579,474,37,34,509,0,8270,6644,699,175,114,657,25,8270,6644,699,82,50,359,4,27,405,7309,6113,674,46,16,420,0,8323,6862,695,39,0,747,0,3701,1997,1562,3444,1305,1814,3550,1976,1383,3410,1138,2272,3461,1931,1365,4198,1927,2112,4608,1980,2458,4591,2321,2270,4576,2026,2243,4514,1997,2517,4485,1813,2340,4489,1923,2566,3121,973,1443
49,49,10494,9473,386,138,129,445,18,10396,8747,833,200,102,618,62,10770,8848,721,186,213,763,71,10787,8857,722,173,205,746,70,10191,8535,887,145,132,647,60,10261,8184,1247,188,220,459,33,8361,7724,237,69,75,282,11,8134,7311,384,63,36,299,33,8528,7312,455,111,142,463,41,8528,7312,455,56,91,268,27,34,285,7948,7116,408,29,46,316,30,7712,6729,510,55,44,387,0,5334,2588,2616,4993,1736,2853,5162,2654,2310,4980,1362,3618,4868,2417,2292,5204,2165,2876,5351,2112,3076,5359,2418,2941,5341,2145,2924,5278,2117,3161,5245,1957,3012,5242,2057,3185,3745,953,1868
50,50,8564,7822,275,64,121,289,34,11507,10092,600,250,149,697,6,10929,9230,531,176,219,670,69,10932,9231,531,173,217,657,63,9926,8747,662,350,9,316,0,10916,9790,555,345,40,271,1,6445,6008,155,25,83,174,16,9355,8340,399,37,150,423,0,8559,7478,316,79,159,417,45,8559,7478,316,39,109,233,25,32,327,8260,7712,314,35,10,203,0,8838,8315,322,47,28,115,0,3989,1641,2253,4972,1539,3072,5161,2234,2772,4980,1116,3864,5199,2250,2811,5635,2087,3418,5944,2139,3667,5975,2383,3592,5954,2143,3589,5889,2082,3807,5835,1917,3677,5847,2022,3825,4430,909,2433
51,51,10763,9908,346,108,123,323,26,10414,9509,278,290,247,167,36,10799,9262,539,197,163,573,43,10811,9269,539,182,156,539,38,9898,8924,228,270,218,276,36,10522,9769,225,98,139,146,20,8500,8024,168,43,78,197,12,7948,7451,172,72,109,122,2,8562,7609,319,101,107,363,28,8562,7609,319,58,61,222,14,25,254,7737,7193,126,57,114,220,0,8384,7933,161,45,84,138,0,6009,2609,3247,5689,2079,3194,5940,2919,2863,5720,1532,4188,5785,2856,2769,5993,2535,3302,6125,2540,3426,6168,2753,3415,6145,2509,3400,6060,2460,3600,6010,2293,3457,6022,2411,3611,4615,1032,2176
52,52,8332,7759,233,56,128,166,7,9334,8392,545,29,215,220,21,10858,9681,413,93,255,355,29,10862,9685,413,93,253,341,29,10446,9431,455,40,291,342,21,11195,10338,190,51,389,251,15,6295,5954,132,20,85,106,5,6805,6409,178,7,77,123,0,8207,7460,264,49,166,217,13,8207,7460,264,22,112,85,5,12,247,7669,7175,151,15,129,178,0,8488,7924,113,3,258,172,0,5192,1974,3124,5148,1665,3160,5384,2282,3005,5226,1158,4068,5502,2361,3032,6224,2311,3801,6677,2437,4094,6758,2628,4130,6722,2406,4132,6638,2351,4287,6567,2180,4150,6591,2279,4312,5302,976,2805
53,53,6593,6162,154,42,55,188,16,9567,8599,500,93,61,274,126,10779,9561,429,99,208,415,29,10784,9564,430,99,208,405,29,10510,9843,304,53,41,235,58,11091,9297,290,167,52,646,112,4794,4546,83,21,38,117,9,6962,6481,286,35,19,134,0,7951,7206,250,53,125,254,16,7951,7206,250,35,81,132,4,20,223,7719,7405,187,33,14,88,0,7892,7218,147,4,10,454,0,3546,1216,2235,3917,844,2818,4050,1475,2478,3922,663,3259,4085,1392,2562,5604,1568,3911,6427,1711,4534,6451,1987,4464,6427,1782,4405,6365,1677,4688,6314,1550,4467,6334,1632,4702,4954,673,3149
54,54,9861,9125,284,57,81,337,14,10357,9515,479,118,14,230,3,10804,9420,525,79,117,561,22,10816,9427,525,75,116,544,21,10532,9588,370,311,76,182,1,11010,9420,611,304,119,556,3,7390,6966,166,24,45,187,13,7808,7389,185,22,10,200,0,8138,7278,301,36,71,360,9,8138,7278,301,14,48,146,0,25,326,7867,7450,172,34,45,142,0,8291,7512,285,84,55,370,0,4410,2028,2218,4472,1206,2921,4594,2080,2303,4466,1084,3382,4348,1805,2351,4972,1621,3211,5286,1566,3567,5281,1861,3420,5274,1636,3361,5226,1629,3597,5201,1518,3387,5209,1601,3608,3775,644,2299
55,55,10078,9668,188,50,32,152,7,10597,9989,261,61,54,209,6,10473,9603,261,43,79,321,32,10476,9606,261,43,79,320,32,10689,9991,271,75,55,201,18,10645,9795,306,58,57,299,13,8092,7827,113,28,22,105,6,8695,8250,189,39,33,182,4,8506,7895,167,37,52,229,15,8506,7895,167,13,18,69,0,37,307,8745,8330,180,40,24,172,8,8695,8240,207,39,4,205,8,5791,2443,3108,5967,1828,3748,6113,2775,3145,5907,1590,4317,6067,2680,3209,6632,2408,4102,7052,2421,4468,6995,2591,4404,7076,2498,4303,7010,2419,4591,6964,2253,4392,6989,2374,4615,5833,1030,3294
56,56,10801,10306,234,42,82,168,20,11289,10514,386,42,100,262,0,10726,9725,302,52,89,333,27,10733,9731,302,52,87,332,27,11237,10407,396,48,91,307,0,10561,9707,386,97,76,334,0,8321,8008,138,22,55,117,12,8780,8343,235,29,20,158,0,8514,7846,205,23,56,215,15,8514,7846,205,6,31,57,0,21,348,8806,8268,279,24,46,207,0,8387,7789,303,24,53,196,0,5669,1730,3722,5912,1083,4495,6014,2051,3780,5864,920,4944,5960,1796,3976,6551,1456,4981,6982,1406,5450,7007,1653,5354,6985,1514,5270,6902,1402,5500,6901,1359,5231,6910,1393,5517,5498,567,3916
57,57,9995,9566,182,37,103,110,14,10415,9787,249,24,178,180,24,10919,9850,344,81,179,322,14,10922,9853,344,78,179,320,13,10772,9913,367,44,236,235,20,11320,10157,417,97,243,393,23,8282,7974,118,21,72,90,11,8704,8290,147,19,107,132,0,9307,8492,262,69,125,236,10,9307,8492,262,32,58,61,0,41,361,9086,8463,230,20,141,164,0,9602,8802,260,34,149,254,0,6161,3116,2794,6466,2817,3172,6626,3645,2782,6370,2812,3558,6719,3722,2863,7530,3810,3582,8069,4035,3895,8117,4273,3844,8085,4048,3818,7956,3979,3977,7908,3777,3724,7938,3923,4015,6220,2556,2814
58,58,9482,8985,221,35,60,199,13,9984,9300,331,132,30,252,9,10824,9809,336,84,111,379,9,10830,9815,336,83,111,371,8,10127,9491,282,147,40,204,0,10637,9988,266,34,58,347,0,7518,7197,130,17,42,143,5,8000,7502,229,115,9,143,0,8863,8124,220,52,84,281,5,8863,8124,220,30,47,61,0,31,350,8073,7662,207,105,35,99,0,8648,8191,233,35,44,175,0,5386,2741,2423,5327,2298,2549,5480,3212,2048,5252,2303,2949,5604,3293,2146,6246,3288,2810,6710,3429,3089,6728,3771,2957,6718,3484,2954,6615,3471,3144,6571,3211,2933,6603,3389,3214,5266,1671,2094
