ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
10,J,37838,16647,3718,4735,5672,7063,2054,37446,14157,4444,4040,6805,7066,2684,36482,13408,4187,4435,6174,7138,3337,38565,13700,4305,5056,7762,7033,3107,38338,13401,4907,4511,7116,6519,4224,27325,14024,2288,2900,3311,4494,1139,25420,11826,2642,2413,2820,4119,1400,27310,11587,2779,2905,4181,4851,1917,27310,11587,2779,2135,3481,3095,1565,128,2540,25613,11436,2391,2867,3391,4075,1116,25447,11383,2480,2420,3337,3911,1324,13667,6606,6785,12906,6482,4912,12554,2293,5062,11170,6392,4345,12818,7046,5048,13985,7831,5570,13852,7591,5536
11,K,35470,19116,2808,4853,3916,4979,1476,36942,17265,3588,5195,5436,6234,1482,36699,15836,3403,4638,5558,6433,2768,36098,16899,4084,5581,5187,5203,1878,35494,15215,3281,5391,5906,7010,1270,25738,15613,1692,2938,2342,2999,782,26208,14935,2369,2839,2059,3198,619,27378,13382,2251,3104,3550,4237,1666,27378,13382,2251,2328,2873,2456,1342,182,2564,25177,14700,2542,2842,1535,2801,518,25354,13336,2198,2864,2553,3726,424,15343,6587,8468,14669,6182,6751,14325,2336,6029,12833,6349,6029,14824,7208,6842,16310,8390,7317,16122,7964,7453
12,L,34986,28498,1768,1015,1375,2660,192,37317,29741,2141,1457,1799,2135,516,36237,26566,2657,1339,1903,3591,358,36530,29088,2422,1189,1668,2266,431,35803,27247,2827,1723,1836,2300,517,25264,21272,1042,580,813,1650,114,26438,21779,1323,703,959,1245,159,26750,20505,1630,837,1162,2284,199,26750,20505,1630,546,699,975,103,224,2068,26806,22070,1592,636,1002,1208,124,26822,21396,1792,956,1141,1220,145,19591,5524,13751,19458,5241,11764,19038,1608,8867,16385,5475,10364,19496,6265,12211,21710,7584,13206,21488,6886,13766
13,M,31225,25716,1191,679,778,3124,256,37827,29914,1687,1025,1189,4175,417,37629,28258,1941,918,1336,4875,479,38642,29575,2102,1140,1518,4632,467,38554,29099,2298,1142,1450,4600,369,21866,18647,634,361,441,1833,129,26614,21917,1121,478,452,2476,81,26722,21053,1131,536,802,2887,231,26722,21053,1131,307,414,1493,95,171,2058,27063,21747,1238,552,483,2669,153,27297,21941,1317,642,574,2600,106,13742,3250,10212,16230,3180,11330,15919,1123,6409,14544,3830,10277,17016,4189,11999,19060,4784,13594,18888,4730,13235
14,N,31835,26225,1285,591,817,3150,189,39371,31041,2393,725,1327,4329,347,37592,28094,2060,976,1297,5067,409,40719,32223,2416,802,1648,4117,382,39782,30791,2466,645,1820,4467,644,22275,18989,744,317,506,1783,104,28126,23181,1272,356,573,2515,21,27150,21148,1220,534,820,3174,230,27150,21148,1220,301,470,1459,119,185,2248,29465,24391,1329,352,726,2352,14,28692,23250,1425,316,772,2643,70,13819,2815,10772,15218,2656,10995,14866,953,5866,13580,3142,10049,15993,3466,11711,18004,3987,13316,17805,3968,12885
15,O,31801,26527,1053,408,683,3323,173,34330,27753,1426,779,816,3725,224,37516,29027,1546,680,1032,4794,372,34397,27650,1350,812,857,4018,232,36414,28148,1627,898,951,4385,270,23580,20198,635,238,417,2126,116,25814,21583,800,388,295,2544,44,28566,22719,914,437,658,3418,212,28566,22719,914,284,424,1997,123,190,1915,26077,21767,771,428,264,2673,37,27869,22816,1008,440,364,2989,108,16228,4506,11305,16607,3722,11106,16178,1339,6269,15367,4473,10347,17910,4895,12121,20270,5580,13951,20042,5547,13476
16,P,36054,23043,3072,3865,1798,4860,470,35793,22183,3233,4189,2069,4520,673,36816,20268,3975,3952,2451,6272,632,35460,21811,3495,4175,1997,3884,793,36317,21602,3710,3856,2217,5272,585,26601,17995,1891,2356,1232,3250,276,26330,17401,2343,2214,952,3001,164,28128,16325,2803,2689,1800,4274,394,28128,16325,2803,2065,1365,2698,287,197,2388,26052,17247,2557,2204,946,2676,194,26640,17224,2472,2245,1101,3307,92,14223,5171,8769,12400,4232,6534,11676,1446,5423,9606,4241,4897,11955,4834,6334,13745,5677,7368,13134,5279,7044
17,Q,37844,31142,1567,1266,1241,2917,173,40644,30379,3431,1627,1740,4461,171,36882,27242,2257,1327,1668,4024,309,40449,30047,3419,1512,1614,4866,322,37974,28305,2965,1887,1578,3958,401,27462,23296,961,742,753,1780,99,29391,23221,1983,1136,778,2109,4,27420,20996,1462,878,1130,2529,205,27420,20996,1462,594,678,1184,87,275,2144,29695,23407,2037,988,579,2343,4,27760,22031,1914,1081,500,1863,98,17994,4916,12760,17077,4084,10844,16746,1234,7552,14060,4527,8924,16937,5043,10896,18993,5826,12268,18804,5690,12168
18,R,39235,26834,1365,978,1302,9085,185,36957,24069,1909,871,1557,8766,146,36718,23368,1620,1014,1382,9385,277,37649,23643,1851,1189,1919,8978,123,36858,22839,2168,1160,1687,8673,284,29948,21503,863,599,894,6166,94,27514,18907,1333,490,696,5998,43,28366,19014,1085,681,980,6432,160,28366,19014,1085,430,621,5033,60,162,1961,27792,18632,1178,730,1045,6125,38,27230,18151,1423,652,753,6090,82,19876,8120,11232,18759,7575,8715,18380,2248,8009,16781,8362,7623,18911,8645,9163,20534,9488,10159,20324,9045,10314
19,S,34932,6242,1476,824,3326,23508,297,36414,5438,1899,849,3700,25141,420,36079,5374,1806,1012,2941,25270,464,35791,5171,1755,893,3920,24551,436,35227,4991,1905,914,3658,24254,467,24601,5333,1191,684,2902,14606,210,23642,4585,820,517,1401,16075,122,25821,4787,1533,820,2524,16145,314,25821,4787,1533,656,2355,14936,237,47,1270,23035,4310,809,507,1472,15724,101,22863,3942,916,600,1689,15471,101,10598,4964,5284,9923,5171,2944,9701,1225,5449,9875,6509,2714,9986,5743,3367,10211,5733,3949,10111,5273,3912
20,T,32966,5577,428,318,769,26134,212,34705,5544,659,708,1058,27249,463,36277,5196,848,540,1149,28710,551,34702,5085,846,636,1218,27375,447,36422,5747,882,668,1205,28235,406,22106,5117,287,201,583,15968,121,22577,4975,342,388,348,16381,140,24285,4765,678,366,786,17620,349,24285,4765,678,273,647,16522,256,55,1089,22310,4556,493,318,442,16300,161,23947,5338,525,415,530,16914,162,10210,4842,5042,9409,4928,2612,9251,883,5379,8957,5418,2781,9306,4827,3428,9648,5328,3688,9557,3985,4338
