ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
113,57A,34761,31492,984,854,1207,256,40,40119,35634,1106,1448,1553,253,1,42321,35581,2049,1671,2070,612,49,40415,35638,1488,1442,1572,276,28,42502,35209,2289,2541,2032,363,31,24123,22271,526,448,708,154,24,27829,25969,406,517,791,165,0,30379,26368,1190,906,1232,409,30,30379,26368,1190,718,1028,74,6,135,860,28181,25978,633,692,729,147,0,30076,26601,1095,1066,1086,117,0,19179,7657,11209,20144,7718,12426,13532,5153,8202,13463,4859,8309,12891,5389,7191,21816,7544,12558,19390,9398,9462,19330,7659,10987,19362,7865,10879,19130,6710,11450,21903,8681,12280,26130,10808,14811,25737,9712,14494,22479,9013,12713,21147,8706,11996,20989,7962,13013,20719,7479,12422,20283,8609,11656,21127,8353,12162
114,57B,35233,30680,1154,1295,1896,280,33,39226,32291,2260,1162,3363,463,118,42406,33061,2300,2612,3463,634,41,40566,33925,1463,1592,3144,513,170,43371,34984,1840,2398,3481,589,115,23773,21140,632,675,1185,165,20,26827,23353,1135,430,1629,171,35,30163,24531,1369,1432,2172,411,25,30163,24531,1369,1160,1939,94,5,152,913,28256,24977,650,699,1561,191,45,30405,26544,835,946,1620,271,0,18994,8519,10165,19772,8557,11215,12902,5417,7311,12837,5106,7418,12209,5527,6351,21164,8525,10740,19312,10534,8181,19238,8830,9646,19259,8951,9586,18998,7782,10108,21582,9993,10506,25698,12796,12306,25250,11383,12156,22021,10501,10646,20489,10283,9690,20301,9436,10847,20065,8900,10244,19611,10087,9496,20458,9912,9957
115,58A,39759,35852,2054,544,1144,246,60,42221,37176,2365,829,1630,387,100,42949,35672,3296,1143,1592,746,46,42167,36912,2267,1122,1530,521,103,42543,37046,2328,1074,1743,481,118,30147,27535,1249,337,894,156,35,31586,29116,1037,338,869,185,4,33403,28103,2337,757,1309,431,28,33403,28103,2337,592,1136,96,7,324,808,31541,28952,980,492,848,223,4,31953,29131,955,501,1087,200,4,21924,12137,9329,21872,11961,9911,14740,8427,6085,14599,7933,6265,13721,7956,5341,22817,10947,10118,20739,12733,7398,20666,11264,8584,20641,11381,8572,20388,10257,9004,22440,11843,9599,25423,13269,11589,25100,12488,10984,22627,11940,9868,21032,11308,9114,20893,10945,9938,20750,10570,9295,20671,11727,8930,21054,11185,9241
116,58B,38940,35524,1069,868,1277,361,38,41654,37923,1164,976,990,697,13,42496,36465,1583,1697,1715,702,53,42017,37588,1691,1488,963,345,11,42673,37817,1712,1528,1085,431,3,27304,25435,563,410,741,203,22,29509,27414,651,427,422,495,1,30894,27271,951,858,1108,437,37,30894,27271,951,679,899,95,7,91,901,29378,27157,925,692,331,237,0,29739,27301,973,744,455,254,2,20762,9256,11029,21317,9254,12063,13240,5804,7217,13288,5380,7481,12631,5957,6302,22418,7739,12692,19230,9847,8737,19145,8084,10122,19157,8228,10139,18937,7042,10613,21399,8671,11599,24607,9998,14041,24201,9196,13216,21440,8669,11893,19361,7943,10861,19175,7305,11853,19061,6937,11098,18738,8111,10602,19347,7675,10905
117,59A,38323,13951,2919,15845,5126,1442,77,41180,13865,3936,17284,5498,1773,20,42430,13062,5139,18024,5270,2106,83,42637,13608,4632,17425,6422,1676,40,43398,13720,5780,17169,5784,2024,87,26256,12067,1716,9218,2820,852,46,26872,11947,1175,10236,2715,789,0,29983,11501,3225,11099,3346,1323,61,29983,11501,3225,9875,3117,463,17,210,1575,28234,11807,2175,10046,3488,645,0,28509,11945,2680,9867,3055,746,0,17569,14314,2932,17550,15037,2513,8862,7283,1401,8691,6975,1471,8244,6666,1196,16089,12530,2204,13828,11160,1627,13763,10743,1858,13758,10931,1857,13720,10657,1983,15376,11955,2111,17706,14499,2621,17166,11954,2370,14473,11364,2024,11060,8904,1532,10973,9115,1827,10717,7834,1622,10831,9185,1620,10834,8409,2309
118,59B,31289,10891,2189,14243,3722,1087,70,41259,16128,2762,16820,4882,1400,93,42494,18581,3066,15948,4138,1444,80,42591,17822,2998,16955,4564,1459,96,43431,19248,3220,16817,4026,1320,100,23384,10269,1365,9164,2331,675,40,28406,15125,1073,8838,2450,751,20,33705,17668,2159,10156,3081,973,59,33705,17668,2159,9246,2768,357,14,121,1372,29472,16516,1157,8938,1972,664,19,31097,17789,1374,9335,1949,539,5,15362,13160,1964,15984,13567,2417,9535,7821,1570,9333,7563,1541,8605,6912,1339,17636,14227,2043,16713,14157,1784,16643,13509,2281,16582,13634,2227,16486,13129,2426,18565,15093,2400,22304,18898,2890,21700,16510,3089,18446,15165,2420,16320,13744,2049,16227,13489,2716,15852,12404,2452,16052,13836,2200,15899,12336,3359
119,60A,40171,27498,4228,5577,2006,1579,58,42110,30018,3917,5082,2413,1018,78,42800,29498,4217,5708,2284,1391,65,42597,29899,3547,5804,2619,1102,79,42385,29467,3546,6128,2552,1334,67,32666,24307,2835,3281,1548,1053,45,32689,26434,1483,2833,1259,599,0,36139,26561,2990,3730,1847,1096,52,36139,26561,2990,3138,1407,307,15,142,1579,33773,26491,1485,3705,1443,727,0,34142,26822,1448,3830,1462,704,9,22131,16957,4529,22193,17914,4279,14696,11977,2429,14206,11233,2423,13060,10283,1994,23886,18068,3406,22762,19331,2434,22669,18555,2959,22647,18796,2849,22433,17782,3190,24016,19458,3136,26547,22402,3471,26086,20437,3534,23333,19171,3013,20537,17463,2341,20378,17390,2957,20003,16119,2583,20257,17810,2430,20169,16408,3568
120,60B,31682,19980,1017,6240,4189,435,58,39913,23523,1690,7914,6213,872,56,42169,23824,2122,8431,7275,652,69,39317,23342,1522,7579,6290,779,61,39495,22629,2271,8382,5581,655,96,29162,19610,862,4416,4026,338,50,31049,22406,1256,3863,2780,604,0,38283,23032,1896,5878,6962,551,50,38283,23032,1896,5224,6299,189,13,113,1517,30919,22354,1203,3748,2791,651,0,31355,21646,1648,4745,2592,469,8,14622,11423,2825,15141,11827,3314,8048,6368,1463,7651,5998,1378,6577,4848,1305,17700,13660,2302,15247,13039,1464,15149,12589,1876,15119,12757,1737,14897,12184,1898,15321,12622,1750,14821,12900,1550,14153,11216,1565,13819,11512,1504,10553,8950,991,10475,9293,1165,9901,8043,1088,10167,9083,1064,10378,8904,1390
121,61A,36802,27396,1459,5208,2397,649,87,38508,28587,1658,5676,2077,680,46,42219,29060,2425,6895,2938,1070,88,39357,29169,1766,5430,2500,780,32,41463,29517,2329,6268,2665,1556,17,33170,25478,1183,4134,2042,538,73,33334,26322,1270,3928,1248,471,19,38275,27193,2099,5609,2533,869,69,38275,27193,2099,4854,2015,302,18,227,1567,33873,26454,1352,3984,1456,506,10,36189,27419,1822,4639,1734,649,10,23179,18548,4178,22401,17930,4471,14107,11422,2481,13746,10954,2466,12603,9989,2102,24017,19089,2990,22708,19505,2418,22638,18758,3043,22569,18861,3008,22308,17832,3287,23827,19638,3036,25966,22245,3142,25496,20250,3381,22542,18833,2745,18644,16045,1924,18482,15869,2581,18233,15021,2239,18412,16411,1985,18124,14559,3192
122,61B,37702,32848,1222,1807,1574,438,57,41878,35981,1571,2264,2050,363,78,42825,35373,1946,2294,2279,665,65,42011,34564,2028,2787,1988,358,79,43966,36337,2622,2484,2052,444,28,30659,27379,841,1170,1047,304,43,33122,29518,878,1390,1075,193,1,35272,29790,1444,1674,1631,538,45,35272,29790,1444,1214,1210,93,17,130,1374,33752,29174,1492,1783,1063,174,0,35089,30098,1806,1794,1119,201,0,26778,21589,4726,25802,20631,5171,18484,14958,3323,18159,14475,3276,16635,13371,2736,27309,22117,3180,26134,22895,2624,26105,21905,3452,25991,21972,3381,25714,20657,3788,27468,23101,3319,30081,26352,3183,29729,24546,3719,26961,23080,3040,24429,21582,2326,24292,20984,3273,23921,20106,2885,24209,21832,2365,23689,19272,4021
