ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_14_GOV_Total,E_14_GOV_Dem,E_14_GOV_Rep,E_14_AG_Total,E_14_AG_Dem,E_14_AG_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_SEN_SPEC_Total,E_18_SEN_SPEC_Dem,E_18_SEN_SPEC_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_AUD_Total,E_22_AUD_Dem,E_22_AUD_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
123,62A,40388,18320,8869,10832,1647,1808,89,41237,19041,7971,11779,1876,1338,236,42714,18446,8075,13407,1803,1966,78,41613,18825,7392,12658,1669,1336,141,39919,19222,6389,12135,1205,1345,136,32547,17096,6015,7512,1319,1228,65,27442,17565,1925,6093,1144,615,75,34851,17247,5744,9352,1556,1535,47,34851,17247,5744,8456,1155,506,12,181,1550,28891,17793,2134,7200,1194,736,34,29030,18294,2511,6709,881,709,44,18060,15890,1720,18216,16483,1733,10301,9225,884,9893,8707,866,8775,7457,722,18658,15726,1348,17905,15972,969,17802,15684,1165,17744,15779,1105,17742,15435,1234,18638,16262,1243,20239,18310,1440,19543,16304,1401,16856,14790,1150,12397,10976,787,12430,11438,969,11951,10227,868,12131,11261,851,12228,10834,1268
124,62B,41499,17137,10927,10064,1527,3222,98,44957,19738,10793,11800,1962,2385,40,42527,18067,9932,10816,1666,3213,93,44890,19817,10574,11317,1772,2572,18,42931,18867,10541,10441,1411,2818,33,30145,14639,6792,6418,1056,1889,65,26600,16590,2127,5834,977,962,0,31703,15422,6363,7224,1204,2126,64,31703,15422,6363,6431,907,1012,20,175,1373,26616,17037,2151,5464,883,1061,0,26603,16317,2748,5675,770,1225,4,17921,15569,2002,18406,16355,2051,12239,10836,1235,11864,10334,1216,10693,9108,1030,19125,16023,1389,18395,16465,1135,18299,16063,1412,18302,16262,1349,18228,15817,1541,19131,16676,1442,20621,18557,1629,20162,16911,1652,17996,15776,1387,14858,13257,1100,14830,13429,1375,14470,12384,1239,14637,13460,1155,14645,12756,1767
125,63A,39904,27802,4064,5340,1619,1708,70,41399,27963,3384,7425,1782,1168,93,42332,27501,4102,7666,1804,1567,85,41250,28014,3351,7176,1834,1103,88,42015,28521,2855,7546,2121,1127,42,32436,24216,2520,3611,1214,1156,49,31153,24145,1155,4088,968,700,0,34257,23743,2785,5359,1316,1148,52,34257,23743,2785,4714,1004,446,10,138,1417,31729,24496,1343,4189,1064,690,0,32193,24940,1193,4239,1201,640,0,24046,19767,3715,23790,20364,3426,17423,15113,2055,16930,14385,2097,15271,12956,1689,24990,20500,2471,24288,21526,1994,24235,20967,2415,24171,21099,2396,24041,20307,2625,25192,21637,2458,27019,23920,2572,26604,22391,2727,24490,21265,2317,22042,19685,1782,21927,19574,2330,21551,18527,2031,21765,19894,1851,21569,18358,2965
126,63B,39546,31317,2454,4060,1245,829,46,42119,33680,2079,4114,1756,675,0,42292,33119,2660,3779,1770,927,72,42421,34425,2295,3817,1299,922,15,41941,34506,1945,3804,1178,509,69,30930,25701,1460,2600,824,511,28,31330,26762,753,2469,908,421,0,32769,26702,1696,2461,1140,651,56,32769,26702,1696,1996,811,146,8,116,1294,31425,27208,807,2136,646,481,0,31312,27183,890,2175,686,261,4,25999,19910,5622,25687,20204,5483,18756,14981,3536,18518,14505,3551,17188,13722,2928,26161,20410,3795,25063,21518,2890,25000,20459,3723,24955,20576,3670,24725,19373,4107,26215,21429,3726,28441,24157,3743,28090,22495,4085,26100,21710,3538,24519,21148,2852,24336,20480,3822,24022,19550,3426,24249,21356,2875,23928,18861,4701
127,64A,40781,33368,1511,3935,1771,535,77,38968,32552,1614,2825,1778,567,27,42372,33808,2055,3335,2318,735,89,39444,32700,1699,2798,2024,418,40,40452,33055,1825,3193,2039,833,92,34160,28771,1069,2800,1293,383,50,31989,27755,1241,1707,952,335,4,36079,29581,1553,2404,1787,518,53,36079,29581,1553,1945,1387,114,26,220,1253,32241,28108,1191,1640,1006,230,5,33452,28562,1314,1928,1134,450,3,26755,20742,5487,25777,19964,5813,17831,13934,3686,17507,13412,3683,15625,12008,3052,25642,19652,3763,24199,20242,3150,24118,19308,3894,24030,19565,3767,23565,18167,4117,24897,20061,3661,26236,22238,3468,25766,20498,3764,24168,19863,3368,21738,18439,2715,21502,18110,3360,21246,17083,3004,21497,18736,2738,21647,18503,3097
128,64B,39430,31957,1930,3620,1680,451,51,41560,32389,1978,5022,1835,445,22,42650,32086,2328,5149,2229,881,75,41637,31779,1906,5381,2060,965,13,42784,32567,1782,5823,1870,915,30,31639,26515,1263,2541,1082,321,34,30620,26388,811,2323,804,251,0,34879,27217,1620,3718,1567,662,56,34879,27217,1620,3260,1250,157,19,147,1209,31454,26317,842,2641,1067,457,0,32552,27332,1021,2607,1023,470,0,24857,17712,6693,24642,17962,6680,17893,13051,4583,17637,12579,4604,16159,11859,3793,25373,18573,4656,24415,19913,3774,24365,18686,4781,24320,18901,4756,23790,17283,5133,25435,19583,4700,27668,22273,4802,27106,20522,5065,24852,19518,4409,22430,18265,3616,22165,17597,4534,21852,16600,4011,22131,18505,3602,22298,18182,4070
129,65A,39517,12872,3417,13622,9490,1196,127,43138,13059,3635,14229,11851,1219,101,42216,11692,3836,15799,10493,1393,102,42480,13623,3671,13524,11060,1591,74,42846,13904,3431,15234,10264,1589,78,27289,11023,2093,8328,5602,725,68,26061,11202,1013,7606,5715,478,13,29767,10166,2550,9686,6884,895,65,29767,10166,2550,8805,6653,222,12,165,1194,26519,11358,1440,7762,5343,376,9,27931,11904,1708,8411,5292,318,28,16022,13062,2636,16101,13842,2259,8491,7123,1221,8245,6735,1238,7285,5924,1005,15650,12449,1984,13817,11441,1451,13711,10997,1635,13656,11167,1694,13433,10694,1778,15005,11909,2025,17153,13839,2958,16304,11796,2293,13844,10996,1979,10157,8142,1470,10021,8284,1712,9755,7115,1537,9882,8263,1604,10097,8150,1919
130,65B,38500,22687,7285,5754,2623,1123,61,39409,22780,7612,5685,3445,919,18,42608,23775,7376,7531,3173,1648,81,39795,23045,7011,5609,3999,947,24,41648,24971,6769,5557,3788,1191,19,29856,19780,4600,3549,1619,715,38,28838,19786,3758,2998,1843,385,0,34074,20990,5109,4979,2228,1149,64,34074,20990,5109,4225,1959,330,12,171,1278,29519,19931,4111,2853,2148,374,0,31119,22000,3408,2999,2152,424,1,19131,13810,4865,18823,14225,4598,11978,8885,2901,11765,8460,2954,10908,8026,2392,19801,13743,4115,18241,14207,3076,18170,13281,3688,18191,13565,3641,17872,12530,3901,19581,14253,3947,21991,16789,4638,21427,14685,4350,18740,13859,3805,15589,11919,3068,15428,11827,3571,15218,10690,3143,15324,12201,3103,15506,11937,3317
131,66A,39047,29484,1593,3803,3870,589,58,41890,30231,1792,4913,4539,482,96,42166,28784,2166,5996,4365,930,91,42735,30702,1918,4933,4938,465,201,41876,30704,2187,4351,4391,753,77,32372,25299,1088,2717,2993,426,42,31606,25752,1090,2800,1682,276,35,35129,25118,1554,4216,3434,697,68,35129,25118,1554,3696,3044,232,12,138,1335,33059,26451,1210,2798,2244,206,72,33080,26491,1354,2659,2089,287,19,23905,17562,5853,22981,17454,5527,15721,12029,3432,15461,11498,3507,14129,10768,2896,23228,17308,3867,21842,18018,3045,21801,17116,3777,21594,17240,3686,21222,16092,3962,22940,18022,3783,25169,20523,4041,24693,18959,4131,22372,17852,3598,19811,16309,2944,19628,16068,3526,19361,15033,3246,19534,16560,2952,19723,16343,3339
132,66B,39579,16435,4244,8135,10611,1099,81,42749,15883,4484,8984,12967,1439,408,42184,14499,4142,8916,14164,1283,77,43962,15890,4580,9128,13956,1538,86,42697,16541,3642,7630,14552,1145,54,27383,13762,2580,4710,6085,653,48,25800,13110,1839,5011,5184,544,10,29692,12426,2637,5494,8611,872,48,29692,12426,2637,4812,8361,221,6,133,1096,26638,13200,1910,4986,5867,626,10,27178,13543,1853,4362,6812,512,15,16137,12179,3618,15981,12790,3191,9228,7093,1974,9086,6784,2003,8199,6276,1583,15873,11928,2700,13893,11146,1934,13785,10540,2250,13676,10677,2250,13413,9939,2447,15240,11484,2689,17684,13478,3777,16930,11738,3005,14522,10977,2674,11465,8800,2080,11277,8689,2562,11071,7806,2221,11208,8967,2217,11434,8645,2765
133,67A,36799,15051,4836,6333,10270,1144,100,41713,13309,5203,7554,15810,821,31,42235,11812,5734,7665,16551,1342,98,41226,12735,4771,8312,15361,646,41,41586,12465,5288,8823,15125,1242,105,24873,12640,2778,3422,5689,673,49,24649,11269,1680,3531,7718,327,0,29013,10138,3605,4572,10143,947,59,29013,10138,3605,3909,9953,281,7,104,1016,24381,10947,1339,4035,7698,349,0,24208,10841,1354,3790,7765,288,0,14486,10517,3652,14219,11013,3206,7111,5283,1706,6955,4915,1806,6413,4655,1451,13972,9770,3006,11220,8459,1912,11118,7835,2238,11075,8012,2295,10794,7393,2369,12882,8974,2793,15549,11042,4064,14680,9183,3132,12121,8410,2808,8739,6015,2163,8535,5981,2540,8320,5031,2205,8435,6124,2293,8802,5764,3025
134,67B,37768,17304,4874,7929,7436,996,82,42582,15642,4555,10066,11953,1074,167,42814,14451,5352,9224,13367,1250,99,42633,14423,4479,10597,12615,849,53,42978,14009,4490,12102,12285,784,169,26771,14698,2902,4608,4272,585,53,25831,13116,1668,4989,5476,405,0,30654,12688,3463,5767,8192,871,76,30654,12688,3463,5111,7940,216,3,111,1122,25568,12630,1626,4726,6098,373,0,27043,12605,1921,5957,6144,295,10,16316,11727,4235,15844,12072,3772,8531,6223,2140,8391,5919,2209,7802,5682,1788,15521,10823,3428,13042,9962,2209,12961,9275,2592,12865,9390,2624,12619,8742,2768,14640,10336,3153,17257,12531,4320,16498,10571,3579,13884,9834,3138,10653,7580,2447,10466,7545,2905,10218,6540,2481,10333,7755,2565,10606,7450,3139
