ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
0,Un,14,9,2,2,0,0,0,19,12,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,1,1,0,0,0,12,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,4,3,6,4,2,8,5,3,7,4,3,7,4,3,6,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,167652,158633,4158,1349,2204,1551,96,172230,160574,5730,1567,2748,1833,60,178600,161967,7255,2191,3091,3134,157,172770,160214,5764,1701,3468,1892,70,179297,163348,6935,2346,4196,2187,38,126049,121006,2265,572,1278,990,55,131259,125543,2289,779,1413,1125,4,138622,128447,4293,1122,1876,2092,93,138622,128447,4293,688,1550,507,36,293,2808,132432,126288,2380,773,1811,1249,14,137774,130861,2816,1011,1882,1240,8,92717,48798,42200,93118,43296,49822,94585,34952,54116,94217,33936,57010,84965,39989,44932,85390,33609,50357,84599,33882,49289,91377,36296,53259,108430,42528,64189,92234,37490,53722,89435,34559,54754,89574,36360,52216,88778,36547,52206,88483,34261,51302,87816,33006,52655,82876,683,63968
2,2,164177,146258,3444,1385,1442,12546,108,173338,152088,4324,1730,2650,13374,41,178360,152163,5326,2323,2763,15541,147,175404,153039,5121,2079,2416,13554,80,178501,154697,5623,2660,2639,13182,303,122511,111482,1833,598,834,8068,64,131661,119006,2072,958,1143,8528,4,137053,120255,3112,1180,1706,10305,98,137053,120255,3112,697,1376,7661,24,217,3711,133823,120932,2309,1098,941,8600,0,137559,123639,2773,1307,1366,8291,0,82243,42632,38214,84751,38475,46276,87219,29260,53157,86194,28781,54337,77865,34129,43690,78337,29087,47851,77472,28724,47276,84394,31011,51666,102393,36886,63969,85320,31783,52593,82289,29141,53054,82492,30850,50676,81748,30628,51100,81556,28477,50107,80981,27640,51304,77960,506,59641
3,3,179866,76615,82578,15438,5835,4404,260,178604,67992,86205,17423,7550,3904,264,178033,59010,90136,18776,10451,7084,279,180139,67133,88693,16818,9159,3509,228,178053,61325,88896,19185,10385,3931,185,128232,65048,50082,8896,3823,2757,174,104792,58124,32934,9548,2475,1627,0,128718,51336,58236,11793,6578,4848,203,128718,51336,58236,8716,5894,976,50,436,3074,105294,57530,34939,8295,3035,1399,0,105684,53460,36562,10223,3977,1258,15,61218,39696,20727,63601,43341,20260,58757,37622,17675,57271,36070,19326,49824,35587,14123,50103,33114,15782,49317,32430,15717,54236,35845,17046,60900,40208,19676,48803,32869,15205,41664,27802,13745,41455,28241,12718,41095,27764,13282,40754,26480,12460,40533,26585,12969,41087,26856,13325
4,4,187573,55468,7947,116188,8752,2245,246,187445,50942,10503,116626,9703,2146,214,178419,44005,10074,112131,12524,2736,236,188624,46903,9865,120600,10419,2199,229,183720,45385,10068,117637,10655,2315,169,132276,47699,4695,74543,5280,1374,151,128694,42287,5320,75061,5000,1141,54,128996,38321,6355,75798,8098,1857,174,128996,38321,6355,72112,7420,318,33,523,3914,130415,41086,5514,77498,5204,1037,36,126594,39385,5280,75183,5338,1252,19,94681,77882,16062,98205,82529,15676,82654,67672,11861,81253,65000,14766,71620,61028,10487,71537,58581,11872,70460,57176,12029,76408,62985,12176,82011,68471,12395,68307,57430,10151,58659,49610,8946,58131,49219,8390,57605,48545,8995,57165,47021,8223,56784,47360,8686,58082,48522,8696
5,5,170186,147179,8304,6048,7760,1551,180,173889,141397,11571,8846,11444,1884,190,178761,139867,13701,10180,11922,3288,228,174954,140009,11800,8864,12633,2243,167,177284,139965,13095,9187,12554,2704,183,133585,119163,4939,3470,5227,1010,102,131233,114085,5999,5480,4457,964,23,140958,115189,8601,6440,8188,2246,144,140958,115189,8601,5018,7267,453,33,415,3982,132497,114196,6342,5539,5064,1297,10,134224,115050,6857,5626,5217,1436,0,102818,45174,56495,104118,43578,60540,99845,43428,49060,99662,40203,57325,92240,45520,46542,92664,40546,50553,91705,40225,50047,97252,44206,50806,108522,55153,51424,94325,46906,45915,89239,45102,43915,89375,46973,41585,88488,45472,42956,88288,43745,41441,87302,42700,43079,87394,42835,43737
6,6,188172,54327,8954,117926,8017,2373,238,184412,53557,10892,111169,9593,2550,93,178495,48905,11628,108381,9696,3212,266,181328,51564,11612,107960,11070,2271,223,172198,48223,12348,103197,9607,2494,254,135120,47201,5792,77118,5157,1514,155,130644,46130,6211,73170,3870,1269,37,133347,43204,7960,74853,6651,2218,200,133347,43204,7960,71040,5837,444,59,626,4177,128777,44473,6826,71324,4744,1206,32,123356,41978,6789,68646,4649,1277,20,93508,78318,14431,98454,84026,14428,81642,67517,10437,80060,64501,14055,71015,61370,9525,70803,59069,10420,69751,57647,10712,75410,63085,10914,80730,68450,10993,67531,57707,8983,58139,50255,7780,57609,49686,7351,57158,48898,8165,56652,46968,7363,56389,47632,7876,57690,48885,7853
7,7,172420,143040,14278,7569,6215,2448,170,177603,140010,17891,9764,8332,2944,430,177863,133778,20451,11041,9150,3918,263,176488,138889,18104,9936,7792,2805,295,173916,134147,17936,10245,8919,2704,156,143407,122874,9223,5338,4785,1713,124,142610,119202,11160,6680,3610,1769,18,150001,117527,14178,7956,7050,2941,198,150001,117527,14178,6155,5775,674,30,918,4744,142759,119612,10698,6933,3444,1790,10,141228,116759,11158,7148,4187,1805,4,97323,59588,36285,97863,59220,38643,94001,54256,32765,92800,52942,37166,86520,57847,28473,86875,53390,31426,85874,53012,31106,91198,55932,32721,101802,64327,35438,87538,56558,29404,81520,54015,27325,81455,54901,25761,80596,53917,26600,80350,51552,25109,79771,51653,26548,80746,51718,27683
8,8,167172,149619,3920,7245,5811,938,124,171222,146979,5571,9536,8501,1014,254,178122,148601,6240,10640,9593,2117,219,172384,146559,6371,10033,8509,1136,111,178425,150481,7008,10144,8885,1226,238,127346,116165,2247,4830,3648,598,69,128970,115003,3297,6070,3836,558,39,138478,118743,3780,7326,6315,1473,143,138478,118743,3780,6394,5529,292,30,495,3215,129578,114768,3480,6523,4062,663,37,134655,118441,3934,6864,4565,722,63,103848,44679,58037,107153,42273,64880,105803,45269,53171,105979,40742,63351,99428,47520,51791,99844,41392,57108,99032,41885,55978,104576,45926,56590,119033,58865,58203,104079,50174,52448,100832,48865,51761,100960,51134,49060,100145,49340,50744,99768,47513,49219,98953,46166,51268,87187,27651,59039
9,9,175807,155187,8590,2958,7975,1596,129,173973,148935,10078,4496,9553,1707,67,178886,147715,11976,5230,10247,3307,203,173662,147581,10495,4772,9980,1667,36,178112,149652,11453,5174,9944,1819,311,134962,123313,4736,1680,4396,1015,87,133054,120721,4224,2342,4648,1071,0,140758,121295,7271,3053,6272,2290,138,140758,121295,7271,2402,5757,540,22,342,3129,132680,120191,4320,2475,4604,1039,4,136323,122659,4825,2838,4906,1042,4,93123,48040,43574,92237,43929,48308,89209,34739,47932,88170,33822,51053,78492,37373,41018,78946,31725,45782,77987,31953,44414,84791,34960,47636,98381,40830,55688,83446,35273,46862,79174,32022,46978,79389,33557,44799,78379,33356,44967,78286,31753,43595,77654,30651,45054,59551,0,59473
