ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
10,10,167564,158961,4104,1492,1895,1267,116,172648,161171,5829,2057,2358,1248,116,178925,161543,8109,2529,2373,3273,232,173694,161423,6114,2140,2354,1292,257,178998,164400,6782,2306,2738,1633,115,125689,120719,2429,716,1084,782,72,129775,124789,1915,1112,1130,854,14,136909,125939,4774,1442,1542,2272,142,136909,125939,4774,853,1064,454,48,334,3443,131012,125776,1902,1142,1287,935,22,135525,129886,2124,1197,1381,998,16,87345,44762,40766,85648,40534,45114,89302,33443,49276,87760,34573,50024,74832,36808,37983,75207,32196,40820,74503,32368,40346,83547,35007,46171,102888,41495,59008,84041,35060,47593,80053,32162,47806,80108,33643,45362,79636,32911,46690,79683,31081,45217,79406,31285,46117,79856,32246,47610
11,11,171757,153545,13660,2060,1740,1234,109,175135,154796,15110,2387,2290,1486,202,177921,151963,16354,2837,2487,3320,159,175185,153863,15589,2437,2327,1367,198,177087,154056,16163,2848,2017,1464,147,128800,118233,7836,1021,1077,821,73,131756,122632,6178,1122,1051,569,75,139936,123001,10374,1662,1670,2384,117,139936,123001,10374,1103,1195,310,30,339,3584,133540,123607,6624,1199,1276,608,65,136045,125331,7010,1512,1213,838,0,84873,38308,45263,87568,36117,51451,87052,29319,52101,86554,28990,54689,78246,33237,44877,78741,28046,48817,77932,28112,48324,84724,30660,52044,102876,37413,63698,84726,31319,52213,80770,28658,51881,80864,29971,49780,80280,29258,50964,80252,26945,50570,79622,27070,50707,80624,26578,53339
12,12,176411,166329,2231,1034,1173,5866,142,172842,160619,3238,1857,1433,6007,177,179426,163974,3625,1681,1546,7594,221,172806,159899,3343,1875,1664,5917,198,179740,165177,3702,1942,1776,6508,134,141235,135034,1284,492,747,3729,95,140374,133091,1538,834,865,3947,36,147090,137010,2207,844,1002,4997,135,147090,137010,2207,485,634,2994,25,297,3438,140523,132953,1581,988,1111,3877,22,146461,138500,1700,1019,1140,4107,8,98936,51123,45625,97035,45513,51522,96490,32960,58709,94966,34165,56900,85819,38407,47349,86517,31371,52840,85218,31786,51899,91930,34344,55735,108116,38900,67779,92810,34574,57312,89726,31136,58433,89951,32829,55895,89322,33465,55823,89045,30903,55321,88506,30149,56297,88891,24082,60658
13,13,178763,163748,8484,3997,1415,1367,137,177751,160557,9652,4468,1870,1665,169,178652,156318,11454,5279,1740,3057,189,177545,159507,9884,4654,2144,1679,259,178097,158142,10745,4905,2485,2064,353,138173,128130,5053,3211,874,984,103,137440,128676,4056,2817,633,1099,12,141533,126220,7117,3975,1222,2221,120,141533,126220,7117,3430,850,604,28,280,3004,138125,128248,4344,3371,771,1165,47,139622,129070,4909,3423,938,1125,63,86810,39493,45689,87943,38518,49425,86029,28321,52526,85659,29902,52940,74653,32495,42119,75379,27873,46060,74611,27354,45922,81578,29690,50167,97067,33730,61777,81525,29254,51308,78030,26586,51386,78406,27567,49888,77597,27306,50271,77396,25898,48809,76699,25033,49481,67263,9925,57281
14,14,167270,154807,5864,2899,1943,2114,142,171525,155404,7494,4046,2614,2275,135,178351,156595,9177,4666,3146,3825,212,172240,155904,7520,4043,2690,2230,57,175824,156249,8760,4382,3094,2442,51,128013,120469,3458,1673,1216,1330,77,130229,122360,2760,2472,1044,1511,14,139260,124892,5830,2840,2130,2668,157,139260,124892,5830,2136,1709,958,50,251,3434,130915,122961,3019,2506,1060,1468,4,134334,125092,3799,2507,1461,1599,4,84164,50637,32019,87046,51759,35287,86314,41459,39406,85897,45481,37895,79183,47126,31997,79363,43721,33960,78552,41677,35349,84455,45032,37560,100492,51405,47458,84476,44830,38599,81121,42298,38701,81341,44306,36131,80493,42382,38079,80468,41163,36294,79825,40471,37331,72976,29143,42927
15,15,174612,147652,13276,10454,2538,1452,169,176820,146083,15769,11085,3294,1888,303,178585,141318,17695,12346,3529,3852,236,177097,144554,16403,11547,3278,1988,215,179588,145373,17109,12135,3496,2031,24,132994,116922,7505,6221,1669,972,112,133344,117918,6286,6530,1548,1043,73,139484,115473,10935,7459,2452,2693,164,139484,115473,10935,6132,1957,364,53,402,4168,134021,117903,6742,6694,1686,967,61,135905,119353,6880,6698,1849,1037,18,87261,55562,30285,86859,53501,33358,83503,43168,34401,82542,46037,33821,73560,46119,27357,73939,42980,29064,72670,41612,29428,79152,44948,32140,90830,49915,39256,75835,42925,31734,69756,38930,30655,70056,40719,28479,69102,38735,30313,69407,36753,30321,68694,37242,29435,69425,37533,31044
16,16,160282,136653,10231,8030,4829,1199,141,172796,141894,12167,10559,7342,1778,219,177313,141030,13880,11296,7925,2970,232,174914,143968,12031,10839,6926,1634,209,176854,142621,12245,11646,8577,2098,163,120087,106143,6072,4358,3043,744,99,127319,112903,4076,5633,3819,807,46,137206,113926,8658,6888,5280,2073,152,137206,113926,8658,5637,4548,326,37,370,3704,130153,115526,3874,6145,3674,779,52,133157,116686,4319,6688,4512,802,113,84339,53910,29303,90252,56861,33391,91213,53776,31408,90212,55424,32722,85120,57569,27443,85394,54633,29322,84396,52987,30189,90157,57052,31198,106356,68107,36398,91595,59428,30885,89571,58629,30733,89869,60432,28631,89108,58297,30756,88753,56544,28796,88170,56363,29919,88913,57415,30061
17,17,174781,167526,3291,1916,1288,833,129,176711,166314,4305,3651,1738,930,86,178093,164313,5592,2769,1937,2362,184,177245,164777,4365,3412,2124,1134,94,177677,165765,4367,3362,2108,1180,91,132973,128537,1976,1143,767,575,77,135201,130152,1731,1884,728,638,44,137984,129031,3499,1638,1248,1690,107,137984,129031,3499,1215,876,235,27,238,2863,135969,130555,1704,1814,1201,737,34,136354,130668,1844,1958,1192,785,19,88133,55400,30913,88676,53565,35111,89490,43994,39449,88653,47732,38486,78473,47955,30471,78951,44029,33303,77888,41919,34455,84827,46025,36912,99697,51553,46412,84855,45732,37979,81638,42913,38557,81821,45258,35573,81090,43236,37817,80909,42144,35787,80179,41352,36860,81192,42819,37069
18,18,173663,152188,7632,5075,7194,2178,182,176535,148993,9413,7353,9134,1986,364,178722,144087,11233,9057,9738,4338,304,176940,148540,9181,7615,9405,2071,350,177809,146708,10596,8388,9147,2984,330,136039,122786,4432,3121,4378,1527,124,135626,121393,4410,4010,4226,1285,124,141269,118639,7104,5516,6419,3048,218,141269,118639,7104,4563,5751,989,83,297,3843,136645,121900,4384,4125,4613,1322,150,137573,121202,5279,4202,5000,1523,124,88088,51985,34626,88494,49152,39342,84508,40111,37768,83986,39093,41400,74117,43309,30725,74424,38929,33537,73768,38976,33270,80127,41485,36249,91613,48617,40853,76832,41548,33894,70986,38401,32461,71277,39817,30508,70531,39323,31165,70351,36656,30282,69792,36410,31240,53969,515,44405
19,19,171394,160632,5403,1597,2652,1296,97,176210,162805,6428,2186,3542,1673,53,179618,161566,7433,2602,4086,3078,159,177289,162750,7001,2476,3784,1675,55,180337,164094,7057,2670,4278,1820,93,131406,124924,3061,937,1646,905,64,135911,129150,2525,1192,1803,1243,12,140998,129312,4568,1522,2620,2212,91,140998,129312,4568,1137,2238,512,37,262,2932,136508,129194,2830,1395,1906,1225,12,139623,131554,3425,1526,1993,1214,0,90049,43765,44709,90907,40020,50887,92059,31096,55627,91437,30447,57788,83611,36495,47067,83990,31245,51246,83229,31043,50741,89800,33121,54800,107575,39339,66350,90991,34167,55744,88339,31616,56625,88617,33426,54266,87826,33278,54526,87523,30802,53592,86925,29923,54631,76149,977,65229
20,20,173849,162080,6065,2688,2032,1316,118,175917,160323,7911,3783,2631,1348,233,178127,157707,9241,4779,2827,3066,181,176573,160338,7788,4107,2341,1440,180,178198,160029,8695,4406,2893,1805,172,132809,125960,3515,1371,1167,888,83,134949,128010,2861,2002,1143,835,103,140204,127324,5766,2561,1821,2153,119,140204,127324,5766,1964,1395,411,29,305,3010,136604,129660,2947,2155,862,944,87,138561,130444,3581,2147,1104,990,109,93113,36260,55625,95595,33303,62292,93847,27539,60637,93868,26892,64387,82913,30133,52739,83580,25143,57185,83013,25543,56299,90063,28067,60224,105473,33559,70293,90035,28752,60192,86786,26564,60169,86922,27721,58392,86179,27153,59014,85912,25993,57146,85056,25057,58173,77198,11692,65477
21,21,175393,134467,17903,17420,5219,1741,177,178311,128861,21522,19586,6899,2477,160,179184,123928,24324,21039,7695,3787,229,177567,129031,21818,19048,6065,2493,108,180444,128180,25364,18206,6822,2780,270,134632,108829,10604,11118,3474,1133,114,132847,105045,10963,12238,3336,1372,24,139923,103539,15200,13653,5185,2673,148,139923,103539,15200,11781,4484,454,22,497,3946,131931,105295,10999,11674,2753,1376,78,133294,104795,12955,10978,3398,1008,187,94330,48174,45062,96302,48345,47957,89813,41679,42782,89353,39964,47262,82375,43770,38481,82854,38741,42446,81875,38235,42210,87355,42046,43463,99201,49970,47688,83314,41906,40302,76878,38072,38635,76880,39359,36760,76166,38621,37481,75905,37129,36147,75317,36385,37439,76207,35761,39922
22,22,177581,125714,25382,22646,3798,2039,278,175815,119203,28381,24479,4407,2308,283,179562,114708,31453,26394,4877,4082,282,177133,117301,30136,25628,4539,2461,301,177630,115074,30264,25813,4971,3148,338,133047,101038,14874,13963,2572,1329,180,128787,97797,13260,14555,2010,1002,39,139507,96209,20219,17205,3515,2955,186,139507,96209,20219,14827,2683,391,62,394,4722,129014,96437,13685,15558,1960,1077,29,130503,96476,14705,15549,2444,1125,59,84828,52654,30935,84901,51914,32987,78762,41863,32382,78170,41358,34293,70617,43821,26682,71065,40162,28917,70126,39144,29531,75992,42404,31776,89038,48313,39136,72188,40370,30846,65573,35703,29715,65608,36430,28368,65029,36084,28895,65014,34761,27868,64560,34498,28782,65332,33796,31128
23,23,178948,170842,3816,1766,1037,1640,149,177432,166391,5231,2498,1543,2004,290,179916,165263,5911,2682,1429,3236,304,176920,165378,5307,2488,1673,2017,257,180071,166555,6170,3033,1626,2372,247,135975,130897,2273,1134,607,1128,92,133814,128726,1809,1270,680,1360,19,138442,128825,3580,1703,961,2258,171,138442,128825,3580,1343,677,685,88,256,2988,133769,128441,1843,1374,826,1372,27,136405,130434,2166,1580,831,1439,44,85926,44619,38982,83526,38745,44781,84569,27036,53159,83675,30189,50054,71560,31633,39896,71973,26244,44507,71005,26024,43298,78593,28308,48710,94584,30725,62161,79084,27548,50722,75787,24150,51541,76141,25930,49026,75655,26563,49070,75541,24403,48618,75199,23998,49259,75859,23995,51864
