ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
29,29,58559,55588,2033,283,289,401,34,58192,53828,3132,426,407,396,31,59983,53149,4645,547,426,1149,66,58238,53490,3292,429,321,451,174,59488,53782,3814,450,512,643,35,44625,42864,1225,118,180,244,19,43672,42394,660,215,146,278,10,46148,42112,2611,268,258,778,41,46148,42112,2611,143,132,143,14,73,920,43941,42487,736,214,215,360,4,44734,43254,768,181,185,382,4,29179,16063,12424,27919,14183,13736,28924,10544,16666,28489,11308,16097,24281,12146,12126,24424,10090,13742,24030,10071,13306,26850,10976,15228,32563,12126,19768,26692,10631,15715,25219,9242,15948,25266,9902,14957,25112,9854,15246,25082,9146,14955,24923,9195,15060,25199,9536,15663
30,30,54522,51390,1057,668,1025,428,50,57874,53973,1478,925,1182,369,48,59314,53499,1886,1213,1159,1130,97,58412,54456,1604,881,1145,398,42,59803,55210,1657,776,1432,450,74,41268,39447,630,351,585,272,30,44412,42341,788,510,526,238,4,46155,42217,1242,731,789,805,66,46155,42217,1242,449,590,189,29,144,1295,45002,42820,761,501,628,261,8,46356,44144,814,448,724,181,8,30717,15659,14558,30088,14209,15879,31676,13444,15564,31130,13109,17036,27255,14185,13055,27361,12968,13584,27232,13061,13636,29994,13993,15094,35928,17324,17713,29967,14397,14995,28566,13722,14810,28568,14083,14181,28402,13678,14711,28454,13088,14119,28384,13142,14624,28473,13577,14896
31,31,56907,48492,7059,683,555,382,39,57260,47902,7786,849,618,454,10,59181,48157,8030,925,804,1120,45,56631,47750,7259,725,727,347,30,57700,48103,7507,938,610,491,37,42584,37797,3994,336,329,241,27,42308,38657,2850,297,255,221,0,46604,39421,5141,527,558,788,33,46604,39421,5141,352,404,90,7,111,1078,42830,38934,3058,262,371,219,0,44090,39809,3135,476,373,296,0,27838,12963,14429,28164,11995,16169,27836,9970,15828,27633,9821,16899,25092,11171,13887,25238,9388,15298,24993,9427,15080,26999,10315,16009,32435,12738,19132,26931,10647,15868,25637,9759,15824,25665,10215,15059,25509,9896,15598,25571,8898,15930,25304,9147,15569,25625,8968,16347
32,32,56953,52177,3085,758,611,423,33,59273,53345,3913,813,1114,552,77,58981,51162,4242,978,917,1188,67,58915,51865,4947,701,1000,631,79,59111,51431,5224,781,795,585,57,42097,39330,1752,377,393,273,23,44618,41553,1772,447,527,226,20,45797,40673,2632,574,624,880,49,45797,40673,2632,368,443,109,11,123,1438,44374,41118,1967,328,508,249,20,45247,41733,2338,380,402,269,0,27259,12875,13933,28336,12326,16010,28499,9515,17267,28341,9516,17747,25018,10816,14155,25179,9061,15363,24884,9216,15148,27638,9995,16955,34779,12131,22058,27796,10038,17386,26388,9072,17243,26448,9425,16671,26200,9232,16951,26196,8601,16619,26051,8622,16813,26351,8462,17682
33,33,57897,52876,3516,619,574,429,37,58602,53549,3411,725,558,480,115,59759,52644,4082,934,766,1012,47,59639,54248,3383,1011,600,389,89,60276,54522,3432,1129,612,388,53,44119,41106,2090,308,355,307,23,44830,42422,1556,378,269,122,55,47535,42907,2601,561,488,716,35,47535,42907,2601,383,348,111,12,105,1068,46335,43556,1600,609,397,140,45,46708,43789,1537,656,438,273,0,29776,12470,16901,31068,11796,19272,30717,9834,19006,30580,9653,20043,28136,11250,16835,28324,9597,18156,28055,9469,18096,30087,10350,19080,35662,12544,22508,29999,10634,18959,28745,9827,18814,28751,10331,18050,28571,10130,18415,28485,9446,18021,28267,9301,18325,28648,9148,19310
34,34,56057,51756,644,305,347,3136,38,55742,50654,1102,540,470,3081,28,59520,53546,1022,516,483,3652,63,55971,50774,1129,412,476,3060,28,59421,53692,1240,481,472,3248,16,45862,43166,367,178,217,1974,22,46093,42904,562,296,322,1969,23,49742,45743,622,310,338,2417,37,49742,45743,622,196,202,1718,5,137,1119,46194,43102,586,211,320,1989,18,49041,45822,600,198,314,2035,4,35000,17925,16346,34214,15933,18281,34290,12539,19825,33931,12763,19846,31179,14249,16890,31332,12031,18616,31016,12400,18123,33092,13183,19213,38513,15597,22335,33483,13696,19385,32502,12754,19683,32585,13416,18763,32423,13513,18897,32304,12538,18724,32105,12317,19111,32518,12668,19850
35,35,60678,58294,870,400,435,707,40,58991,55964,1065,805,491,724,103,59891,55817,1238,611,587,1260,51,58753,55306,1172,824,723,730,106,60243,56176,1243,778,857,933,86,47662,46326,475,138,257,456,26,47262,45597,496,272,260,598,5,48377,45828,735,245,378,846,34,48377,45828,735,122,262,290,6,83,1051,47191,45299,507,400,490,480,4,48618,46631,523,368,589,548,4,32457,16854,14898,32314,15038,17276,31920,10895,19318,31411,11616,18363,28826,12998,15812,29135,10196,17752,28557,10289,17709,30608,11349,18560,35507,12445,22620,30451,11137,19021,29230,9738,19456,29341,10325,18579,29036,10621,18409,29015,9799,18302,28808,9471,18585,29199,9330,19587
36,36,59676,56279,717,329,391,2023,64,58109,54001,1071,512,472,2202,46,60015,54611,1365,554,476,2682,107,58082,53819,1042,639,465,2127,64,60076,55309,1219,683,447,2327,32,47711,45542,442,176,273,1299,47,47019,44590,480,266,283,1380,8,48971,45439,850,289,286,1734,64,48971,45439,850,167,170,986,14,77,1268,47138,44553,487,377,301,1408,0,48802,46047,577,453,237,1524,0,31479,16344,14381,30507,14542,15965,30280,9526,19566,29624,9786,18691,25814,11160,14647,26050,9144,16472,25645,9097,16067,28230,9812,17962,34096,10858,22824,28876,9741,18906,27994,8644,19294,28025,9088,18553,27863,9331,18517,27726,8566,18295,27593,8361,18601,27174,2084,21221
37,37,58492,52839,2393,2389,443,481,55,58428,51917,3103,2400,683,623,63,59609,50791,4016,2993,578,1035,37,58124,51570,3026,2442,677,598,114,58868,51583,3211,2640,912,697,81,45606,41569,1317,2098,261,354,46,45256,41754,1315,1476,229,399,4,47579,41138,2545,2527,417,770,22,47579,41138,2545,2332,330,240,3,90,901,45624,41527,1431,1882,258,400,39,46194,41933,1392,2089,323,397,35,27050,12542,14071,27571,12756,14815,26768,9318,15862,26773,9913,15990,23045,10589,12452,23295,9289,13564,23084,9028,13674,25347,9782,15044,30160,10924,18784,25382,9540,15557,24294,8699,15587,24477,8923,15303,24199,8906,15293,24109,8485,14846,23896,8199,15099,18703,756,17943
38,38,60330,55021,3740,663,571,421,35,59988,54001,3980,1143,584,410,85,59247,51600,4568,1046,656,965,51,60304,53914,4189,1121,707,473,44,59831,52678,4772,1103,759,680,49,45697,42528,2223,355,341,277,23,46135,43277,1595,802,172,231,4,46391,41585,2747,544,454,659,34,46391,41585,2747,375,297,144,9,90,1144,46546,43517,1647,756,299,298,4,46673,43252,2139,638,321,322,4,29714,13403,15789,30182,12619,17563,29479,9548,17993,29412,9963,18526,25556,10781,14759,25779,9126,16159,25514,9006,16044,28010,9935,17431,33290,11566,21106,27640,9862,17398,26093,8929,17145,26263,9272,16643,25982,9180,16794,25924,8697,16212,25773,8522,16524,25967,8734,17233
