ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
39,39,59941,55888,2351,945,401,465,47,59335,54639,2569,925,603,632,21,59796,53927,2870,1240,506,1057,101,59117,54023,2669,1091,760,608,101,59398,53881,2762,1162,814,687,223,46870,44033,1513,758,272,353,34,46049,43645,1146,539,232,469,4,47563,43497,1825,904,351,792,64,47563,43497,1825,723,223,220,16,100,959,45955,43204,1266,733,215,467,4,46755,43885,1378,696,294,406,24,30046,13548,15829,30190,13143,17047,29782,9455,18671,29474,10026,18424,26052,11125,14908,26305,9458,16337,26013,9320,16204,28221,9973,17692,33617,11240,21887,28503,9852,18353,27643,8958,18654,27666,9372,17942,27416,9220,18184,27363,8716,17751,27030,8312,17858,22593,435,22105
40,40,57201,53105,2123,1051,426,667,53,58344,53053,2893,1485,488,560,72,59478,52913,2832,1457,651,1191,61,58671,53119,3056,1537,485,574,31,58822,52936,2632,1561,540,815,11,44153,41543,1243,733,260,431,25,45220,42498,1119,976,230,396,0,47068,42625,1804,990,441,819,39,47068,42625,1804,777,318,272,10,112,1150,45103,42465,1061,1033,214,404,0,46118,42972,1301,1069,294,538,0,29058,17629,10937,29732,17997,11735,29171,14414,12975,29153,16037,12309,26837,16314,10509,26939,15226,11102,26645,14461,11660,28542,15671,12249,33286,17654,15074,27968,15348,12291,26478,14349,12102,26533,14979,11273,26253,14363,11881,26251,13970,11278,26067,13773,11631,23700,9567,13760
41,41,58177,54411,1915,429,418,1106,26,58419,53666,2165,1005,441,1196,32,59672,53009,3167,986,527,1626,67,58509,53730,2223,883,467,1159,8,59851,53418,3209,1025,488,953,8,44666,42388,1157,193,286,684,18,44347,42069,840,517,152,748,0,46466,42117,2039,531,342,1098,45,46466,42117,2039,390,235,557,8,64,1056,44550,42255,934,494,220,705,0,45307,42650,1326,569,218,610,0,27309,15897,10832,27773,15677,12096,27161,11132,14464,27003,12445,13629,24155,12988,11155,24120,11664,11933,24005,11052,12426,26016,11995,13463,31304,13206,17617,25924,11600,14035,24568,10445,14099,24614,11094,13176,24412,10627,13776,24408,10289,13280,24254,10015,13582,24062,9824,14014
42,42,51892,47291,1826,1419,1099,341,63,54762,48685,2436,1556,1685,519,31,59201,50673,3178,2223,1968,1008,84,55060,49055,2241,1623,1738,497,18,57151,49895,2919,1796,2066,674,32,39194,36538,1058,747,670,215,34,40662,37793,801,979,662,367,14,45726,40150,1987,1319,1347,751,73,45726,40150,1987,969,1156,129,32,75,1228,41262,38240,1024,979,626,358,4,42909,39470,1172,869,949,451,4,27797,17111,10250,29541,18085,11456,29982,15913,11967,29741,16999,11957,28191,17824,10333,28304,16831,10925,27902,16164,11263,29897,17366,11848,35902,20545,14767,30584,17882,12273,30075,17504,12500,30194,18233,11682,29828,17392,12422,29809,16904,11736,29504,16683,12118,25214,9752,15153
43,43,56650,51429,2916,1201,880,372,46,57746,51288,3388,2023,1005,383,177,59228,50881,4244,1756,1183,971,71,57665,50496,3675,2037,1089,476,77,59449,51055,4280,1791,1483,723,2,44447,41108,1741,809,598,258,37,45750,41750,1950,1200,559,227,55,47534,41885,2803,1098,845,639,56,47534,41885,2803,872,702,121,11,92,1048,45685,41246,2171,1260,694,299,49,45909,41849,1813,865,894,458,4,30579,18615,11514,30683,17670,13013,30566,15132,13095,30218,15835,13506,26726,16104,10593,26859,14963,11274,26466,14443,11519,28708,15622,12338,31957,17212,14166,27749,15293,11983,25998,14255,11685,26049,14897,10887,25712,14195,11496,25783,13458,11448,25523,13615,11263,25827,13602,11993
44,44,58730,52437,3114,2043,834,447,58,59458,52563,3534,1938,1077,500,49,59756,49920,4227,2958,1257,1268,94,59783,52270,3807,2431,936,540,47,60337,52255,3468,3103,1072,372,13,44732,41169,1731,1047,530,303,36,45016,41667,1468,989,506,363,14,46560,40519,2468,1588,829,918,63,46560,40519,2468,1177,627,104,16,104,1545,45632,41981,1589,1266,505,307,8,46387,42273,1513,1698,566,308,4,29222,19480,9247,29037,18500,10537,27298,14381,10934,27101,15782,10440,24303,15690,8581,24443,14801,8994,24057,14383,9145,26140,15346,10106,30574,17208,12765,25264,14743,10130,23403,13559,9788,23529,14145,9075,23225,13474,9730,23340,12834,9723,23100,12971,9361,23377,13029,10067
45,45,59232,43786,7246,7210,824,633,65,59616,42232,8847,7124,1212,1005,77,59601,40517,9224,7632,1089,1613,71,59649,41788,8921,7079,1253,972,91,59802,42063,9361,7241,941,936,9,43815,34645,4033,4365,541,411,39,42578,34501,2868,4341,483,453,4,45390,33069,5664,4773,778,1136,45,45390,33069,5664,4083,628,139,26,206,1575,42705,34676,2981,4168,488,360,4,43609,35231,3554,4135,389,271,10,27460,17467,9524,27139,17331,9808,25639,13655,10372,25223,14420,9875,22531,14325,8183,22637,13216,8796,22147,12786,8764,24304,13980,9696,28299,15495,12325,22822,12889,9621,20355,11116,9182,20478,11677,8517,20165,11066,9087,20284,10461,9150,20071,10656,8811,20221,10902,8984
46,46,56683,51866,3131,806,633,343,34,58570,52110,3500,1322,1348,543,37,59231,51552,4152,1334,1026,915,60,58428,51381,4155,1433,1211,464,22,58648,51145,4150,1448,1597,598,29,42471,39760,1757,402,367,238,24,43984,41102,1267,540,767,252,8,45680,40994,2461,726,624,656,41,45680,40994,2461,499,470,103,10,82,1061,43940,41051,1397,636,613,216,4,44507,41370,1607,515,759,156,25,30342,17984,11929,31354,17863,13491,31090,15629,13330,30484,16395,13294,28527,17034,11466,28656,15746,12438,28319,15337,12546,30286,16512,13117,35414,18987,15806,30532,16784,13307,29571,16162,13347,29694,16788,12606,29426,16163,13249,29324,15689,12523,29091,15421,12952,29310,15723,13315
47,47,53608,43478,4750,3488,1814,414,41,58936,47034,5496,3841,2299,802,101,58987,45215,5849,4479,2462,1023,97,59865,48261,5132,3663,2116,851,120,58807,46095,4991,3686,3223,911,68,40791,34499,2912,2056,1218,254,33,43493,38179,1365,2345,1281,307,6,46671,37511,3707,2957,1746,716,50,46671,37511,3707,2506,1461,114,17,114,1241,44622,39275,1313,2359,1199,369,20,45103,38642,1491,2610,1890,408,40,28627,19628,8657,30786,20971,9815,31313,20640,8754,31096,20957,9512,29927,21994,7890,29980,21147,8341,29640,20497,8752,31294,21823,8842,36229,25768,9855,31606,22675,8509,30944,22437,8432,31013,23040,7711,30777,22283,8473,30642,21615,7863,30467,21813,8098,30744,22070,8115
48,48,49991,41309,2350,3736,2382,442,66,55290,42750,3171,5396,3695,433,81,59095,44263,3879,5483,4437,1032,75,56621,44326,2744,5743,3599,319,67,59399,45381,3104,6512,3757,589,66,36825,31884,1403,1900,1458,252,42,39842,33622,1444,2748,1771,248,32,44855,35421,2490,3205,2910,701,61,44855,35421,2490,2632,2617,109,10,174,1402,41591,35200,1164,3149,1861,193,28,43547,36674,1221,3563,1863,238,48,25370,16298,8717,28112,18027,10085,28810,17507,9324,28632,18072,9916,26666,18541,8087,26758,17740,8543,26437,17153,8891,28577,18717,9239,34713,23352,10737,29457,19969,9069,29056,20030,8954,29162,20604,8314,28905,19851,9034,28787,19240,8410,28612,19129,8869,28859,19622,8631
49,49,59402,56995,727,985,460,285,44,59425,56272,954,1335,709,328,12,59584,55347,1310,1219,662,697,60,59515,56032,1101,1326,696,393,19,59740,55825,1205,1508,626,460,47,46893,45108,496,765,332,221,29,47284,45270,580,850,344,261,0,47347,44265,946,884,457,517,29,47347,44265,946,759,341,104,5,72,855,47254,45186,564,949,331,257,0,47358,45221,642,996,283,284,15,28681,17381,10652,27805,15898,11907,28509,11917,14407,28016,12878,14186,22886,12664,10217,23093,11430,11158,22729,10884,11380,25645,12077,12922,30162,13075,16546,25316,11620,13296,23878,10442,13388,23873,11118,12448,23669,10703,12953,23640,10297,12476,23467,10120,12791,23728,10457,13271
50,50,56613,53872,1478,544,461,251,54,57918,54022,1709,1423,526,353,44,59024,53893,2241,909,720,813,57,57692,53639,1647,1128,895,294,46,58622,54553,1585,1039,842,297,32,42414,40925,858,223,235,166,31,44045,42337,599,623,204,215,24,45398,42286,1309,433,436,579,38,45398,42286,1309,286,288,68,5,87,1069,43872,41998,586,392,663,206,14,44684,42696,647,503,637,212,4,30122,19179,10399,30922,18912,12010,31567,16945,12641,31388,18328,12296,29168,18713,10434,29263,17431,11223,28943,16613,11819,30862,18061,12144,36023,20589,14777,31149,18348,12385,30337,17715,12549,30432,18558,11493,30157,17611,12531,30099,17213,11753,29766,16925,12044,30204,17546,11932
51,51,58766,56659,1086,387,367,297,31,59368,56020,1642,893,503,249,30,59485,55073,2041,641,555,852,67,60038,55106,1617,958,533,447,29,59315,55387,1577,815,640,423,12,43666,42504,622,155,200,188,17,43872,42545,552,411,180,162,20,45239,42480,1244,321,355,594,40,45239,42480,1244,170,247,63,17,79,939,44843,43370,554,473,207,274,20,44312,42751,555,459,272,289,0,29330,18840,9862,29949,18755,11194,29414,15132,12401,29249,16526,12004,26419,16578,9820,26595,15168,10922,26216,14422,11256,28320,15887,11846,33512,17889,15089,28390,15764,12298,27423,14756,12620,27516,15582,11632,27264,14922,12333,27170,14634,11558,26946,14307,12025,27260,14816,11866
52,52,57389,49126,2755,1475,3532,706,70,58608,47609,3759,2575,4181,687,199,60100,47233,4214,2684,4409,1491,141,58723,48057,3346,2591,4199,716,207,59338,47970,3811,2711,3781,982,180,44078,39153,1646,777,2103,467,43,43658,38467,1637,1190,1865,423,44,46741,38560,2635,1537,2807,1046,94,46741,38560,2635,1187,2563,330,52,123,1291,44386,39017,1459,1152,2150,440,80,44839,39132,1765,1080,2212,549,59,29838,17461,11875,30155,16578,13577,29012,14402,12545,29045,13933,13999,25927,15344,10581,26096,13838,11579,25847,13793,11565,27855,14812,12321,32014,17659,13673,26971,15136,11437,25191,14227,10964,25308,14731,10289,25059,14502,10557,25021,13639,10259,24843,13508,10615,22346,485,13385
53,53,57147,50665,3300,1223,1488,709,37,57736,49226,3214,1966,2547,892,20,59326,48919,4329,2216,2270,1443,65,58612,49804,3300,2062,2625,801,16,59399,49757,4253,2075,2435,1077,2,43413,39828,1810,551,862,462,20,43048,39090,1304,835,1163,588,20,45714,39325,2642,1115,1464,964,52,45714,39325,2642,840,1241,248,19,95,1304,43721,39859,1358,821,1126,523,15,44609,40026,1946,858,1189,517,0,28638,16735,11333,29313,15753,13560,27440,12258,12878,27253,11943,14022,24918,14003,10870,24970,12350,11919,24796,12473,11763,26750,13188,12687,31645,16120,14754,26137,13515,12104,24519,12687,11759,24603,13146,11068,24327,13016,11292,24271,12083,10959,24078,11986,11276,17246,30,16654
54,54,59127,52397,1577,2377,2174,763,75,60191,52158,2440,2812,2406,407,145,59296,47935,2690,4157,3059,1404,98,59605,50679,2535,2962,2581,554,127,59072,48981,2532,3602,2931,925,148,48548,43805,976,1793,1413,598,61,48920,43836,1469,1985,1198,274,60,48814,40754,1827,2864,2148,1038,72,48814,40754,1827,2536,1947,411,12,79,1248,48537,43024,1568,2152,1337,359,55,48125,42044,1568,2264,1599,457,65,29612,17789,11418,29026,16821,12205,28056,13451,12345,27688,13217,13379,23272,13962,9274,23358,12741,10039,23125,12710,9942,25522,13485,11241,27954,14838,12426,23724,12897,10353,21276,11487,9738,21366,11940,9151,21145,11805,9316,21059,10934,9064,20871,10916,9349,14377,0,14366
55,55,57227,53453,1521,563,1339,401,42,58814,54230,1802,679,1800,385,0,60099,53641,2054,1068,2019,1014,60,59632,54598,2172,759,1688,434,7,60183,55271,1892,866,1536,465,2,44252,42011,876,256,851,274,29,45528,43038,826,302,982,364,0,47374,43202,1283,581,1339,711,36,47374,43202,1283,423,1181,142,19,102,1022,46339,43562,952,369,1033,433,0,47322,44547,1050,547,812,362,0,32246,15450,16288,32425,14641,17784,30933,11318,17565,30716,10921,18860,29866,13890,15941,29914,12036,17301,29745,12129,17120,31347,12570,18056,37677,15341,21556,31647,13132,18059,30671,12299,18317,30799,13066,17412,30470,12912,17544,30341,11940,17204,30113,11617,17658,23304,16,22153
56,56,54465,50971,1800,326,1031,384,17,58030,54111,1726,660,1222,505,20,59877,53746,2609,718,1576,1008,29,58002,53414,2036,740,1482,571,13,59703,53752,2291,825,2163,565,77,40120,38116,1001,143,622,263,12,43385,41583,582,334,564,304,0,45505,41740,1541,358,953,697,16,45505,41740,1541,249,827,156,5,66,921,42802,40844,717,357,543,288,0,44120,41493,1109,303,848,369,0,28051,13786,13802,28462,12077,16385,30561,10065,18863,30529,9752,19693,27057,11423,15632,27183,9698,17029,26940,9558,16923,29506,10513,18396,35501,12705,22215,30084,11036,18731,29354,10334,19006,29499,10893,18305,29242,10871,18368,29107,9980,18129,28965,9727,18514,27783,187,21517
57,57,59702,56208,2082,708,282,511,38,59366,54464,2900,847,520,783,33,59642,54179,2770,816,491,1056,70,59655,54738,2793,977,614,670,35,60451,55071,2874,979,579,790,14,47034,44797,1184,538,173,368,23,46998,44529,1117,556,257,575,12,48119,44370,1744,583,328,804,39,48119,44370,1744,465,230,214,13,94,989,47366,44788,1161,669,330,504,12,48181,45514,1266,676,333,483,0,29752,14529,14619,30020,13302,16718,30565,9713,19199,30192,9774,19235,26688,11182,15494,26893,9511,16916,26544,9356,16698,28947,10038,18348,34397,11293,22579,29260,9999,18954,28314,8983,19302,28319,9467,18549,28114,9495,18614,28075,8882,18259,27847,8579,18459,25062,774,21559
58,58,56884,53792,1560,702,551,385,32,58728,55319,1636,969,515,331,50,59073,53732,2095,1157,889,933,59,59198,55931,1524,1023,461,328,41,59249,54977,1900,1192,603,639,45,42902,41244,848,292,306,228,21,45376,43516,832,526,234,228,24,46166,42879,1268,585,541,639,43,46166,42879,1268,422,401,88,15,113,980,46224,44411,781,527,182,248,18,46546,44244,1007,625,224,291,19,31210,11042,19793,32847,9958,22889,32258,8773,21711,32491,8415,23339,29165,9649,19514,29318,7874,21070,29149,7899,20851,31484,8953,21976,37029,11116,25391,31699,9521,21828,30762,8941,21821,30764,9403,21109,30592,9190,21402,30532,8742,20842,30232,8451,21186,30536,8614,21922
59,59,60469,57991,1334,413,425,334,47,59676,55639,2180,817,664,375,150,59789,55347,2160,633,621,824,43,59686,54996,2123,954,669,332,106,59602,54886,2259,1006,806,468,39,46127,44711,773,183,242,231,32,46408,44721,670,374,355,221,59,47368,44558,1353,301,391,548,22,47368,44558,1353,185,276,86,6,104,800,46769,45143,695,406,322,223,34,47238,45265,933,396,382,288,0,34337,11537,22309,35134,9997,25137,34756,8262,24479,34852,8218,25789,30810,9345,21446,31035,7473,23137,30789,7493,22874,33354,8380,24361,38978,9829,28567,33690,8638,24670,32873,7916,24926,32963,8290,24376,32607,8261,24335,32529,7796,23742,32277,7461,24164,29728,3078,26639
60,60,56496,50297,3171,1573,1056,597,39,57513,49365,4095,1997,1452,642,33,59265,48628,4986,2989,1317,1309,79,57689,49411,4141,2130,1211,780,33,59347,50166,4536,2208,1484,698,88,43780,40005,1894,896,619,429,30,43165,39773,1359,1102,554,386,20,46670,39887,3145,1675,889,966,54,46670,39887,3145,1357,718,237,8,88,1230,43611,40106,1471,1222,358,473,35,44777,40935,1641,1126,498,411,90,27566,13681,13523,27614,13348,14266,26833,10504,14447,26525,10259,15259,22938,11139,11779,23227,9796,12978,23075,10151,12574,25225,10734,13887,29466,12614,16335,24646,10593,13694,23151,9707,13422,23195,10028,12907,22980,9702,13277,22851,9455,12562,22547,9145,12823,16934,0,16916
61,61,57060,49180,3943,1520,2135,607,65,58550,46719,5538,2027,3221,874,83,59361,45243,6728,3190,3429,1272,69,57880,45751,6297,2384,2844,878,48,59745,44630,8025,2914,3377,884,26,45324,40467,2321,806,1465,366,38,44755,38730,2747,1204,1615,422,14,47545,38191,4269,1988,2328,926,47,47545,38191,4269,1440,2042,176,9,126,1292,44249,37444,3700,1427,1283,345,29,45174,36792,4779,1677,1649,256,8,32948,15382,17170,33406,15364,18042,31769,14048,15596,31581,13390,17506,29057,15062,13945,29267,13320,15411,28879,13105,15313,30842,14403,15765,34863,17492,16844,29489,14774,14286,27333,13748,13529,27388,14354,12778,27073,14040,13009,26912,13543,12449,26680,13197,12947,26994,13086,13696
62,62,60546,35400,11287,13293,703,699,71,60957,34362,11870,14033,834,963,47,60115,31086,13225,14649,862,1468,94,60104,35021,10961,13131,762,946,15,60554,34706,12751,12356,827,1142,8,44185,28699,6631,8248,466,480,49,42912,27681,5916,8471,416,545,10,44595,26018,8123,9253,556,988,58,44595,26018,8123,8217,376,129,4,214,1514,41687,28161,5168,7722,299,586,15,41737,27947,5913,7263,349,373,10,28537,18420,9775,29269,19089,10180,24889,14647,8883,24632,14178,9736,22638,14835,7764,22715,13550,8544,22465,13393,8539,23956,14520,8878,27038,16620,9916,22063,13605,8169,19500,11815,7634,19420,11897,7274,19314,11734,7556,19318,11272,7197,19192,11265,7481,19405,11159,8094
63,63,57787,49887,2673,2607,2381,435,41,58804,47780,4114,3526,2844,640,30,59708,47599,4371,3200,3404,1047,66,59583,48259,4560,3533,2459,669,45,60145,48844,4588,2936,2618,754,236,45123,39663,1652,2064,1543,287,27,45180,38634,2300,2563,1305,405,0,47783,39330,2808,2412,2301,759,43,47783,39330,2808,2124,2066,149,9,157,1140,45995,39691,2131,2525,1171,446,34,46383,40056,2263,2038,1400,379,169,32845,14372,18117,33627,13892,19735,33155,12984,18303,33140,12396,20020,30680,13873,16772,30872,11871,18491,30531,11737,18358,32557,13123,18820,37300,15858,20928,31762,13527,17847,30045,12509,17472,30072,13108,16708,29779,12847,16916,29675,12314,16501,29445,11923,17011,29808,11516,18132
64,64,60063,42448,9039,6704,1893,749,118,60693,40565,10540,7817,1923,561,78,60090,38918,10901,7469,2192,1316,104,60069,40781,9891,7858,1984,677,51,59319,39193,10265,7148,2319,1418,61,44671,33858,5300,4026,1287,488,74,42975,32709,4674,4341,927,282,0,46725,32475,7127,4864,1577,948,67,46725,32475,7127,4049,1262,117,17,137,1541,41676,32400,3722,4223,833,261,0,42190,31997,4426,4213,1016,437,0,27079,17236,9430,27309,17062,10247,25511,13663,10353,25301,13509,10939,22563,14212,8306,22707,13076,8975,22377,12764,9122,24492,13802,10057,29029,15699,12767,23354,13124,9896,21191,11606,9543,21227,11822,9156,21025,11719,9294,21027,11260,8990,20900,11248,9231,21132,10972,10021
65,65,59105,43734,8396,6031,878,772,91,58250,42049,8747,6608,1061,956,64,60095,39966,10736,7280,1273,1500,94,59894,41984,9652,6970,1173,970,71,60359,41161,9955,7264,1151,896,122,43753,34795,4799,3342,569,484,59,43587,34589,4254,3784,493,399,14,46462,33394,6779,4497,892,1104,62,46462,33394,6779,3761,587,122,29,111,1679,44846,34992,4755,4156,549,446,14,45097,34844,5156,4149,617,313,30,28190,17691,10059,28205,17307,10898,26402,13912,10909,26276,13955,11368,23411,14697,8687,23618,13533,9315,23257,13195,9586,25334,14199,10510,29817,16039,13261,24094,13454,10321,21873,11888,9928,21920,12145,9484,21682,12044,9620,21699,11597,9297,21524,11500,9578,21792,11270,10392
66,66,58413,39532,7947,9911,1027,518,69,56872,36589,9094,10054,1423,791,141,59377,35824,9816,11645,1412,1266,84,57170,34536,10593,10800,1382,814,179,57952,34720,10044,11401,1501,834,155,44623,32385,4775,6595,716,357,47,42225,30499,4332,6430,590,321,25,46320,30340,6313,7844,1046,903,57,46320,30340,6313,7017,834,152,16,146,1502,42493,29045,5208,7179,578,370,15,43216,29635,5123,7187,811,375,29,29559,17727,11446,29387,17545,11842,26849,14288,11120,26593,13894,11986,24643,14912,9689,24740,13553,10627,24492,13185,10823,26166,14403,11209,30192,16575,13108,24740,13792,10629,22509,12209,10244,22461,12463,9728,22322,12321,9981,22288,11904,9581,22136,11750,9973,22408,11554,10715
67,67,58608,55915,1030,612,401,736,26,58076,54492,1324,911,630,768,0,60062,54671,1518,1230,626,1466,65,58347,54495,1393,975,610,799,0,60017,55390,1652,1148,629,886,3,45433,43821,589,337,228,495,19,44806,43119,665,338,231,488,0,47121,43592,934,721,434,1012,42,47121,43592,934,568,333,342,11,83,1258,45085,43247,657,440,248,495,1,46466,44359,727,545,269,531,0,29663,15647,13355,28827,14116,14711,29324,10197,17550,28946,11275,16644,24246,11279,12956,24341,9995,13925,24048,9821,13689,27056,10659,15878,32949,11915,20549,27253,10326,16642,26056,9218,16808,26112,9813,15884,26041,9746,16286,26024,9167,15991,25948,9180,16165,26075,9278,16797
68,68,60235,58503,642,313,300,467,83,59368,56601,1002,618,533,566,214,59902,56553,903,374,435,988,192,58602,55777,967,549,651,521,214,60111,57031,1012,536,561,672,204,46784,45762,371,108,187,334,45,46464,44960,460,380,265,382,19,47350,45145,551,170,284,690,103,47350,45145,551,105,168,144,70,93,1074,46025,44518,539,286,345,361,26,47283,45769,534,230,321,432,40,31107,16084,14093,30435,14082,16353,30714,9586,19710,30457,10662,18502,26625,11596,15016,26806,9462,16923,26431,9370,16412,28912,10154,18218,34778,11031,23172,29368,10023,19089,28435,8834,19570,28598,9459,18737,28406,9872,18527,28352,8968,18434,28159,8778,18660,28466,8755,19711
69,69,60105,56424,2144,841,336,437,40,59988,55298,2905,969,380,670,76,59952,54039,3490,1078,368,782,47,59971,55106,2947,964,412,697,43,59943,54134,3506,1349,436,814,40,43758,41314,1313,689,192,299,28,42544,40647,684,552,184,490,0,43971,40088,2095,812,243,556,26,43971,40088,2095,670,176,199,7,80,656,42659,40676,648,648,233,517,0,42656,40306,905,805,241,476,4,25156,12888,11534,24264,10547,13717,24531,7253,15899,24272,8252,14908,20689,8758,11924,20826,6787,13659,20526,6833,13197,22625,7495,14614,26857,7779,18440,22463,7199,14991,21296,6098,15163,21431,6658,14405,21208,6945,14257,21165,6268,14193,21092,6040,14434,21318,5962,15356
70,70,58410,52957,1463,1428,475,2265,103,58889,52689,1860,1725,484,2385,16,59394,51882,1885,1786,669,2988,96,59346,52847,2048,1855,537,2405,28,59393,52389,1899,1883,676,2374,35,44709,41020,869,1146,280,1463,57,45034,41332,791,1188,273,1482,4,46063,40866,1209,1309,455,2000,74,46063,40866,1209,1130,312,1263,26,112,1145,45875,41985,880,1295,312,1507,4,45932,41830,984,1304,395,1444,4,25399,13927,10843,25316,13455,11861,25642,9472,14604,25315,10479,13645,21702,10879,10807,21791,9482,11827,21533,9174,11744,23856,9996,13286,28755,10899,17384,23612,9640,13678,22177,8469,13669,22201,9108,12744,22110,9125,12976,22058,8385,12837,21895,8317,12905,22157,8716,13441
71,71,59384,54654,1621,643,2148,441,44,59871,54111,1860,1045,2389,501,98,59463,51928,2296,1387,2636,1019,84,59764,53832,1957,998,2588,449,118,59826,53493,2132,1046,2546,564,144,47306,44386,949,361,1333,323,32,47189,44426,1036,459,824,345,4,47994,42869,1500,893,1803,725,60,47994,42869,1500,665,1603,196,16,99,1046,47264,44213,1156,527,953,325,4,47759,44309,1218,568,1149,353,4,33380,21150,11557,32628,18879,13749,32290,16011,13841,31741,16358,14197,28997,17310,11645,29133,15528,12813,28754,15471,12729,30586,16368,13368,33564,17729,15084,29508,16175,12856,27734,14996,12697,27810,15625,11892,27500,15467,12018,27532,14632,11774,27322,14568,12038,27592,14908,12684
72,72,59599,55761,1446,567,1043,908,24,58385,53450,2081,1039,1220,789,35,59742,53886,1969,954,1133,1437,62,58352,53211,2257,911,1157,882,12,60404,54359,2489,798,1229,806,15,46791,44583,799,246,617,589,19,45990,43518,834,503,631,481,19,48081,44456,1190,465,719,953,41,48081,44456,1190,277,627,384,14,98,1035,45798,43312,991,427,528,541,4,47815,44941,1253,477,566,525,4,30764,17095,12980,30471,15566,14905,30067,11203,17412,29772,12145,16352,26716,12838,13848,26814,11189,15120,26357,10920,14890,28616,11810,16248,33687,12976,20231,28453,11485,16685,27139,10291,16785,27140,10846,15845,26953,10878,16061,26960,10173,15884,26980,10171,16049,27081,10181,16900
73,73,59357,52016,849,894,621,5291,43,58120,50607,1174,1103,865,4667,37,59853,49988,1236,1306,731,6392,105,57723,49921,1256,1143,875,4605,123,58930,50579,1420,1450,876,4736,17,46569,41827,479,413,414,3532,32,45688,41045,615,512,361,3106,4,48115,41418,758,745,479,4418,56,48115,41418,758,471,303,2964,18,126,2057,45754,40782,666,528,360,3212,85,47210,41803,786,734,476,3337,8,32585,21922,9973,30917,20917,10000,30622,16576,11991,30003,17262,11713,26001,17304,8682,26125,16270,9198,25776,16229,9071,28462,17158,10607,33484,19523,13323,27849,16800,10672,26016,15616,10360,26018,16069,9678,25791,15680,10092,25829,15185,9579,25781,15368,9836,25901,15443,10458
