ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
20,20,279626,258103,9404,9001,2572,1575,167,272166,244491,13668,11680,2881,1710,197,270863,234418,14935,12549,3740,4523,327,269942,234215,14794,12076,3744,4527,325,272039,240627,15575,13237,3293,2300,171,271897,236513,17936,13615,3444,2422,148,221386,207104,5995,6007,1672,1077,108,218754,200967,8466,6737,1461,1049,45,219947,195004,9763,8294,2648,3236,202,219947,195004,9763,6675,1921,267,30,508,5779,218361,198492,9444,7222,1509,1363,49,218459,197523,10734,6996,1767,1339,38,124460,60587,61701,111865,51809,60056,125861,43047,78686,123968,45684,69919,120960,49802,71158,103177,42927,58849,102794,45875,55258,123735,48552,72285,146820,55495,89716,144418,59379,80975,142851,51445,85134,143085,53071,85297
21,21,272285,261704,2612,5118,1651,1344,171,262769,249674,3234,6493,2033,1959,263,258828,240542,3587,5652,2231,4364,216,258167,240495,3506,5259,2280,4378,217,261108,246727,3448,6755,2090,1516,222,258709,242449,4109,5905,2796,1702,409,216027,208745,1705,3496,1181,968,109,212483,203943,1870,4385,940,1237,33,210061,196882,2467,3977,1550,3170,145,210061,196882,2467,3065,1085,250,43,398,5871,212150,203655,2075,4252,1033,968,0,210530,201935,2472,3596,1279,1031,22,122338,48180,71747,113346,40111,73235,123284,33201,84761,122421,35649,78804,120568,40449,80119,97598,36233,59401,98068,38019,58066,118531,37504,77773,138166,39257,96991,136291,43847,88515,135178,35200,93339,135351,37132,93012
22,22,247417,215110,14908,12458,5362,1222,176,245404,196777,24569,17765,8294,1697,355,250491,190030,29004,21036,9192,3542,363,251084,190384,29060,21238,9238,3543,365,244667,191837,27541,17702,8893,1764,425,250709,191221,31443,20209,9448,1846,523,198369,178074,8873,7302,4078,825,126,188570,164210,11539,8599,3343,685,73,202719,162070,18755,13436,7021,2452,247,202719,162070,18755,10079,6233,229,34,579,4740,187078,160808,12979,8497,3766,763,83,190899,161684,14418,9534,4303,822,91,116936,73262,42208,104006,66665,37341,110028,55838,50987,108050,57871,42653,104840,64465,40375,87766,53153,33673,87436,56328,29976,105311,60249,42760,122462,66677,54621,119733,71729,44785,117675,63126,49249,117989,65632,48157
23,23,272089,252254,5136,11341,2341,1870,201,267500,245156,6475,11666,2871,1855,228,263721,235117,5992,12437,3556,5036,292,263353,234901,5946,12457,3567,5041,300,266363,243108,6671,11621,2932,1775,196,264155,239821,6621,11944,2935,2085,234,215713,201434,3764,7971,1689,1409,135,211385,197055,4067,7490,1314,1303,76,209998,189726,4152,8518,2585,3701,176,209998,189726,4152,7094,1963,402,42,482,6137,210565,196025,4301,7592,1463,1191,51,208295,194485,3969,7398,1258,1395,46,114365,43643,68363,104209,36134,68075,115202,30220,80295,114894,32123,75595,113313,34990,78323,93283,31827,59799,93318,32973,58447,112971,33856,76217,134198,38368,93779,132533,39432,89163,131775,34127,91607,131987,34274,93422
24,24,249619,217605,7116,15688,9013,1174,205,258725,219651,8836,18763,11167,815,193,264325,215491,11903,20476,12685,3357,256,262737,215136,11673,19611,12702,3355,256,260189,217872,10771,19771,11574,1095,269,264729,218762,12678,19902,12697,1519,273,189465,168199,4450,10424,6044,811,114,197055,173695,5191,12075,5423,446,34,207483,173993,7667,13854,8838,2378,175,207483,173993,7667,11639,7821,188,38,654,5483,198334,173319,6221,12782,5210,502,44,203660,176790,7358,12559,5880,739,39,119818,63014,55220,115773,55409,60364,126233,56325,64387,125186,53305,69333,123760,56418,67342,107035,56553,48577,107217,59006,46495,127640,62168,62664,151675,74943,74805,149803,72938,72252,148987,66020,76025,149335,69126,74953
25,25,272701,255046,4324,6059,6264,1337,184,272095,249947,5705,8004,7572,1553,276,267675,240443,6149,7417,7636,3999,466,265569,239735,5911,6363,7660,4002,465,270854,248669,5611,7702,7526,1468,205,268167,244309,5723,7557,7511,1734,188,221983,207157,3497,5013,5512,1016,138,217883,203853,4069,5876,2799,1064,72,220681,198640,4837,5977,6564,2927,387,220681,198640,4837,4980,5145,253,51,519,6256,217433,203615,4163,5821,2665,1102,36,215745,202075,4080,5249,3100,1027,28,120282,57504,60391,105985,44493,61492,121163,42101,73926,120457,42893,70343,118484,47569,70915,95078,42109,51004,95484,41816,51805,115056,43463,68468,131891,46441,83641,130483,46635,80103,129455,40831,82681,129927,43666,81744
26,26,244394,180915,6884,39092,17709,1452,291,247181,170002,8564,48027,20815,2011,326,254852,162141,12459,54921,23017,3017,306,255232,162324,12468,55137,23042,3018,307,247645,166899,9851,49247,21604,2255,559,254063,166381,12022,52296,22508,2224,613,189429,145559,4672,26138,12971,953,192,180530,136245,4309,28638,10293,849,0,199322,133383,8344,38480,17082,2113,225,199322,133383,8344,35559,15860,206,53,842,5075,180935,134420,4936,29270,11068,825,190,186677,135779,5644,31545,12345,815,145,130756,75007,54185,132305,76756,55549,132146,75593,52157,130497,69835,58867,128726,72059,56667,112750,71214,39949,112595,73178,38111,129702,77419,50161,146616,89343,55895,144724,85271,56161,144057,79605,58894,144152,82381,58030
27,27,267640,253094,5535,5653,2646,1259,127,263849,245454,7817,6594,3786,1330,180,261133,236031,9624,6990,4133,3634,298,260244,235889,9467,6471,4142,3634,298,262903,243486,8211,6879,3780,1182,270,260926,238755,9156,7470,4019,1343,265,212899,203035,3490,3932,1840,882,82,211084,199295,4718,4005,2100,840,34,209987,192731,6253,4646,3026,2672,208,209987,192731,6253,3479,2405,218,54,353,4494,210291,198389,4699,4161,2150,797,115,209110,195864,5417,4443,2383,853,149,107961,45634,60052,101345,40137,61208,112616,32005,76220,110819,35212,67956,108662,40273,68389,91158,33080,56771,90938,37960,51471,109569,37112,69752,129542,40655,87031,127582,44910,78847,126374,37204,83180,126964,40719,81712
28,28,249850,228351,7663,9075,3925,1350,193,255672,227029,11249,12219,5200,1698,335,262208,224169,13684,14052,5616,4600,262,262475,224371,13694,14181,5636,4607,264,257232,224366,13402,12762,5469,2203,340,262713,225942,13994,15173,5536,2823,471,194013,179987,4965,5692,2555,921,125,196633,181049,5681,6439,2361,748,83,206734,181225,8676,9136,3861,3275,156,206734,181225,8676,7157,3108,339,48,614,5567,196674,179578,6457,6815,2495,1087,68,201313,182355,6840,7971,2498,1172,117,115082,45739,67725,110672,40190,70482,123183,37311,80494,123173,38052,79004,121663,40383,81280,101174,39246,59668,101267,42411,56985,121683,42355,76023,142854,49579,91089,141264,48007,88831,140684,43471,90599,140803,44103,91014
29,29,266065,238132,18542,7811,1897,1397,243,258199,218636,29343,10809,1995,1372,254,266346,213945,37501,10924,2466,3605,377,264845,213702,37230,10004,2479,3605,380,257370,216974,29633,11144,2028,1384,279,266404,216987,36764,14041,2143,1850,353,210834,192569,11311,5651,1349,952,157,198826,178950,12841,5360,792,765,18,213319,177853,24635,7760,1771,2545,237,213319,177853,24635,5026,1213,224,38,450,3880,199021,178467,13322,5429,862,878,22,204006,179491,16520,6003,1038,771,18,108541,50454,55761,98317,43744,54573,110355,32464,74265,108348,37023,63651,105967,42260,63707,85279,31717,52444,85020,37321,46247,105186,37042,65601,124246,39430,83201,122195,44946,73609,121081,37875,77297,121327,39550,77464
30,30,259163,246860,3237,6620,1676,1072,134,253942,239051,4297,7711,2111,1095,284,251122,231335,4593,7776,2185,3668,244,249843,231093,4432,7062,2194,3672,245,252968,237195,4349,7716,2099,1151,204,250989,233025,4659,7823,2308,1450,169,202913,194555,2039,4526,1184,776,90,200403,191138,2271,4981,1000,806,67,200464,186525,2991,5384,1537,2674,150,200464,186525,2991,4385,1113,245,28,429,4748,199601,190390,2363,4858,1034,847,63,198330,188395,2575,4984,1214,1016,53,104931,36453,66508,98544,29673,68871,110440,25107,81689,109745,27421,75813,108411,31810,76601,87247,27389,58281,87602,27653,58502,107372,28195,76854,127909,31022,95510,126465,31660,91699,125649,26937,93534,125989,29394,92882
31,31,243575,197559,19043,23715,4576,1801,271,251751,196231,24725,26800,5968,2071,192,260623,194595,29448,28087,6853,4444,419,259208,193786,29339,27571,6875,4448,422,252855,197515,24749,27382,5602,1816,130,260918,199368,29050,28906,5907,2113,257,186721,157890,11341,14628,3044,1202,166,191956,159204,13339,15297,2985,981,0,203824,159268,18969,18533,4890,3178,273,203824,159268,18969,14740,3895,259,67,774,5852,195071,161707,14140,15412,2954,724,0,201817,164645,16665,16425,3214,696,0,109283,49836,57986,104153,44701,59452,113326,43764,64453,113530,43118,64700,112241,45840,66401,94405,43135,49177,94496,47374,45304,112417,47930,61372,131229,55746,73441,129710,54475,71338,129067,48731,74268,129125,50279,73747
32,32,268622,254066,2374,10059,1108,1215,121,258259,241479,3321,10895,1598,1467,311,254940,233904,3182,10233,1334,3982,304,252099,232746,2931,8964,1348,3988,310,256443,238972,3384,11010,1817,1507,391,254230,234633,3540,10331,2147,2169,360,214145,203654,1685,7238,758,911,70,207678,196572,2032,7312,669,800,48,207164,191875,2175,7459,922,2941,191,207164,191875,2175,6474,601,239,104,315,5381,206360,195220,2068,7380,612,870,48,204565,193425,2242,6794,716,1338,24,112836,45720,64808,104591,36749,67842,115325,29654,82898,114486,33998,74113,112409,40590,71819,89803,34193,54316,90170,34115,54612,111468,34234,75276,132677,34291,97281,130789,39971,88267,129630,32774,92342,129777,35744,90818
33,33,251037,226844,12553,8375,2797,1570,172,256617,226979,15961,9925,3209,1690,286,259784,222511,18554,10494,3622,4635,286,260301,222913,18571,10783,3659,4643,288,257581,226476,16628,10792,3330,1720,187,260688,226412,17796,11309,3619,2305,158,192859,178248,7324,4909,1845,1056,108,196065,181885,5842,5604,1580,997,25,203969,179795,11449,6592,2526,3318,185,203969,179795,11449,4832,1898,336,48,513,5098,197431,182345,6525,5805,1624,1033,0,201450,184480,8106,6051,1706,994,4,108629,38817,68265,104100,34031,70069,117220,31684,81191,117297,32420,79150,115349,34699,80650,94129,32265,60154,93975,34309,58135,115362,35035,77533,137418,40676,94812,135297,39543,91821,134650,35049,93437,134810,36505,93412
34,34,251165,231180,5087,6925,7316,1256,211,261539,232691,8626,9230,10477,1448,220,266153,226831,9724,11010,13989,3842,385,266501,227124,9729,11141,14021,3845,390,262964,230591,9210,10156,12135,1638,263,267675,230019,9849,11625,14199,1890,305,195879,182915,3104,4141,5104,869,136,199878,185102,4719,4971,4174,890,19,209658,182969,6302,6862,9903,2847,248,209658,182969,6302,5061,8806,241,62,671,5546,200445,184232,4918,5335,4930,1007,14,204619,185447,5525,5976,6310,1019,10,115245,45687,67808,110002,41553,68449,124263,41735,77251,124132,40871,77838,122284,43160,79124,104681,42605,59999,104743,47537,55057,123664,46605,73899,144514,54201,88177,142866,53380,85436,142070,46372,89468,142078,48812,87912
35,35,271414,250571,5031,10283,5168,1072,155,261217,237466,5878,11543,6776,1218,285,261408,228873,6754,12052,8709,3583,204,260141,228422,6603,11452,8727,3586,206,259498,234563,6124,11782,6990,1400,283,260439,233129,6431,12085,6822,1513,400,218396,202482,4021,7627,3987,801,112,206639,193973,3406,6463,2080,756,41,213721,189203,5183,8167,7253,2652,129,213721,189203,5183,6668,6603,185,28,461,5390,205915,192250,3618,6985,2284,973,47,207445,192690,4052,7288,2401,968,72,122998,59418,60817,113731,46834,66897,120702,38859,77586,120336,42600,70159,118531,50176,68355,95970,42566,51873,96310,42442,52306,116323,43408,70267,135321,45399,88251,134093,49415,81356,133186,41661,85698,133337,46862,82282
36,36,248237,223637,11818,6765,6011,1116,162,260560,226199,18196,9597,6632,1400,219,268842,226007,20258,11028,9225,3102,266,269182,226273,20284,11124,9258,3107,269,261988,226506,19036,9523,6924,1245,177,268777,228877,20780,9480,9424,1625,170,189760,174771,6984,3785,3992,739,104,197429,178470,10050,4918,3169,665,25,210761,182428,12910,6790,6404,2220,175,210761,182428,12910,4598,5598,192,34,611,4390,200344,180394,10782,4933,3365,637,4,207570,184469,12706,4492,4972,767,4,118592,48790,68443,115015,43101,71914,127452,45532,75254,128480,44737,78409,126226,45840,80386,109075,47468,59243,108918,50943,55752,128086,51199,73384,149162,61135,85725,147496,57703,85780,146728,52794,88090,146658,53163,88419
37,37,221321,203127,2919,7014,7732,688,143,232286,206984,3521,9373,12307,790,123,248775,211438,6258,9543,16745,2636,247,248858,211504,6258,9634,16760,2636,247,233358,204960,3234,10113,13535,862,93,246724,215646,3685,10941,14341,791,208,171107,159056,1849,4682,5149,464,94,175632,162754,2037,5502,4664,527,30,195775,170503,4161,6596,11246,1881,155,195775,170503,4161,5244,10260,128,57,545,4877,177395,164130,1888,5841,4878,594,0,188065,172675,2100,6739,5862,502,4,120499,53002,66335,118698,50295,68403,128140,56281,67340,127982,53209,69822,125649,56898,68751,111563,60129,49685,111452,62409,47549,129928,63844,63206,151529,73913,75882,149747,77171,68825,148125,66132,76439,147933,67727,75414
38,38,245630,213145,3006,22228,6681,1155,147,245126,210035,4578,20422,9488,984,423,251389,210110,5488,20484,10811,2864,203,251647,210227,5490,20673,10825,2865,203,244592,210241,4433,19522,9287,996,450,251636,214054,5672,19288,10730,1171,233,193296,170524,1999,15785,4499,786,93,190940,170035,2558,13782,3688,399,45,202526,172788,3736,15082,7608,2059,134,202526,172788,3736,13375,6625,162,35,634,5171,192237,171210,2532,13937,3819,417,93,196975,175147,3169,13762,4115,483,42,135551,68244,65971,130016,64497,65519,137411,69312,62837,137256,66618,64708,134777,70970,63807,118769,71503,45112,118667,73548,43288,136810,75660,57819,156101,84848,69417,154438,88282,61608,152654,76944,69289,152425,78535,68164
39,39,266804,253774,2341,6964,3004,962,122,258391,243542,2601,7852,3562,1044,162,261458,239212,3986,8611,4153,3224,165,261704,239404,3987,8743,4174,3228,166,257591,241345,2800,8517,3685,958,143,261642,242341,3516,8434,4066,1132,246,213908,205328,1526,4481,1999,673,73,209272,200438,1647,4346,1986,537,30,213471,198277,2696,5435,2934,2324,106,213471,198277,2696,4073,2351,171,20,432,5451,209155,199915,1782,4726,1855,609,18,212730,202625,2195,4973,2076,633,24,132711,52835,78084,125794,46514,79280,136681,44244,88063,135399,46388,82004,132748,52757,79991,109845,47726,60315,110666,51121,57888,132656,50944,78814,153808,54221,97887,152431,62340,86655,150882,50939,94317,151083,53387,93230
40,40,259602,203551,24870,27487,5125,2104,307,254664,190504,30197,29570,6377,2756,346,257221,183227,32614,33373,6556,4652,345,256698,183009,32558,33204,6578,4654,345,255317,188262,31725,29618,6521,2427,378,256687,183442,34252,31496,6575,2724,572,200780,163474,15920,18240,3520,1498,200,198956,156468,19213,18666,3207,1043,115,206513,153168,22428,24069,4852,3453,234,206513,153168,22428,19390,3809,355,44,1181,6138,200204,155885,20160,19111,3552,1111,190,201766,154228,21774,20265,3804,1278,214,111745,63383,46792,101346,57019,44327,113337,51483,57981,109782,53166,51372,106755,55980,50775,91440,49182,41031,91305,51878,38122,110915,56238,52183,132109,64974,65595,129649,66773,58932,128553,60733,61687,128678,62267,61699
41,41,269258,256326,2216,8217,1685,1170,119,258379,243943,3309,8150,2176,1239,101,255009,234325,3340,9311,2090,3717,201,254701,234386,3286,9062,2104,3725,202,256237,241517,3345,7650,2266,1258,67,254792,238064,3283,8482,2123,1439,41,215566,206701,1483,5501,1211,840,66,208697,199223,2131,5588,952,942,8,207232,192720,2234,6250,1481,2748,129,207232,192720,2234,4995,1033,234,34,425,5557,206472,197600,2044,5115,941,911,8,205835,196205,2122,5491,1125,1031,4,117548,49714,65594,111615,41632,69983,119801,34744,81121,119060,38306,72483,117034,45042,71992,93490,38202,53619,93633,39152,52950,114854,39526,72670,134807,39875,93306,133604,47555,82734,132515,38010,88910,132804,40717,87609
