ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
10,10,22163,18386,899,462,309,2420,66,21270,17413,1140,474,328,2208,205,21549,16646,1119,603,475,2822,101,21648,16708,1120,555,440,2632,83,21380,17167,1332,505,320,2204,171,22241,17426,1467,686,289,2385,81,17232,14696,566,262,226,1610,46,16537,13999,779,269,141,1268,19,16900,13578,700,359,312,1915,60,16900,13578,700,215,183,1181,29,83,931,16562,13592,893,390,144,1506,25,17427,14178,970,366,216,1621,0,9104,5244,3624,8750,3490,4543,9076,5264,3492,8818,2943,5875,8608,4883,3437,9445,4503,4687,9930,4399,5193,9958,5060,4898,9905,4521,4884,9727,4640,5087,9665,4164,4943,9706,4380,5326,6972,1933,3275
11,11,20248,17579,889,741,416,785,83,21124,18234,1091,813,328,715,132,21780,17222,1462,894,730,1431,121,21796,17231,1463,871,709,1375,113,21030,18034,1049,824,381,760,146,21611,18021,1070,928,419,995,98,15119,13420,535,450,272,479,48,15644,13816,765,451,93,458,0,16369,13316,992,605,486,867,77,16369,13316,992,429,277,353,39,90,873,15599,13873,726,428,126,399,0,16021,14039,768,581,173,439,15,8375,4161,4012,7638,2848,4143,7786,4405,3134,7582,2333,5249,7351,4087,3040,8580,3868,4463,9241,3858,5082,9255,4438,4817,9191,3959,4809,8998,4056,4942,8915,3556,4848,8991,3788,5203,6375,1593,3198
12,12,20821,18310,632,336,375,1330,36,21274,17376,1146,549,554,1956,67,21765,17761,923,474,482,1981,81,21823,17797,924,437,459,1780,66,20938,17504,1124,511,376,1739,63,21493,18051,1191,451,543,1343,5,16339,14754,370,193,244,852,22,16831,14333,618,299,392,1144,25,17415,14686,641,269,347,1301,58,17415,14686,641,156,225,722,18,88,879,16491,14308,583,260,288,927,34,17181,15144,630,207,335,796,4,9563,4703,4617,9185,3429,5112,9483,5206,4015,9219,2706,6513,9112,4734,4139,10043,4369,5457,10563,4286,6014,10643,4886,5757,10588,4411,5757,10455,4490,5965,10318,4021,5791,10379,4186,6193,7811,1811,4075
13,13,20650,19276,312,128,184,797,30,20736,19197,323,176,198,818,22,21873,19509,551,197,229,1224,46,21739,19406,546,192,223,1180,43,20927,19089,301,215,432,841,95,22093,19749,596,204,406,1044,107,16074,15137,195,59,119,565,20,15899,14963,152,116,42,589,15,16948,15296,356,101,156,880,33,16948,15296,356,58,86,446,5,61,640,16204,15125,140,94,132,666,4,16825,15465,272,75,122,843,10,10316,4172,5719,10325,2796,6869,10675,4804,5614,10384,2258,8126,10439,4422,5722,11213,3600,7401,11777,3396,8121,11836,3952,7884,11786,3568,7817,11595,3530,8065,11447,3202,7754,11511,3327,8184,9268,1519,5938
14,14,21888,19007,413,114,188,2307,41,21682,18464,715,180,213,2399,55,21573,17698,618,225,272,2727,80,21590,17704,618,216,271,2707,78,21838,18524,727,163,240,2448,33,21831,18090,689,182,185,2776,41,16646,14911,227,57,115,1372,21,16480,14532,400,84,120,1350,0,16440,14030,387,124,182,1672,45,16440,14030,387,45,92,1102,8,47,729,16401,14548,429,73,134,1211,4,16261,14225,415,71,36,1454,4,10091,4353,5243,9667,2584,6317,10015,4456,5265,9658,2423,7235,9491,4392,4722,10210,3535,6453,10759,3294,7164,10790,3972,6818,10736,3532,6715,10667,3540,7127,10537,3209,6753,10541,3335,7206,8108,1708,5055
15,15,19928,18113,416,84,101,1233,14,21683,18900,978,117,322,1384,78,21799,18797,867,218,286,1528,44,21807,18804,867,218,286,1526,43,21494,18525,799,120,184,1824,62,21633,18439,954,122,233,1510,307,15408,14272,274,30,61,791,6,16278,14690,500,35,113,886,20,16642,14706,532,132,176,986,23,16642,14706,532,63,121,432,5,50,733,16128,14752,465,37,98,721,45,16057,14682,476,59,96,555,110,10340,3733,6120,10376,1930,7784,10490,3170,6903,10083,1880,8203,9825,3182,6207,10896,2515,8173,11657,2290,9099,11655,2873,8782,11589,2611,8510,11464,2440,9024,11204,2206,8424,11281,2353,8928,8240,1322,6089
16,16,19604,6148,353,60,106,13229,16,20575,5912,795,101,127,14162,17,20631,5526,490,109,179,14666,40,20646,5528,490,109,175,14664,39,20305,5865,588,112,107,14003,11,19964,5652,781,108,131,13868,13,13097,4958,202,23,72,7979,10,13526,4609,338,49,45,8453,0,13945,4456,272,61,111,9194,18,13945,4456,272,24,50,8537,0,32,574,13486,4247,256,62,70,8813,0,13517,4188,387,74,48,8776,4,7551,4814,2495,6563,3334,2723,6763,4241,2303,6569,3436,3133,6960,4721,2087,7261,4274,2850,7626,4294,3165,7676,4721,2955,7625,4338,2974,7614,4414,3200,7540,4244,2976,7544,4344,3200,4574,1737,2315
17,17,21212,20224,341,96,104,476,14,21712,20215,614,80,182,704,0,21771,19814,566,175,246,779,68,21650,19743,562,173,241,730,65,21373,19798,698,66,179,669,1,22170,20384,485,112,259,681,3,16736,16123,201,49,72,294,10,16660,15760,407,78,57,383,0,16857,15613,318,107,157,512,38,16857,15613,318,50,75,225,4,41,531,16485,15472,439,51,83,464,0,17022,16036,242,102,153,502,0,11450,3278,7567,11351,1617,9231,11513,2717,8386,11111,1664,9447,10610,2692,7572,11716,2093,9474,12522,1934,10363,12519,2412,10107,12447,2273,9784,12279,2027,10252,12122,1888,9733,12163,1989,10174,9654,1034,7613
18,18,22299,20564,619,122,163,906,36,22248,20022,930,142,99,1177,29,21668,19144,762,206,224,1258,56,21621,19121,760,202,219,1219,55,22231,19861,916,135,193,1005,32,21637,18873,1029,103,216,1115,23,17083,16063,355,47,104,530,19,17051,15884,514,31,94,518,19,16874,15219,479,111,144,830,33,16874,15219,479,63,77,408,7,33,588,17268,15915,587,46,143,540,19,16812,15407,511,49,143,677,19,11033,4223,6361,10270,1961,7695,10523,3645,6535,10249,1797,8452,9816,3400,6068,10877,2718,7959,11528,2552,8727,11527,3132,8395,11514,2743,8279,11427,2663,8764,11336,2494,8277,11332,2627,8705,9062,1307,6259
19,19,21407,20269,439,100,99,550,25,21902,20209,499,126,175,747,248,21786,19807,573,149,179,873,45,21809,19826,574,149,176,858,45,21629,19874,525,190,233,830,31,21820,20026,615,176,232,837,9,16729,16016,257,36,66,378,15,16958,15895,351,28,93,463,115,17239,15917,361,69,126,604,31,17239,15917,361,23,58,189,8,62,621,17060,15991,367,17,112,550,10,17373,16090,448,55,222,543,0,11039,3360,7226,10946,1993,8302,11250,3847,6979,10907,1743,9164,10895,3277,7212,11942,2622,9105,12673,2485,9923,12690,3027,9663,12645,2638,9576,12529,2557,9972,12432,2345,9525,12447,2572,9875,10240,1058,7471
