ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
20,20,19327,17149,800,176,153,1154,43,21751,18418,1407,338,193,1924,0,21472,17782,1334,334,259,1726,69,21501,17805,1335,306,242,1618,60,22804,19378,1640,267,158,1692,0,22022,18455,1435,274,204,1694,119,14093,12895,432,72,92,650,23,15911,14220,587,78,162,850,0,15867,13678,770,163,164,1003,37,15867,13678,770,78,78,542,12,38,671,16488,14807,798,66,162,624,0,16155,14527,719,89,135,610,0,8222,3493,4503,8497,2178,5699,8749,3930,4458,8496,1957,6539,8611,3486,4791,9885,3168,6411,10613,3112,7189,10595,3707,6888,10574,3281,6681,10468,3219,7249,10402,2926,6863,10419,3160,7259,7404,1366,4522
21,21,20643,7739,1052,160,113,12040,16,22025,7751,1363,234,377,12791,260,20560,6754,960,232,182,12813,48,20583,6761,960,216,177,12774,43,21506,7352,1373,253,328,12840,227,20548,6991,1268,332,340,12097,322,13994,6212,592,84,77,7224,11,14855,6277,776,94,41,7635,4,14013,5516,603,125,131,7788,24,14013,5516,603,57,56,7231,6,6,538,14500,5832,802,117,46,7770,0,14106,5635,723,199,50,7408,4,7941,5158,2528,6442,3141,2838,6660,4166,2250,6493,2787,3706,6900,4454,2284,7122,3867,3110,7414,3777,3482,7442,4130,3312,7432,3829,3263,7379,3900,3479,7356,3766,3266,7330,3850,3480,4849,1729,2155
22,22,19289,17082,839,252,243,1005,37,19641,17255,923,213,325,1032,0,21594,17944,1224,431,412,1576,68,21627,17966,1226,396,398,1486,61,20183,17890,960,287,202,935,0,22905,19947,1311,309,248,802,222,14207,12937,465,114,161,581,23,14422,13161,496,86,93,585,0,15963,13793,693,199,263,920,49,15963,13793,693,119,146,500,10,60,642,15023,13587,431,227,98,710,0,16575,15077,527,192,109,547,85,9165,3905,5049,8882,2610,5479,9205,4259,4627,8908,2105,6803,8885,3943,4631,10331,3736,6297,11081,3776,7010,11143,4383,6760,11071,3896,6685,10947,3767,7180,10857,3485,6760,10856,3691,7165,8099,1695,4486
23,23,21614,18942,947,350,252,1282,62,21665,18582,1045,500,321,1437,10,21738,17808,1345,526,386,1594,82,21786,17839,1351,481,361,1497,78,21460,17671,1208,493,500,1758,138,21793,17558,1535,443,560,1604,349,17500,15778,601,190,175,818,39,17192,15238,739,279,82,896,10,17547,14821,924,322,272,1083,43,17547,14821,924,165,175,603,23,79,757,16842,14457,877,258,168,1044,8,17255,14776,1056,279,171,881,14,10875,5646,4923,9296,4185,4285,9636,5550,3762,9222,3423,5799,9347,5520,3541,10239,5348,4595,10735,5479,4928,10805,5950,4855,10741,5420,4763,10593,5442,5151,10512,5006,4827,10542,5280,5262,7661,2206,2855
24,24,20144,15644,2008,497,233,2136,56,19573,15554,1520,539,303,1860,111,21743,16112,2294,676,313,2607,95,21647,16059,2280,624,297,2415,84,19996,15172,1865,602,388,2342,70,20352,15346,2122,541,382,2257,51,15633,12758,1270,268,157,1351,28,14717,12283,909,196,125,1169,30,17109,13334,1508,384,201,1738,63,17109,13334,1508,205,103,1071,23,62,803,15001,12161,1236,173,89,1267,24,15970,12801,1402,156,83,1561,4,8008,4640,3067,7017,2892,3371,7263,4279,2598,6976,2630,4346,6995,4221,2456,8144,4095,3736,8797,4199,4249,8770,4814,3956,8749,4211,3895,8646,4254,4392,8586,3859,4044,8595,4113,4482,5725,1861,2394
25,25,19058,17295,661,202,250,734,52,21903,18839,1433,450,251,1315,68,21699,18078,1252,362,432,1433,140,21719,18088,1253,346,422,1403,133,20117,17282,1549,495,141,963,60,21177,17974,1802,533,260,730,34,14806,13732,392,94,158,456,27,17489,15651,783,100,186,722,33,17087,14790,771,190,301,880,86,17087,14790,771,95,200,501,52,66,612,16209,14828,722,64,56,519,30,16550,15044,832,102,72,502,0,9323,4229,4869,9965,3275,5925,10323,4888,5082,9960,2478,7482,10067,4667,5103,10839,4252,6294,11295,4251,6743,11334,4801,6533,11295,4288,6513,11167,4199,6968,11080,3874,6689,11089,4079,7010,8175,1862,4301
26,26,19095,17667,579,164,251,489,33,19748,17901,823,319,462,387,57,21657,18943,952,290,418,928,72,21673,18954,952,275,409,880,67,20344,18355,683,310,509,618,57,21717,20107,415,149,528,397,35,14795,13978,300,63,163,303,17,14753,13860,350,79,186,245,2,16769,15069,583,150,273,580,41,16769,15069,583,80,173,307,19,37,501,15406,14367,277,72,243,398,0,16872,15857,274,48,342,310,0,11201,4583,6371,10837,3744,6354,11324,5201,5868,10946,2690,8256,11287,5217,5801,12217,4846,7103,12802,4977,7520,12926,5381,7545,12867,4915,7532,12698,4811,7887,12577,4473,7607,12613,4690,7923,9917,2008,4981
27,27,16454,15287,438,99,136,525,30,19924,18114,979,211,75,504,129,21583,18981,954,178,325,976,51,21600,18991,955,174,324,949,50,21042,19431,674,364,117,417,59,22101,18717,901,471,171,1202,115,12184,11512,249,45,83,304,22,14770,13870,471,57,29,334,0,16089,14484,551,89,196,614,25,16089,14484,551,49,129,278,4,45,549,15586,14855,360,67,59,229,0,16183,14730,432,88,65,824,0,7956,3244,4453,8389,2050,5739,8644,3555,4781,8388,1747,6641,8433,3197,4913,10576,3189,7122,11713,3277,8101,11732,3848,7884,11701,3418,7766,11591,3306,8285,11515,3068,7854,11543,3233,8310,8729,1317,5448
28,28,20879,19974,422,92,114,320,27,21886,20503,647,103,154,471,6,21199,19328,563,95,168,654,59,21209,19337,563,95,166,652,59,21926,20398,667,123,146,508,18,21206,19502,692,155,133,633,13,16413,15835,251,50,77,222,18,17475,16593,424,68,53,340,4,17020,15741,372,60,108,444,30,17020,15741,372,19,49,126,0,58,655,17551,16598,459,64,70,379,8,17082,16029,510,63,57,401,8,11460,4173,6830,11879,2911,8243,12127,4826,6925,11771,2510,9261,12027,4476,7185,13183,3864,9083,14034,3827,9918,14002,4244,9758,14061,4012,9573,13912,3821,10091,13865,3612,9623,13899,3767,10132,11331,1597,7210
29,29,19477,18551,403,72,163,309,27,20399,19087,580,156,208,432,33,21743,19659,680,165,290,701,23,21752,19668,680,161,290,691,21,20899,19404,649,191,276,439,20,21957,20145,683,131,301,740,23,15800,15171,248,38,114,233,16,16704,15792,376,134,116,275,0,18170,16616,482,121,209,517,15,18170,16616,482,62,105,122,0,72,711,17160,16124,437,125,175,262,0,18250,16993,493,69,193,429,0,11547,5857,5217,11793,5115,5721,12106,6857,4830,11622,5115,6507,12323,7015,5009,13776,7098,6392,14779,7464,6984,14845,8044,6801,14803,7532,6772,14571,7450,7121,14479,6988,6657,14541,7312,7229,11486,4227,4908
30,30,17453,16490,496,82,192,203,25,20315,18736,830,340,374,415,3,21753,19435,1047,181,408,399,45,21753,19435,1047,181,408,399,45,20135,18094,1203,247,412,371,2,20906,18409,1348,71,586,263,27,13640,12994,323,48,128,154,15,15450,14652,378,105,157,146,0,17278,15598,765,124,268,314,28,17278,15598,765,48,167,40,6,66,588,15009,14121,473,78,218,128,0,15637,14664,618,41,225,128,0,10425,5329,4815,11578,5784,4821,11985,6916,4751,11493,5315,6178,12308,7607,4449,13436,7635,5518,14307,8118,5825,14407,8435,5972,14345,7976,5935,13962,7871,6091,13878,7418,5595,14005,7680,6325,11081,6467,4289
31,31,14506,12989,466,155,528,427,33,17816,15701,821,254,667,392,142,21600,18277,1264,273,798,769,67,21605,18280,1264,266,788,747,67,19996,17458,1014,328,732,439,165,21783,18648,1158,406,965,546,78,12365,11189,343,101,444,301,27,14801,13479,570,141,266,284,4,18576,15979,966,227,659,585,48,18576,15979,966,112,437,223,17,78,764,16377,14785,731,157,265,362,4,18195,16367,881,196,339,392,0,8038,4660,3142,8361,4442,2926,8600,5377,2886,8182,4209,3973,8554,5680,2631,10529,6427,3757,11698,7052,4195,11770,7495,4275,11663,6946,4155,11320,6953,4367,11225,6400,3863,11333,6773,4560,8215,5160,2772
32,32,11871,11082,279,84,247,178,25,17726,16272,583,112,570,189,0,21607,18942,978,244,578,530,54,21615,18949,978,244,572,516,53,17995,16669,568,106,496,114,35,20543,18597,782,111,403,453,49,9439,8922,194,43,164,128,9,14099,12927,453,34,513,179,0,17148,15251,695,148,397,394,43,17148,15251,695,79,237,106,21,69,690,15079,13958,525,50,362,114,0,16935,15662,576,57,291,277,0,6005,2961,2865,8129,3884,3334,8463,4839,3325,8001,3524,4477,8932,5705,3008,11202,6317,4583,12719,7043,5241,12767,7517,5250,12684,6968,5193,12303,6826,5477,12179,6269,4925,12314,6609,5705,9187,5369,3545
33,33,19767,18613,484,115,318,264,29,23606,21688,686,316,598,552,24,21758,19216,884,235,440,560,39,21774,19227,885,230,427,537,39,22337,20377,585,278,609,652,36,22931,20689,862,252,446,551,28,16218,15389,326,72,233,194,26,18725,17577,302,159,325,353,0,18171,16295,634,161,334,429,21,18171,16295,634,83,170,142,9,108,730,18181,16940,305,146,349,441,0,18900,17675,422,116,320,399,0,10676,5986,4325,11861,5822,4921,12212,7269,4547,11652,5614,6038,12424,7782,4339,13328,7566,5409,14020,7902,5728,14104,8324,5780,14026,7821,5706,13668,7750,5918,13574,7261,5359,13704,7595,6109,10649,6216,4097
34,34,17260,16116,570,105,175,331,31,19563,18120,913,3,119,471,6,21812,18954,1345,195,338,730,44,21827,18967,1345,177,318,706,42,20946,19411,749,14,212,472,0,23057,21347,756,111,324,358,0,12251,11600,314,41,103,209,14,14456,13615,551,0,102,197,0,16065,14239,830,105,221,491,31,16065,14239,830,42,111,113,9,58,663,15069,14248,491,6,98,225,0,16715,15753,485,74,183,196,0,8055,2727,5055,8485,2237,5426,8830,3558,4944,8451,2256,6195,8627,3647,4698,10608,3719,6588,11794,3927,7437,11848,4499,7349,11781,4023,7181,11483,3982,7501,11461,3670,6927,11537,3816,7721,8746,3088,5247
35,35,20490,19313,585,74,113,391,54,21234,19480,935,92,244,497,31,21746,19644,791,142,177,769,47,21753,19650,791,142,177,751,47,21750,19977,907,113,185,525,48,22035,20052,1007,171,266,476,35,16402,15572,409,41,80,269,47,17122,16068,450,80,116,395,0,17572,16082,548,64,113,542,27,17572,16082,548,32,56,138,10,87,619,17797,16564,607,149,108,384,4,18054,16672,680,187,142,347,4,11230,4046,6714,11331,2803,7786,11712,4856,6493,11327,2647,8680,11631,4576,6659,12872,4066,8585,13814,3995,9518,13863,4687,9176,13824,4243,9060,13690,4157,9533,13537,3799,8925,13604,3926,9678,11156,3327,7250
36,36,21176,19349,745,156,159,893,31,20657,18738,765,306,188,696,12,21518,18992,896,184,265,1057,48,21573,19030,899,183,259,1011,42,21018,18769,876,292,223,836,25,21650,19563,809,122,272,788,18,17034,15758,492,94,115,638,21,16869,15544,498,201,130,486,4,17643,15825,580,134,200,781,30,17643,15825,580,76,105,349,8,41,659,17350,15705,693,174,165,593,16,18062,16516,693,55,184,615,10,10424,7105,2929,9407,4844,3679,9749,6895,2476,9370,4933,4437,9295,6602,2425,10241,6193,3814,10816,5917,4564,10864,6893,3971,10822,6485,3807,10713,6330,4383,10603,5967,3956,10640,6127,4513,8380,5004,2968
37,37,20871,19306,750,120,157,645,40,21827,19626,1116,198,323,803,24,21395,19093,951,139,196,847,36,21450,19137,952,131,192,824,33,21561,19535,1035,202,323,731,45,21487,19036,1150,110,422,1075,71,16391,15361,491,56,109,442,23,16868,15454,683,26,197,478,0,17034,15427,623,83,154,617,23,17034,15427,623,40,99,236,9,69,531,16717,15475,607,50,124,445,2,16728,15280,673,12,58,576,2,10833,7473,3062,10394,5536,3970,10783,7662,2820,10364,5163,5201,10399,7494,2669,11232,6967,4021,11735,6639,4784,11836,7773,4063,11813,7311,4039,11670,7049,4621,11515,6610,4300,11552,6787,4765,8919,5339,3154
38,38,22441,20978,411,151,138,780,13,22586,20720,527,219,172,1029,31,23266,20822,587,248,186,1222,37,21640,19609,561,188,180,886,32,23035,21053,603,266,188,983,4,23542,21260,602,202,392,1052,10,17943,16880,272,85,93,623,9,18383,17199,265,105,30,765,0,19053,17251,363,162,125,973,19,19053,17251,363,74,62,534,0,77,692,18845,17530,287,144,51,767,0,19236,17717,365,93,196,842,4,11520,4495,6508,11733,3175,7692,12062,5276,6404,11685,3248,8437,11879,4917,6577,13152,4344,8532,14021,4240,9475,14039,4905,9134,14036,4515,9002,13916,4424,9492,13788,4182,8927,13846,4187,9659,11371,2506,7002
39,39,19827,18952,328,66,112,343,41,19814,18554,559,43,93,582,65,21851,19794,633,189,167,694,70,21868,19808,633,189,162,682,69,20607,19421,584,36,139,457,36,22181,20367,600,140,140,625,38,15380,14821,200,27,58,241,23,15437,14592,294,9,27,440,0,17061,15692,369,97,113,483,41,17061,15692,369,45,32,82,8,71,762,15998,15115,440,8,29,380,0,17395,16384,437,88,47,389,0,10459,3234,6768,10465,2110,7625,10798,4258,6209,10487,1928,8559,10642,3638,6641,11906,3001,8690,12856,2892,9657,12888,3423,9465,12856,3072,9316,12682,3010,9672,12560,2744,9168,12649,2854,9795,10415,1515,7216
40,40,19219,17862,491,131,190,603,36,21312,19567,852,127,304,688,29,21827,19271,746,251,397,962,48,21862,19300,746,242,385,899,44,21390,19452,654,153,391,739,24,21765,19395,1031,135,409,653,13,14911,14064,284,50,126,414,20,16662,15572,508,42,143,376,10,17304,15530,462,148,295,698,31,17304,15530,462,70,164,231,8,69,770,16717,15538,462,30,187,490,0,17061,15838,606,41,141,427,0,10654,5850,4538,10945,5120,4887,11428,7200,3971,11062,4005,7057,11445,7104,4083,12566,6863,5438,13297,6935,6013,13427,7568,5859,13401,7310,5682,13236,7148,6088,13109,6770,5698,13181,6711,6470,10440,2328,3892
41,41,20783,19013,547,165,238,879,42,22114,19907,805,229,275,1005,54,21771,18751,884,253,321,1296,55,21859,18811,886,234,304,1185,51,22769,20473,883,273,253,1014,22,23011,20528,727,342,250,1166,47,16094,14951,320,84,153,585,24,17335,15831,560,120,118,645,14,17020,14930,599,150,212,887,41,17020,14930,599,84,128,360,20,58,841,17734,16139,583,149,114,690,0,17952,16356,430,183,75,827,0,10342,5844,4223,10501,4905,4688,10898,7001,3611,10560,3863,6697,10627,6627,3714,11791,6461,5045,12465,6460,5665,12534,7178,5356,12522,6817,5249,12380,6768,5612,12252,6299,5279,12323,6329,5994,9643,2435,3559
42,42,18094,16775,407,114,150,673,31,19501,18011,412,192,250,667,31,21630,18981,769,189,340,1128,75,21663,19003,769,182,335,1068,75,19737,17998,667,151,258,461,63,21592,19644,710,195,312,513,24,13740,12958,218,50,108,418,17,14947,14000,242,85,150,448,0,16674,14966,480,104,225,726,47,16674,14966,480,39,136,251,15,60,727,15173,14269,340,74,147,291,0,16481,15440,456,55,196,286,0,9187,4464,4464,9942,3842,5277,10317,5895,4159,10059,2933,7126,10507,5663,4557,12052,5479,6295,13042,5487,7204,13092,6173,6919,13066,5942,6687,12898,5790,7108,12773,5350,6779,12871,5342,7529,10489,2216,4931
43,43,20327,19012,600,88,213,462,31,20872,19126,979,84,221,551,24,22087,19734,823,159,294,694,51,22093,19739,823,159,285,689,51,21320,19497,959,82,200,662,39,21174,19481,787,120,420,516,36,16178,15354,370,51,125,303,18,17298,16159,680,65,94,284,0,18132,16483,541,87,183,502,33,18132,16483,541,47,121,108,9,191,632,17799,16709,619,29,73,371,0,17797,16751,544,14,174,320,0,11306,4326,6630,11380,3194,7516,11666,4862,6357,11341,2827,8514,11709,4650,6749,13206,4375,8584,14126,4447,9384,14157,4975,9182,14114,4493,9131,13970,4437,9533,13817,4181,9093,13878,4297,9581,11742,3860,7456
