ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
27,27,91100,82731,4025,2299,1277,1020,69,87922,79297,4744,2196,1266,704,41,90457,76278,5757,3873,1657,2578,103,87953,78230,4585,3268,1173,803,38,90161,76690,6025,4541,1789,1036,39,72028,66472,2502,1522,930,713,48,70228,64220,3198,1613,727,408,0,73737,63626,3939,2697,1179,1941,78,73737,63626,3939,2160,893,275,14,205,2625,69814,63317,2953,2314,698,509,0,71190,62668,3878,2946,926,711,15,50001,28046,20992,42385,23204,19181,47066,20489,24248,42201,21633,19823,42287,22263,18854,40863,19901,19083,46730,22597,22889,54710,25830,28064,53916,25477,27342
28,28,87055,71785,4057,7545,2930,1065,54,87547,69566,5151,9158,3019,1103,43,91598,68684,5716,10501,3690,2593,97,87886,69402,4796,9412,3720,978,60,90855,70405,5289,10469,3702,904,80,65002,55192,2511,4709,2002,750,39,66109,54123,3472,5993,1693,803,0,71385,55282,3827,7199,2623,1984,72,71385,55282,3827,6522,2308,235,10,194,3007,66311,54584,3165,5802,2030,709,0,68857,56306,3414,6491,1954,627,15,40820,23849,16177,39978,22864,17114,41577,18364,21248,36186,18922,16633,36317,19542,15760,35165,17544,16047,41388,20177,20110,50234,23412,26082,49387,23348,24877
29,29,90753,73800,3951,10895,1259,1288,72,89516,70329,4114,12914,1215,1216,26,92583,67100,6184,14593,1793,2791,102,88934,69457,3976,13235,1044,1332,23,93553,69903,4624,16032,1603,1601,67,68527,58210,2379,6336,908,877,47,68817,56729,2488,8225,633,760,0,72381,55049,4065,9544,1285,2105,71,72381,55049,4065,8561,1010,237,19,300,3140,69347,56725,2574,8620,609,830,0,71462,57538,2777,9267,851,891,10,41442,24237,16324,38526,22405,16121,39576,17270,20409,33365,17079,15547,33409,17502,14787,32351,15676,14964,38608,18402,19039,47068,21370,24958,46271,21503,23544
30,30,93904,86930,2963,2536,783,883,47,92012,84541,3283,2452,919,873,17,93460,81702,3799,3684,1015,2548,57,92390,84299,3459,2543,1049,855,127,93496,83974,3639,3480,824,1050,138,71345,67170,1760,1383,511,606,33,71247,66751,2036,1335,492,597,10,73606,65952,2365,2178,702,1814,41,73606,65952,2365,1694,494,182,15,150,2754,71253,66461,2112,1490,522,585,0,72699,67193,2283,2019,475,656,0,47849,24541,22410,43786,22124,21662,45727,17053,26162,36721,15834,20178,36814,16331,19429,35775,14564,19564,43015,17282,24535,52572,20256,31482,51312,19824,30383
31,31,88973,69361,2625,14711,1517,1234,101,89206,69451,2904,14634,1538,1377,11,92978,67635,3748,17183,1825,2511,122,88750,68518,3104,14646,1899,1187,10,92192,69130,3926,15809,1778,1234,24,67237,53756,1717,10163,985,874,59,68721,55267,1856,9966,801,825,0,73558,54841,2605,12769,1276,1876,75,73558,54841,2605,11566,944,240,14,237,3111,69143,55348,2171,10079,854,651,0,72751,57004,2430,11742,834,708,10,45061,26362,17816,42318,24417,17901,45264,21454,21433,40377,21736,17882,40450,22253,17015,39421,20138,17379,45120,23011,20840,53375,26487,26039,52569,26019,25332
32,32,84757,47741,4145,29183,3381,1366,151,90011,49381,5844,30989,3720,1713,132,92092,48991,6601,30032,4774,2382,199,90084,49422,6651,30552,3291,1685,61,90703,47900,6546,31523,3989,1846,211,64624,39266,2747,19734,2437,989,100,67449,41193,2921,20939,1745,627,44,73449,41958,4564,21583,3736,1822,138,73449,41958,4564,19436,2859,219,58,440,3915,67520,40980,3402,20639,1655,690,29,68515,40104,3486,21622,2159,807,44,42165,32040,9503,38209,29801,8408,40683,29525,9019,36466,27661,7973,36541,28150,7323,35763,26596,7489,40410,30453,8722,46824,35987,10091,46505,34841,10433
33,33,89144,64689,4282,9792,10049,957,123,93605,66818,4263,9785,12049,1383,71,92730,63524,5469,9308,12597,1696,157,94664,66563,4314,10409,12865,1096,58,94048,65425,5374,10618,11974,767,165,69616,52048,2903,6903,7403,659,86,68441,53751,2178,6651,5140,580,14,74822,52861,3915,6943,9654,1255,116,74822,52861,3915,5806,8715,112,30,289,3094,69661,54159,2196,6959,5671,512,19,69864,53920,2546,7002,5941,271,25,48179,33478,14036,46336,31757,14579,49944,34987,12470,47177,34435,12167,47260,34865,11476,46328,32807,11951,50809,36925,12754,57455,43258,13448,57147,41269,15054
34,34,92745,80867,7347,3238,753,1113,50,91013,78419,7535,3636,765,1303,44,92371,76774,8205,3899,941,2561,60,91070,78018,7872,3577,774,1253,32,92266,78451,8196,3907,761,1405,221,71528,63730,4544,2225,456,819,31,70752,62914,4363,2281,391,707,20,73142,62364,5321,2672,601,1903,37,73142,62364,5321,2107,359,263,5,208,2515,71255,63028,4665,2316,424,745,10,72425,63882,4885,2381,339,755,18,44454,23064,20440,40894,20361,20533,42673,15833,24298,37083,16090,20172,37167,16578,19497,36363,14893,19583,41849,16976,23636,49607,19821,28948,48811,18699,29111
35,35,94243,88024,2728,1940,678,961,44,91715,84897,3308,1724,808,1024,41,93023,83300,3903,2033,897,2251,87,91583,84332,3423,1826,944,1166,32,92854,84651,3843,1927,911,1272,74,71635,67541,1524,1528,409,679,29,69630,65923,1321,1261,408,666,0,71335,64724,2344,1485,604,1670,55,71335,64724,2344,1186,346,243,11,174,2307,69527,65864,1307,1192,430,696,0,70570,66530,1523,1271,489,754,16,39872,17649,21177,36571,14382,22189,38453,10107,26419,32706,10485,21398,32737,10758,20868,31991,9166,21216,37249,10832,25349,44823,12356,31758,44202,12660,30556
36,36,89701,79246,4602,4064,884,1189,46,88678,77345,5336,4143,1001,1391,47,89634,75401,6274,3946,1066,2276,90,88838,76353,5588,4334,1105,1347,30,89586,76114,6282,4485,1100,1437,24,67210,60962,2441,2553,566,860,24,66388,60817,1742,2438,536,748,30,68621,59462,3732,2487,715,1643,52,68621,59462,3732,1882,495,293,5,203,2549,66759,61002,1847,2559,495,798,20,67273,60943,2445,2555,520,733,4,38791,18661,19187,35206,15067,20139,36235,11329,22961,31163,11097,19142,31205,11514,18464,30668,10080,18846,35440,11889,22406,42545,14198,27582,42004,13442,27550
37,37,92336,76739,4862,7571,1876,1741,156,90657,73492,5937,7867,2037,1699,169,91456,71684,5983,7861,2353,3095,174,90152,73469,5671,7509,2181,1550,181,91257,74083,5947,7161,2178,1776,90,70923,60624,3006,5020,1327,1158,98,68226,58786,2729,4620,967,990,4,71787,58222,3715,5398,1758,2126,119,71787,58222,3715,4442,1436,467,69,265,3171,68587,58740,2821,4689,1204,989,8,70518,60431,3016,4636,1312,1105,4,42521,21269,20380,39309,16977,22332,39779,13933,23574,33952,13251,19800,33978,13477,19283,33329,12338,19158,38588,14509,22878,46206,17793,27531,45413,16542,27959
38,38,95900,67179,4808,21860,1538,1061,99,95014,66185,6218,20190,2121,844,79,93422,63125,6196,19452,2220,2078,100,95136,66209,6207,20206,1989,816,69,93068,62957,6390,19913,2266,1407,118,73429,54856,2800,14240,1064,744,59,72301,54587,2870,13467,841,525,8,73770,53201,3824,13326,1534,1469,59,73770,53201,3824,12516,1242,251,23,277,2436,72444,54823,2823,13437,812,519,8,70609,52766,2645,13353,1104,751,44,50810,28645,21311,47287,24948,22339,47159,23056,21726,41547,21271,19395,41591,21669,18685,40836,20111,18975,46179,23669,21312,53747,28973,23994,53116,26976,25198
39,39,90407,77501,8350,2694,635,1687,68,89511,75119,9123,3144,888,2414,56,90270,73271,9692,2875,811,3399,113,90115,73543,9843,3413,948,2281,61,90768,74387,9751,3300,810,2034,21,67571,59956,4697,1584,393,1124,46,65221,59265,2982,1487,321,1067,14,69482,58772,5699,1712,509,2389,79,69482,58772,5699,1171,310,506,17,215,2792,65946,59455,3254,1896,307,1144,24,67019,60122,3745,1865,234,1123,0,41008,20635,19439,37593,17598,19995,39089,13894,22748,34413,14173,19234,34509,14602,18554,33711,12519,19176,38634,14958,22382,45873,17791,27288,45387,16966,27363
