ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
21,21,70349,44530,11296,5376,8709,951,1242,74874,43586,14514,6686,9955,1232,994,74536,39406,14807,7575,11461,2045,1943,74616,39452,14813,7578,11466,2045,1943,77548,43352,15501,6641,11834,953,1452,76308,40014,15719,7369,12841,1324,1629,54402,36021,7714,3669,6436,628,774,55279,35440,8706,4355,5424,551,191,59894,33517,10605,5447,8820,1511,1347,59894,33517,10605,4268,6993,241,684,308,3278,56742,35797,8936,4215,6330,437,222,55423,32948,9241,4529,6823,677,420,29753,16486,12761,30028,15866,14162,32136,15735,14422,31618,15044,14035,27554,14797,11753,27551,14650,11724,27378,13742,12203,27409,14366,11560,30850,15716,13662,38856,20314,17785
22,22,62115,43603,9296,3896,4852,1033,739,67774,44607,11211,5076,6805,918,627,74669,45096,13201,6574,8241,2114,1238,74795,45180,13216,6583,8241,2115,1238,71511,46839,12569,4684,7110,880,586,74745,46076,14952,5251,8678,1535,1005,47522,35124,5964,2476,3410,714,456,51157,36642,6760,3077,3763,447,148,58947,37750,9194,4374,6068,1576,838,58947,37750,9194,3466,4739,285,376,306,2831,54566,39188,7409,2940,4115,530,174,55835,38556,8463,2939,4822,404,285,27643,13937,13082,27639,12925,14714,30581,12827,15778,30123,12438,15184,27583,12577,13883,27563,12445,13805,27393,11652,14296,27428,12304,13668,30664,13357,15801,40828,18136,21863
23,23,59456,46451,4984,2114,5458,765,417,69856,51374,7145,2967,7871,867,810,74552,51795,8431,3663,9408,1582,885,74593,51836,8431,3663,9408,1582,885,71951,50865,6885,3745,9920,862,1258,72819,49306,8824,3269,10363,1044,773,49583,39771,3452,1565,4296,573,279,56092,43578,4762,1886,4921,456,93,62013,44993,5782,2548,7344,1178,581,62013,44993,5782,2006,6100,232,186,261,2453,57431,43275,4685,2760,5806,417,53,58045,42045,6028,2490,6501,457,190,31002,13327,17003,33851,13217,20634,37413,13730,21862,36895,13434,21362,35130,14260,19864,35132,14152,19816,34892,13056,20296,34946,13873,19504,37866,14695,21794,48068,19696,27552
24,24,66633,34580,22620,3411,4377,2160,942,67731,34922,22832,3540,4168,2429,1334,72528,35274,23965,4515,6060,3217,1267,72805,35410,24037,4522,6074,3229,1271,69462,35637,22818,4087,5074,2625,1335,71824,36587,22787,4388,6134,2237,1344,52592,30860,14342,2450,3493,1617,655,47311,31112,9783,2077,2264,1366,404,59692,31941,16938,3393,4991,2517,868,59692,31941,16938,2627,3794,786,528,429,2649,49206,31876,10303,2557,2547,1367,315,51714,33141,10605,2730,3268,1224,410,21342,14298,6457,20872,14105,6767,24449,14759,7533,24163,14441,7637,21178,13760,6456,21140,13264,6568,21005,12566,6782,20958,13586,6047,23320,14500,7353,28290,18225,9213
25,25,66619,47547,11650,1557,5136,1118,451,70754,47926,13617,2182,6223,1175,771,72376,47513,14095,2388,6486,2098,628,72420,47537,14105,2391,6487,2099,629,70534,47564,13303,2053,6558,1253,1127,72462,48201,14060,2674,6434,1498,862,51979,39139,7430,973,3805,796,300,51339,39574,6030,1363,3051,672,433,57778,40060,9574,1556,4929,1561,430,57778,40060,9574,1042,3929,346,175,275,2377,51448,39338,6051,1239,3204,634,518,53457,40266,6660,1441,3620,771,245,34256,18860,14746,33701,17422,16279,37143,18361,15689,36799,17841,16854,33578,17959,14634,33561,17728,14505,33312,16002,15240,33317,18156,13636,36092,18555,15766,42244,23464,17607
26,26,54681,43706,5867,820,3768,679,336,62641,47490,8699,595,5263,619,645,73309,52991,9452,1702,7113,1792,526,73327,53003,9454,1702,7113,1792,526,66051,49218,8555,929,6314,899,878,71454,51831,8530,1612,7438,1118,1005,42581,35309,3763,481,2579,468,192,46675,38685,4390,482,2486,378,131,58461,44047,6454,1121,5097,1343,341,58461,44047,6454,681,4126,251,129,295,2478,49656,40588,4716,560,2749,558,337,53290,42991,4661,1037,3216,668,485,29388,13943,14863,30593,12695,17898,36684,14897,18769,36385,14295,20272,35132,15188,18992,35104,15008,18873,34859,13422,19485,34866,15426,17760,37612,15788,20155,47778,21982,24524
27,27,66059,41636,16952,2092,4152,1601,767,71389,41480,21130,2905,4457,2140,920,72281,37798,23856,2951,5056,3056,1129,72379,37847,23886,2953,5057,3057,1129,70828,40065,21259,3250,4387,2028,798,75087,40778,24537,3413,4713,2037,720,50205,34502,10260,1305,3131,1085,488,49638,34811,9261,1492,2402,1216,319,56382,32392,15886,1923,3962,2310,728,56382,32392,15886,1311,3027,539,411,234,2582,49073,33877,9366,1768,2549,1104,260,52788,35122,11577,1947,2616,920,185,25068,15571,8846,24358,14769,9589,27702,14347,10755,27424,14164,10732,23355,13432,8756,23333,13028,8867,23149,12136,9110,23169,13577,8029,26153,14213,10160,32126,18259,12782
28,28,70996,14672,44295,9463,2783,1106,665,72246,12562,46358,10456,2977,1108,670,74158,10794,47924,12660,2827,2794,683,74439,10817,48098,12711,2827,2794,683,72172,12415,46308,10714,2599,1396,791,69988,11947,44967,10653,2428,2103,1007,46399,12180,26098,5892,2023,739,374,34964,10926,15458,6194,1678,334,223,51243,9244,31248,8223,2189,2005,441,51243,9244,31248,7010,1659,200,183,272,1427,35228,11039,16056,5813,1439,431,312,35665,10479,17070,5814,1238,484,351,13978,9969,3652,13962,10655,3307,14734,10535,3429,14433,9871,3102,10725,7676,2470,10709,7403,2518,10648,7350,2574,10612,7479,2413,13071,9123,3179,17301,11905,5022
29,29,60730,37158,12238,5146,5798,1018,994,71366,39450,15557,7459,8635,1397,938,74339,36765,17338,9377,9883,2281,1730,74444,36819,17347,9381,9883,2281,1730,74598,39466,16273,8494,9433,1140,1468,75854,39221,17233,9753,8746,2162,1618,46880,30428,8015,3561,4306,727,665,52850,32676,9314,4947,4706,485,247,58823,31092,12121,6699,7615,1701,1205,58823,31092,12121,5259,5810,268,541,387,3345,54673,32871,9744,5506,5150,472,436,55811,32280,10593,5888,5332,807,379,24425,13922,9976,24094,13313,10781,28002,13849,12288,27513,13318,11729,24230,13138,10049,24225,12933,10059,24102,12316,10368,24106,12833,9892,27274,14083,11735,35623,18947,15861
30,30,65428,34819,22112,2708,4686,1551,801,68392,32313,26687,3005,5251,1934,983,71778,32025,27609,3517,6261,3198,1291,71876,32062,27641,3519,6261,3198,1291,68317,32163,27823,2518,4654,1966,1095,70303,31003,30197,2329,5366,3591,1165,48996,29116,13670,1732,3508,1096,508,46217,27683,12460,1725,2896,897,381,55639,27687,18579,2442,4877,2356,808,55639,27687,18579,1857,3963,531,578,196,2248,45866,27379,13269,1490,2431,715,245,46205,27218,13638,1263,2426,1054,305,23254,14191,8513,23070,14170,8900,25473,13399,9879,25198,13222,9702,21378,11982,8268,21362,11605,8401,21230,10814,8568,21193,12046,7712,23963,12943,9416,29174,16618,11687
