ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
31,31,56881,42153,8420,1738,3791,1139,503,64884,46831,10860,1679,4588,1709,807,71982,46998,14102,2407,5958,2576,872,72004,47016,14105,2407,5958,2576,872,65826,46552,11682,1847,4684,1780,564,70244,48185,13798,2322,3904,1674,682,41488,32051,5142,1015,2605,738,310,47188,36961,5640,1002,2608,622,114,55257,37959,9334,1522,4396,1869,577,55257,37959,9334,1051,3418,470,249,240,2536,47909,37172,6224,881,2643,745,130,51842,39132,8226,953,2340,771,248,25934,12882,12581,27798,12231,15567,32797,12369,17702,32495,12414,17871,30152,12418,16511,30137,12180,16580,29974,10935,16965,29958,12941,15171,32821,12944,18105,41498,17381,22991
32,32,65128,45287,12294,1371,1814,4875,389,70493,47101,15042,2038,2010,5278,355,72734,46208,15586,1834,2729,6576,739,72110,45908,15401,1717,2709,6564,739,72759,48117,16266,1950,2171,5019,411,75022,48215,17085,2381,3003,5035,771,48300,35424,7621,913,1237,3265,244,50002,36931,7535,1097,1044,3144,84,55330,37392,10187,1190,1923,4443,476,55330,37392,10187,822,1334,2762,214,376,2243,51462,37963,8126,1046,1107,2999,60,53476,38772,9308,1104,1154,2712,128,24794,10398,13589,25585,9931,15654,29733,9074,18323,29525,9175,17855,26720,8664,16687,26708,8290,16767,26580,7782,16761,26579,9404,15159,29101,9107,18242,36456,12030,23443
33,33,72992,53331,14482,1330,1088,3368,291,75189,53476,16203,1274,1238,3477,225,75929,51224,16963,1852,1588,4678,466,75287,51048,16794,1565,1561,4677,465,76477,52664,17057,1821,1272,3353,175,76208,51399,17272,1769,1229,3817,269,53311,40882,8747,937,735,2256,153,53490,41625,7989,1009,606,2178,78,56184,39700,10907,1336,1051,3224,251,56184,39700,10907,1055,656,1602,84,236,1944,54965,41980,8561,1410,648,2296,53,55354,41651,8992,1363,784,2404,69,25704,7566,17004,24291,5770,18521,28127,5192,20584,27868,5094,20023,23682,4639,17650,23674,4221,17414,23554,4500,17216,23566,5017,16092,26420,4972,19653,33537,6944,25657
34,34,70473,35743,20844,8021,5679,1068,1039,73161,32956,25236,7542,6104,1601,1521,74314,29652,25509,10392,8046,2223,1416,74504,29703,25574,10408,8049,2223,1416,75894,32102,27616,7986,6821,1412,1472,77451,29154,31576,8529,7808,1123,1463,52708,29440,13254,5311,4244,750,643,48928,27202,11378,5245,3725,507,654,57971,25502,17836,7255,6356,1686,976,57971,25502,17836,5941,5042,226,484,329,2611,50492,26964,12347,5820,4066,507,629,49748,24549,13725,5584,4499,335,742,27015,15915,10560,26545,15553,10992,27920,15168,11012,27438,14658,10434,22716,13186,8636,22710,12978,8627,22572,12429,8908,22575,12948,8386,25987,14505,10156,32630,18574,13357
35,35,47624,24510,7990,3987,11213,601,821,67971,31419,12876,6596,16779,1048,1430,74345,31779,14130,7895,19825,1717,2090,74383,31790,14131,7895,19828,1717,2090,70406,32995,13827,7376,15760,1380,1608,75836,34145,13525,8256,19575,1677,2037,34798,18881,5121,2564,8023,373,505,46470,24110,7333,3974,9581,522,386,55911,25265,9512,5262,14797,1263,1321,55911,25265,9512,4164,12690,186,596,271,3227,48678,25501,8037,4678,8830,500,391,53290,26567,8156,5250,11463,391,491,13281,7645,5409,17503,9323,8180,24265,12070,10748,23848,11361,10497,21712,11788,9103,21702,11691,9042,21535,10982,9352,21581,11504,8939,24809,12731,10922,35857,18503,16719
36,36,52198,37690,7430,4054,2268,1186,452,66546,43659,11084,6205,4524,1281,789,78327,49915,12678,6975,6734,2303,961,75157,48911,11885,5723,6627,2278,960,69272,45552,10659,6095,4578,1260,1590,78340,49806,12209,6455,6310,1849,1527,41788,31102,5070,3345,1610,867,280,50167,35406,6442,4405,2521,680,429,62771,41647,8916,5403,4891,1774,653,62771,41647,8916,4681,3854,419,257,295,2702,51322,37287,5586,4084,2490,734,805,59556,42266,7237,4407,3495,929,705,18237,8095,9434,19197,7879,11318,25297,8228,15540,24939,8184,14017,23793,8470,14032,23788,8195,13806,23657,7858,14231,23689,8442,13438,26282,9027,15688,36949,13482,22689
37,37,70065,46103,9819,7834,6074,827,965,74563,43311,14058,9728,7416,663,1126,74361,41368,13700,10050,8412,1790,1198,74466,41427,13711,10058,8415,1790,1198,74536,42660,14462,9567,7227,1009,965,74421,42494,13642,9471,7953,1246,1281,55680,38929,6418,5298,4551,572,650,56626,36815,7519,6806,4493,382,289,61057,36506,9638,7132,6658,1366,780,61057,36506,9638,6002,5326,194,350,339,2702,57714,37358,8026,6635,4459,716,302,57637,37035,7987,6310,4845,617,452,33094,17474,15007,32832,16467,16365,35432,16859,16663,34829,16544,15730,31009,15826,14069,31029,15621,14158,30778,14771,14493,30836,15596,13679,34174,16822,15870,42075,21316,20034
38,38,67118,51344,8890,1508,1905,4206,365,67003,48040,10834,2310,1773,4806,451,71599,50148,11354,2088,2563,5788,631,71621,50185,11346,2072,2561,5793,631,68917,49375,11089,2466,1941,4891,286,72621,51388,12048,2667,2176,5183,281,50467,40584,5206,816,1305,2826,219,50165,39274,5305,1331,945,3073,50,55295,40708,7306,1284,1795,4114,415,55295,40708,7306,827,1132,2031,175,242,2874,51853,40591,5625,1370,1078,2935,50,54900,42282,6842,1429,1152,2992,92,28018,10041,16988,26368,8578,17790,28782,6565,20001,28602,6699,19288,25064,5794,17703,25049,5437,17663,24920,5254,17591,24948,6671,16173,27692,6347,19492,35048,9009,24896
39,39,66715,54933,7878,614,1598,2083,320,69453,55721,9292,668,1993,1992,491,72170,55665,9805,899,2243,3392,464,72203,55696,9806,899,2243,3392,464,69680,54877,9977,675,1987,1857,496,71573,54530,11454,643,2075,2201,269,52526,44781,4967,337,1112,1451,201,54695,46800,4694,390,1085,1429,116,59360,47577,6737,577,1618,2476,311,59360,47577,6737,251,1051,772,110,264,2598,55212,46712,5207,474,1128,1405,142,57353,47712,6280,533,1271,1318,82,34225,14166,19223,33877,12287,21590,37913,11208,24020,37605,11261,23867,35018,10895,22697,35003,10452,22787,34803,9690,22909,34848,11445,21204,37755,11417,24423,46926,15295,30394
40,40,69186,51353,12616,1434,2039,2180,319,69787,49303,14100,1642,3010,2126,267,73103,48842,16072,1867,2843,3574,545,72443,48457,15980,1706,2825,3567,543,69744,48491,14160,1722,2994,2347,240,73341,49646,15570,2180,2991,2654,192,54925,42956,7938,1124,1453,1573,227,52025,41282,6670,1022,1564,1310,32,59480,42099,10953,1406,2140,2699,378,59480,42099,10953,1054,1423,941,105,295,2610,51992,41018,6735,1158,1563,1408,40,55248,43034,7614,1253,1654,1626,16,32564,15522,16150,32057,14090,17967,34496,12831,18678,34246,13086,18551,31354,12468,17473,31349,12355,17189,31260,11195,17748,31268,13314,15981,33760,13055,18688,40255,16643,22437
41,41,65861,35926,12447,5280,11526,975,1787,78472,39577,16620,7035,14426,1220,1645,73996,32157,16202,8171,15982,1893,3029,74089,32189,16208,8173,15987,1893,3029,77777,35312,17383,6882,17430,1238,2076,76141,32291,17516,7810,17910,1323,1864,50603,29301,8502,3577,8527,688,1060,57130,32631,9455,4645,8315,724,724,58858,27276,11679,5914,12290,1434,2005,58858,27276,11679,4535,10263,208,1077,314,3506,56282,28911,10572,4489,9959,629,1020,55492,26930,10956,5592,10220,499,695,22114,13078,8583,23073,13179,9894,27006,14030,11354,26535,13477,10730,23067,12828,9265,23054,12666,9280,22916,12060,9588,22923,12552,9093,26403,13981,11098,35885,18789,16385
42,42,67193,33152,15996,6387,11310,1080,869,76334,28715,20072,10867,16256,1069,1212,74241,26544,19175,10339,17520,1959,1442,74386,26586,19199,10342,17538,1959,1442,78211,30345,20438,10952,15822,1127,1079,78410,27872,21270,11783,16856,1592,1143,54022,28949,10937,4543,9031,782,618,51955,24874,10517,6179,9034,609,405,60899,23774,14123,7458,14503,1555,993,60899,23774,14123,6310,13128,181,509,294,2580,55102,26358,11773,6741,9124,568,429,55647,24704,12890,6638,10166,457,454,23150,13773,8849,22624,13684,8940,24280,13327,9618,23713,12808,8785,20065,11644,7596,20061,11594,7465,19909,10948,7856,19909,11377,7434,23124,12928,9060,30946,17307,13042
