ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_LTG_Total,E_18_LTG_Dem,E_18_LTG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
24,24,48155,37969,9127,177,342,733,102,50901,40299,9304,102,562,559,243,53121,39647,10948,356,481,1600,129,51465,39391,10680,219,628,705,201,53272,39077,12186,450,553,1540,139,34429,28466,5296,71,212,495,53,34232,30362,3048,62,339,362,20,38364,29894,6801,162,306,1086,68,38364,29894,6801,68,166,189,15,106,1125,34244,29771,3633,102,309,397,20,35327,29689,4546,161,268,638,0,19450,5065,13762,18814,4452,14362,19080,3179,13763,19010,3491,13878,15856,3960,11494,15527,3282,12245,15664,4221,11443,18775,3804,14230,22624,4509,17526,22451,4838,16562
25,25,45655,37637,5862,441,1102,769,127,50164,38088,9006,746,1602,1054,70,53600,39504,9168,1297,1853,1636,314,51082,38873,8182,749,1788,1026,42,53973,41240,8377,643,1885,1006,76,33434,28473,3547,234,741,503,93,33093,27788,4119,184,395,524,35,39212,30162,5788,719,1215,1170,197,39212,30162,5788,516,895,257,117,108,1369,34336,29289,3757,190,556,537,10,38348,32146,4397,533,789,440,0,15091,5232,9457,13950,4431,9519,16575,4094,10218,16469,4152,11071,13596,5049,8188,13251,4202,9049,13389,5243,8146,16735,5030,10785,20601,6287,13537,20303,6429,12723
26,26,48959,35235,12677,224,409,731,91,51453,34827,15271,308,625,712,174,53636,35422,15836,316,644,1603,161,52145,34970,15694,288,486,824,215,53925,34813,16613,370,406,1325,26,35109,26910,7516,99,284,469,50,31675,26970,3954,58,233,410,40,39718,28252,9812,160,446,1076,106,39718,28252,9812,67,259,119,28,131,1050,32565,27285,4367,83,247,519,44,34355,28085,5180,103,231,802,4,19438,9286,9568,17994,8138,9856,19223,8105,9168,19247,7568,10756,17359,9126,7893,17028,8207,8821,17197,9287,7910,19632,9231,9803,23041,11226,11235,23026,11187,11047
27,27,47307,33910,12343,261,385,809,86,48780,33481,13945,107,338,968,77,50832,33727,15273,291,518,1320,158,49093,33312,14045,116,356,928,80,51057,34183,14892,135,397,1452,40,32544,24590,7278,110,249,521,36,30110,24335,4963,61,133,600,8,35655,24634,9774,166,329,933,75,35655,24634,9774,57,157,185,20,84,744,30795,24390,5555,60,141,621,8,32810,25230,6655,39,146,735,4,17052,3343,13120,16937,2543,14394,17117,2387,12367,16974,2325,13204,12851,2490,9986,12713,2304,10409,12740,2744,9996,16292,2620,12966,20073,3263,16320,19923,3348,15533
28,28,47629,39755,4868,314,548,2369,150,49615,40643,5840,403,748,2328,148,51270,41069,5859,455,768,3056,302,49810,40779,6016,455,597,2237,121,51252,41552,6465,345,409,2640,225,32146,27580,2764,119,321,1449,64,32616,28394,2353,214,200,1387,43,35721,29381,3517,215,468,2014,172,35721,29381,3517,78,286,1298,60,110,991,32781,28543,2534,181,248,1269,54,34740,29851,2938,192,209,1427,95,19831,5968,13225,20093,5030,15063,19938,4028,12217,20007,4392,14349,16194,4968,10748,15874,4666,11208,16021,5344,10677,19765,4967,13705,23851,5883,17225,23771,6101,16570
29,29,51336,44444,3765,803,1145,1452,248,52768,43757,4914,914,1475,2103,271,53264,42692,5642,1100,1448,2386,367,53345,43674,5036,950,1774,2133,342,53375,43414,5219,1078,1974,1711,229,38408,33883,2323,517,850,933,151,38683,33610,2937,393,551,1019,23,40417,33302,3604,729,1076,1633,221,40417,33302,3604,488,710,696,129,151,1337,39784,34137,3186,544,638,1093,8,39577,33898,3346,521,748,1005,64,20760,9641,10502,20126,8810,11316,19330,6957,8961,19459,7644,10543,16897,8938,7527,16514,8351,8163,16732,9110,7621,19536,8654,9702,22628,9778,11870,22443,10182,11107
30,30,48499,36890,7983,234,516,3444,97,48420,36244,8379,188,699,3598,432,50566,37273,8465,344,539,4335,152,48849,36618,8503,172,655,3609,251,50858,37789,8929,217,732,3467,340,32636,25778,4574,82,313,2131,53,32320,25920,3949,28,262,1982,19,35237,26672,5328,173,335,2919,67,35237,26672,5328,76,159,2010,28,88,876,32725,26285,4014,18,266,2050,29,34315,27495,4215,104,324,2059,19,18681,4742,13286,18429,4010,14419,17855,3084,11821,17745,3182,13062,14281,3729,10125,13989,3401,10588,14111,3945,10166,17565,3668,12974,21411,4312,16497,21245,4535,15764
31,31,48300,42299,4914,250,325,659,112,50314,43538,5344,172,429,763,243,53043,45465,5429,313,513,1204,195,51163,44391,5288,178,408,845,236,53701,46002,5645,248,367,1557,182,32975,29566,2742,106,202,441,60,33720,31105,1773,26,223,533,29,37120,32365,3332,164,296,807,102,37120,32365,3332,62,148,190,50,125,848,34756,31850,1949,30,188,623,14,36965,33595,2364,55,191,652,0,20984,3831,16483,20995,2998,17997,21569,2404,15740,21419,2643,16879,17181,3078,13588,16902,2753,14149,17016,3399,13617,21178,2971,17085,25941,3732,21503,25785,3710,20844
32,32,40710,34986,4463,359,546,487,83,46952,39151,5953,333,868,674,174,50982,41092,7058,479,1198,1134,181,47615,39843,6010,379,803,471,95,51361,41547,7330,496,1153,476,160,26749,23604,2447,145,330,291,37,30120,26765,2485,151,303,361,0,34472,28597,4058,242,760,695,102,34472,28597,4058,129,566,152,44,114,812,30705,27324,2545,148,342,256,0,33675,29394,3142,203,575,286,0,15317,3639,11343,17810,3442,14368,18430,3352,11386,18106,3348,13435,14112,3861,9835,14045,3482,10563,13926,4268,9657,18144,4094,12888,22415,5470,16224,21981,5165,15826
33,33,48234,39618,6716,557,690,1001,101,48449,38239,7762,797,1012,955,84,51585,39711,8563,805,1005,1752,202,49691,38254,8533,858,1114,1175,283,51813,40282,8555,750,1010,1399,298,34474,29442,3817,293,467,606,59,33520,28836,3261,342,481,522,15,37737,30327,5211,432,665,1125,114,37737,30327,5211,256,425,298,37,130,1053,34190,28962,3499,386,508,681,50,36503,30585,4148,351,499,704,20,19210,6521,12194,16621,5272,11349,17888,4700,9712,17601,4800,11484,14630,5625,8530,14016,5022,8994,14389,6135,8254,17557,5717,10643,20858,7094,12872,20498,7062,12282
34,34,37536,34218,2218,237,580,249,150,39100,34525,2964,132,1112,274,575,52913,43985,5248,990,1511,838,467,39725,35023,3066,336,949,283,472,52487,45165,4382,761,1456,531,351,27788,25521,1475,146,428,184,114,27365,25155,1440,73,438,119,39,42141,35120,4078,821,1224,583,367,42141,35120,4078,648,878,133,188,123,973,27930,25595,1405,207,388,147,39,40455,35980,2790,353,719,314,50,13081,1627,11131,14235,801,13434,15688,1201,8941,15416,1473,12826,8773,1520,6887,8580,1171,7409,8682,1750,6932,13695,1710,10512,17112,2666,13559,16941,2288,13517
35,35,42886,38981,3126,138,306,365,105,47887,43144,3943,187,321,473,197,50982,44862,4224,289,562,895,169,49480,44707,3821,50,327,588,193,51724,45924,4209,266,447,736,130,29923,27653,1806,63,168,246,53,32751,30490,1822,84,102,253,0,35613,31841,2523,162,325,623,84,35613,31841,2523,54,173,136,22,82,782,34115,31899,1593,28,132,368,0,35895,33342,1916,101,147,315,0,20887,5424,14722,19999,4239,15760,21247,4004,13816,21167,4483,15313,17758,5103,12176,16910,4672,12238,17537,5477,12059,21366,5092,15273,26612,6332,19584,26224,6384,18715
