ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
10,10,142807,118638,10397,3485,6882,4099,1072,150810,121064,12894,4734,8483,5148,1306,157012,119689,15050,5356,9105,6838,1592,157261,119863,15061,5372,9107,6850,1595,154318,121031,14845,4649,8545,5487,1516,159289,122971,15738,5436,9475,5725,1407,111089,95606,6225,1908,4651,2769,633,116600,99242,6358,2676,4389,2651,394,126071,100035,9742,3453,6644,4919,1069,126071,100035,9742,2241,4602,1480,478,719,6774,119457,100418,7573,2796,4375,3019,400,122814,102295,8218,3067,5099,2943,313,74328,38837,34047,72461,37602,34859,74941,34986,33867,76339,40025,36314,76176,36509,39667,70092,43810,26282,73846,35511,38335,72811,36916,35894,84548,42210,40837,95913,49102,43364,95376,46720,48371,92848,45413,47355,91473,46650,44764,84789,61830,0,92918,38194,54615,91901,43886,47935,84381,42009,40840,75362,38894,36289,73272,33691,3337,75095,39815,35161
11,11,137110,67944,17246,18309,32001,2741,2281,149366,67057,20005,20880,39424,3769,3007,156953,61763,23331,21859,46581,4539,2971,157228,61867,23335,21971,46594,4543,2981,149501,65397,20786,20721,39638,3598,3059,153304,62448,22638,21431,44268,4612,3047,104672,56558,10990,12259,23194,1873,1450,99246,54402,7126,11796,21597,2046,1130,123867,53284,15904,15776,35418,3509,2110,123867,53284,15904,13224,32118,559,1272,748,6758,99777,52865,7802,11981,22376,2123,1302,103375,52256,8993,12272,25221,1748,1250,51669,33964,16867,55116,37036,18080,56884,37673,15254,56855,39003,17852,56772,35816,20956,52291,38957,13334,54195,34962,19233,51829,35639,16190,63430,43279,19193,73237,50546,20607,72345,49664,22475,70149,47263,22839,69100,47553,21501,64974,57206,0,70105,38909,31104,69400,44415,24930,61967,42225,18761,47894,32574,15187,46473,27805,1176,47426,32645,14701
12,12,142208,109418,24373,1748,4098,2956,640,152066,112890,28572,2981,5411,3807,827,159086,112560,30193,2807,7446,5230,980,157096,111507,30148,2371,7388,5136,935,153898,112864,29406,3010,6545,4084,853,157822,113780,30308,2654,7660,4323,996,105380,85249,14465,1128,2623,2019,408,106475,89117,10773,1637,2580,1895,92,121529,90515,19430,1861,4895,3869,687,121529,90515,19430,1105,3502,812,171,545,5449,107220,89478,10793,1606,2953,1894,86,109487,90750,11553,1365,3100,2105,94,64366,31198,31762,64248,30512,33736,68094,30115,32567,69271,33986,35285,69279,30344,38935,62304,37113,25191,66636,28978,37658,68322,32954,35367,77968,37072,39633,89087,44220,41834,88576,41084,47128,86187,40207,45904,85017,41036,43944,78608,54314,0,86283,32549,53655,85323,38026,47249,78237,37073,39868,70442,33727,36564,67673,28316,3375,70092,35894,33982
13,13,141451,90562,44187,2146,2608,3245,367,153118,94974,50427,2602,2892,3671,727,157078,90126,55632,2425,3766,6122,659,157368,90275,55642,2441,3768,6132,659,156786,94783,52450,2539,2923,3758,771,158050,91839,55219,2688,3290,5183,524,102787,72446,25543,1329,1921,2202,221,98003,76346,16456,1365,1382,1918,289,116095,73073,34569,1584,2739,4421,460,116095,73073,34569,854,1767,1001,158,492,4181,101339,77715,18227,1446,1588,2035,174,102221,75947,20883,1513,1565,2227,122,48377,18698,28294,47290,17862,29428,50416,16295,30589,50965,20402,30563,50878,18323,32555,45294,24620,20674,48910,16087,32823,48671,17486,31185,58477,20857,36964,68651,24836,41775,68298,22803,45285,66274,23667,42530,65633,24057,41509,59093,36213,0,66599,19563,46942,66031,22115,43857,58541,20275,37600,50895,16428,34392,48024,14768,2167,49934,16342,32775
14,14,153422,41203,99327,2649,1997,11138,352,156161,37517,106179,2973,2499,11180,551,156731,32501,109871,2390,2342,14959,502,157373,32687,109923,2427,2343,15005,506,156950,36584,107229,3507,2753,10828,1495,158545,35103,109947,3162,3379,10703,1219,100287,34190,57399,1669,1334,7048,212,74956,30855,35963,926,977,5925,174,106821,27452,69214,1507,1611,9951,316,106821,27452,69214,906,1006,5574,90,328,2251,77770,30625,38935,930,1023,5499,268,78547,29867,40209,1027,1294,5290,232,30702,16691,13177,30770,17699,13071,30985,16605,12572,30945,19112,11833,30821,17770,13051,28766,19377,9389,29941,15987,13955,26586,14557,12029,33868,19231,14373,39220,22185,16095,38937,21426,17427,37808,21656,16122,37551,21561,15960,34641,28056,0,37834,19476,18323,37670,20622,17028,32339,17627,14438,21676,9320,12296,20813,8481,1368,21292,8276,12471
15,15,144625,96483,41119,1901,2801,3842,376,150996,92032,49724,2647,3178,4519,201,156795,90139,54694,2658,3727,7170,585,157122,90294,54710,2673,3728,7178,585,152250,91641,51206,2818,3534,4446,415,156043,90758,54489,3369,3673,5571,536,105403,76893,23822,1016,1830,2448,217,99305,74385,19664,1100,1560,2423,57,117189,73981,34536,1602,2630,4877,389,117189,73981,34536,839,1722,1264,128,498,4221,101037,74426,21222,1239,1816,2166,190,103443,74613,23165,1247,1852,2271,213,60141,23017,35935,57970,21474,36496,60710,20263,36674,61347,25487,35860,61296,23577,37719,56129,31299,24830,59418,20115,39303,56411,20274,36137,66365,24856,40729,74639,28658,44032,74226,27053,46912,72202,27404,44733,71471,27788,43635,64380,43397,0,72110,22014,50028,71777,24922,46804,64961,23456,40711,53128,17179,35855,50820,16061,3597,52059,15895,34515
16,16,135854,98048,28604,3139,4154,2529,607,154324,102560,39610,4519,5379,3791,901,160924,102105,43142,4502,5995,5637,1085,157165,100067,43054,3753,5916,5485,1018,155156,101576,40914,4839,5374,3778,1002,161536,103428,44904,4338,5876,5220,1212,100914,77557,16691,2098,2964,1787,414,103778,80955,15479,2723,2300,1754,104,121384,82415,27251,3093,4400,4083,771,121384,82415,27251,2166,2961,801,225,520,5045,104530,80068,16487,2797,2496,1912,192,110209,82671,19081,2841,2725,1844,356,54786,20744,32794,56680,21546,35134,59348,21173,33153,60388,27731,32657,60403,24065,36338,55236,30762,24474,58306,21568,36738,58048,24463,33584,66986,27307,38493,76095,30830,42258,75669,29800,45591,73818,29873,43871,73107,30649,42404,65944,44237,0,73622,24030,49501,73375,26710,46602,66357,26208,38945,56646,21087,35483,54265,18766,5103,56024,19310,36172
17,17,136644,111623,9143,3322,9666,2964,1316,147792,115403,13317,4198,11737,3256,1262,157512,115604,15977,4916,13955,5434,2285,157283,115456,15973,4865,13955,5421,2285,150590,115276,13774,4678,12557,3657,1412,157981,116721,15977,4817,13769,4473,2388,100461,85000,5295,1766,6303,1887,770,106546,89924,5443,1907,6708,1947,253,121430,92644,10278,3072,9898,3949,1438,121430,92644,10278,1964,7976,871,848,580,6269,109941,91766,5404,2294,7329,2193,353,115577,94892,6940,2482,7538,2583,321,62469,32102,29166,61552,29826,31726,67672,31401,31206,67981,34589,33392,67601,32077,35524,61876,37640,24237,65801,30784,35017,65336,34403,30934,77764,39530,37040,90741,46947,40993,89609,45962,43435,86373,43918,42361,85755,44559,41121,76877,60189,0,86578,38017,48456,86120,41002,45042,78100,39714,37175,69983,35693,34200,67699,31327,3298,69720,38110,31187
18,18,130182,108519,9147,3221,6578,2593,1274,147470,120826,12166,3875,8094,2483,1712,157021,118165,16295,5370,10474,5397,2257,157261,118336,16301,5394,10477,5400,2257,151481,121221,13870,4698,8845,2739,1820,157397,123007,15122,5163,10100,3390,1868,93504,80494,5172,1692,4235,1639,702,105476,92375,4565,1958,4119,1427,467,119539,93264,10177,3364,7436,3894,1469,119539,93264,10177,2172,5510,697,809,559,6351,109537,94447,5839,2320,4370,1513,340,115330,97417,7018,2526,5531,1534,477,56063,28156,26893,56766,27283,29483,62720,27678,30440,62973,30929,32044,62842,28759,34083,57769,34459,23310,61211,27372,33839,61556,31146,30410,74169,35703,37311,87963,42583,42606,86893,41791,44880,83671,40070,43522,83162,40976,42115,75500,56891,0,83967,33944,49938,83517,37283,46143,74652,35915,37565,65761,32146,33517,63773,28187,3669,65521,34869,30217
19,19,149454,126104,12244,2151,3457,6097,752,155268,126303,15802,3791,3529,7132,1214,158334,123713,15963,3211,4492,9663,1535,157236,123231,15931,2861,4449,9636,1496,158301,127072,16593,4090,3637,7192,1371,161473,128050,17264,3745,4328,7751,1158,115563,101198,6815,1226,2333,4119,456,117421,102630,6142,1792,1979,4332,181,125140,101845,9698,2035,3126,6939,1013,125140,101845,9698,1225,2046,2422,488,547,6869,120766,104282,7170,2131,1943,4436,319,123435,106232,7462,2095,2147,4522,352,66250,35040,29342,62132,32474,29658,64994,25319,34588,65544,32929,32616,65396,28545,36851,59298,35624,23674,63208,27070,36138,62905,28727,34178,73420,31356,41028,84336,34867,46859,83910,32715,50926,81341,34021,47230,80669,34866,45730,73923,50644,0,81459,28823,52523,80869,32901,47883,73411,30400,41947,64855,26692,38037,62092,23202,3132,64625,29332,35046
20,20,136012,120178,9006,1339,2340,3431,482,145289,125918,10055,2229,3881,3617,947,157077,129184,13555,2157,4137,6380,1022,157345,129471,13550,2131,4134,6387,1022,148322,127607,11036,2349,3809,3719,908,156189,131378,13233,2737,3944,4373,927,101480,91949,5042,670,1455,2405,278,108104,98291,4009,923,1906,2251,208,119266,101008,8120,1241,2761,4635,582,119266,101008,8120,657,1701,1102,222,605,5851,109743,99807,4201,811,2047,2224,169,115779,103567,5597,1112,2294,2578,234,64828,27585,35742,63271,25439,37832,68051,21695,41527,68445,27211,41234,68447,23733,44713,61588,32084,29504,66548,22437,44111,66986,24911,42076,79285,27845,50389,92506,32075,57739,92068,30568,61282,89212,30597,58519,88412,31468,56866,79908,49324,0,89295,25612,63564,88705,29188,59442,80233,27537,51626,74296,25440,48745,71103,22289,4988,73850,28243,45201
21,21,132246,88480,13600,6799,21417,2649,1458,151766,93170,18029,10145,29078,3090,2214,157052,87603,20035,12169,32493,4408,2308,157212,87700,20039,12201,32502,4411,2310,152436,91075,18837,10680,30323,3122,2026,153597,89397,17204,11528,31927,3432,3049,102463,72309,8590,4219,15596,1816,942,104975,75241,6840,4855,14591,1731,612,124223,73748,13321,8084,24891,3283,1564,124223,73748,13321,6446,21973,644,852,734,6505,105506,74375,7213,5411,15550,1472,608,107942,74078,6870,6221,17009,1736,937,59226,37552,20679,60336,38090,22246,64318,40483,19119,65698,42383,23316,65548,38794,26753,61040,43989,17052,63139,38447,24692,59692,38857,20835,71596,46680,23696,81098,54652,23926,80459,53131,27038,78564,50596,27894,77334,51032,26232,73912,62877,0,78459,40885,37492,77739,47635,30038,70310,46042,23018,57991,38591,19269,56809,33095,1615,57604,38482,19022
22,22,131491,103196,8735,5582,10939,3535,1855,147348,109219,12868,7663,14483,3857,2425,156969,108939,15162,9436,16153,6645,3376,157257,109141,15170,9469,16159,6656,3381,149536,108785,14178,8677,14828,3748,2184,157236,111479,15572,10703,15510,4678,2757,103237,84226,5507,3310,7700,2449,1109,112641,89747,6813,4349,7909,2041,1009,124667,90947,9939,6035,11615,4799,2118,124667,90947,9939,4032,8888,1190,1390,670,7611,114804,90493,7571,4834,8062,2024,1072,120798,93511,8953,5393,8271,2472,1298,68855,44753,22762,66654,43661,22993,71187,43315,21313,71892,47878,24014,71869,44557,27312,67407,49655,17752,69436,43370,26066,68624,45766,22858,80395,52341,26422,91672,60418,27828,90826,59220,31284,88884,57502,31275,87829,58574,29191,84089,72448,0,88944,41270,47581,87803,53306,34418,79892,52044,26171,68773,46044,22530,67431,37044,1439,68123,46058,21959
23,23,143602,112181,9013,5783,12134,5242,2229,153895,115430,12849,7011,13981,5261,2479,156995,112247,14120,7468,15385,7211,3215,157258,112417,14123,7515,15393,7219,3225,155534,115944,13425,7669,14000,5372,2282,156656,115351,12846,8287,14583,5498,2512,110820,90051,5590,3439,8309,3450,1293,117530,93335,7295,4202,7672,3345,755,125082,93500,9295,4940,11097,5104,2002,125082,93500,9295,3148,7818,1754,1100,721,7746,119653,95131,7500,4388,7755,3315,724,121752,96611,7227,4832,8114,3206,788,73375,43305,28696,71097,42434,28663,73029,41553,24907,74327,45564,28763,74076,42796,31280,68286,47285,21001,71863,41107,30757,70222,43604,26618,81706,50124,29918,92347,58253,30421,91694,56968,34456,89419,54990,34334,88280,55434,32760,81803,69283,0,89437,44507,44832,88634,51801,36747,81320,50146,29475,71832,45589,26080,69971,38393,2216,71684,47597,24026
24,24,146981,124656,8160,1813,3411,9908,647,152450,127429,9795,1985,3869,9949,422,157873,126010,10550,2642,4575,13152,949,157233,125789,10514,2462,4541,13122,928,154547,128417,10170,1987,4028,10065,327,157909,128800,11442,2397,4464,10609,536,119529,104836,4765,1115,2440,6595,437,123159,107731,5059,1192,2341,6570,135,131609,109031,6803,1705,3409,9235,667,131609,109031,6803,934,2150,4837,202,763,6889,125339,109621,5017,1265,2360,6851,96,128679,112021,5458,1306,2564,6944,118,78105,43592,32517,74667,42038,32629,78614,38520,34005,79249,45035,34214,79114,42230,36884,73022,47114,25908,76873,40140,36733,79499,43667,35833,88602,47589,39827,99956,53804,43246,99606,52712,46676,97093,51851,45153,96302,52982,43241,87879,69457,0,97435,43871,53460,96506,50149,46285,88936,47564,40160,81532,45148,36191,79503,39025,3043,81781,47625,34071
25,25,132973,102369,10422,7109,9905,3910,2154,149719,107742,15264,8749,14579,4395,3318,157063,102764,18299,12422,15820,6727,4512,157268,102901,18301,12460,15826,6735,4516,151225,108210,14717,9427,14799,4289,3224,157979,107920,17270,12905,16247,4530,3563,98259,79299,6000,4024,6451,2419,1216,108350,85192,7347,4327,7070,2645,916,119285,82955,11448,7795,10850,4632,2621,119285,82955,11448,5634,7615,1240,1719,659,8015,108244,85027,6965,4458,7219,2631,970,113124,85993,8542,6053,7892,2392,1210,58135,29413,27750,59400,30103,29297,61844,27164,29526,62961,31750,31211,62899,28160,34739,57380,35280,22100,60585,27040,33545,56690,26951,29739,70481,33461,35659,81766,40086,38623,81251,37742,43202,78966,37122,41761,78098,39167,38857,74213,54225,0,79099,30473,48533,78195,36092,42023,69518,32675,35458,57043,26949,29938,55409,21122,2726,56766,27051,29628
26,26,139778,115962,7892,4835,7291,3998,2037,148927,120097,9766,5750,9488,4589,2431,157657,119683,12385,6707,10927,6164,2972,157227,119442,12352,6664,10914,6129,2972,152142,120519,10115,5425,11429,4750,2614,157123,121931,12805,5615,11888,4926,2688,108850,92756,5045,3165,4973,2706,1263,116047,97623,6077,3420,4649,2503,853,125634,98450,8491,4629,7737,4509,1908,125634,98450,8491,3055,4938,1037,1003,773,7887,117900,98372,6466,3295,5563,2579,1090,121808,100221,7910,3028,5953,2747,1062,69557,35462,32689,68995,34975,34020,72648,32967,32898,74085,37996,36089,73926,34183,39742,67673,41372,26301,71786,32935,38852,71918,36127,35791,82800,40876,40177,94087,47878,42396,93575,45794,47465,91289,44616,46579,90152,46320,43753,83662,63607,0,91414,36154,55155,90422,42454,47889,83091,40994,40329,75664,38633,36892,73295,30461,3650,75588,41510,34021
27,27,140383,93943,12294,18448,13090,4760,2290,149808,97619,14707,19943,15452,5123,2690,156386,95012,16849,20349,17803,6561,4302,157239,95320,16878,20625,17835,6595,4328,151434,97709,15062,20563,15916,5407,2671,154631,98771,15007,20601,17070,5262,3395,111001,78619,7914,12437,9416,3239,1408,113503,80685,7520,12563,8075,2772,988,127327,81598,11849,14712,13536,4777,2798,127327,81598,11849,11105,9930,1332,1899,704,8910,116240,82204,7873,12636,8262,2991,999,119628,83899,8287,12837,9534,2804,1139,60230,40192,18860,61534,41819,19715,64176,41505,17317,64923,44814,20109,64763,41253,23510,60015,44394,15621,62564,40669,21894,60145,41703,18442,71920,49266,21395,82204,57371,21917,81496,55819,25332,79605,54302,25199,78782,55864,22828,75853,66245,0,79653,44297,35260,78840,51648,27116,70923,48680,20951,59043,41414,17456,57806,28790,1407,58816,42172,16525
28,28,135536,84429,14883,18561,15017,4134,3844,148328,86021,19164,21800,17855,3996,5646,157375,83627,23257,24712,20055,5785,6347,157289,83480,23255,24763,20046,5783,6349,150741,84966,21757,22323,18515,4328,5700,155421,83890,24125,23252,19529,5275,5968,100824,67024,8794,11832,10600,2554,2330,107294,67851,10282,13690,9909,2175,2197,120747,68695,15228,17017,14746,3959,3929,120747,68695,15228,12923,10869,940,2779,673,8640,110472,68698,11833,13842,10252,1982,2210,113413,69006,13195,14272,11134,2325,1879,52971,29283,22747,52283,29479,22804,53001,28120,20364,53910,31345,22565,53741,28467,25274,49738,33204,16534,52144,27797,24346,47869,27380,20489,59104,33661,24269,67829,39525,25553,67141,38411,28443,65553,37205,28268,65028,38788,26168,61937,50329,0,65699,30149,35466,65055,35380,29601,57948,32939,23811,46923,27006,19771,45902,20436,1651,46784,27249,19460
29,29,141724,72793,21652,22816,19299,6143,5549,152806,73910,26233,27293,20371,5559,7069,156309,68809,28540,26556,23146,8358,8307,157054,69108,28558,26820,23181,8389,8335,154228,72142,25933,28411,21877,6748,6998,155664,71267,26406,28385,22597,9413,6536,104370,59565,12560,13994,13887,3879,3241,103546,60676,9462,14458,11245,2833,3386,118573,57876,17956,17771,17392,5766,5222,118573,57876,17956,13514,13765,1754,3973,751,8984,105134,59304,10146,15513,12094,3445,3109,108496,59166,11508,16101,13366,3986,2708,43927,27346,15632,44382,29089,15293,45045,25131,15990,45548,29048,16500,45346,26524,18822,42394,28788,13606,44022,25446,18575,39974,24170,15805,52120,31176,20025,62028,37045,22596,61402,36075,25073,59871,35749,24047,59489,36785,22626,56971,46921,0,60045,30993,28961,59533,34876,24588,51038,30179,19909,38724,22853,15705,37881,18210,1564,38558,22920,15546
30,30,137832,77936,21602,14111,20051,3617,4256,149371,72069,28609,22489,21640,4772,6165,156975,66152,32189,22938,27487,5662,7399,157277,66250,32194,23058,27503,5669,7415,150134,68285,27778,25040,23548,4478,6533,155753,64484,29767,26972,27165,4296,6344,102408,63120,12744,8715,14608,2345,2480,97400,58918,9252,11493,12236,2084,2056,120031,55934,20727,15663,21179,4243,4717,120031,55934,20727,12968,18289,861,3801,683,6768,97188,56306,9507,12455,13365,1935,2147,100737,55663,10971,13292,15471,1980,1896,50902,30033,19982,50748,30450,20298,51379,29342,18331,51652,31436,20216,51690,29044,22647,47785,33051,14734,49597,27876,21721,47446,28506,18940,57493,34106,22447,65973,39598,24426,65359,38648,26500,63560,37137,26365,62830,37746,25041,59074,48547,0,63633,30808,32737,63260,36734,26476,56012,33019,22036,42708,24905,17699,41499,21128,1750,42337,25218,17032
31,31,128597,106637,7923,3375,6398,4858,1195,145579,113868,12599,4826,8942,5538,2330,157062,113630,14801,6864,12263,8165,2930,157211,113725,14803,6881,12266,8180,2933,149326,114899,13814,4720,10015,5578,2741,156753,117552,15506,5657,12182,5854,2978,95060,81485,4591,1872,4139,2986,684,105485,88835,5622,2569,4368,2999,433,118197,89440,9147,4255,8206,5582,1780,118197,89440,9147,2818,5837,2137,1032,597,7189,107726,89764,6311,2504,4697,3281,666,111939,91197,7091,2812,5967,3106,1059,57359,28498,27660,58731,28590,30141,62302,25551,31574,63390,29878,33512,63355,26490,36865,57553,33642,23911,60872,25498,35374,60575,27082,33493,73531,31977,40266,86355,38682,44859,85932,35636,50009,83372,35124,48165,82439,37073,45317,78027,54029,0,83669,28164,55435,82716,34236,48429,73792,31744,40736,64929,28404,36368,62796,23083,3255,64678,29610,34872
32,32,142071,94189,12496,9303,23794,3199,1445,153096,95566,15006,13185,27699,3070,1896,157036,91359,17695,13599,29635,4800,1808,157211,91462,17698,13637,29639,4801,1809,154337,96750,14332,13583,27729,3007,2016,158881,96808,16018,13477,29314,4338,1921,113711,79131,8239,6085,18185,2284,984,111122,78827,6758,6529,16101,2029,380,127128,77932,12296,9462,23323,3647,1272,127128,77932,12296,7693,20283,747,649,654,6874,111238,79587,6139,6512,15688,1931,366,115867,79584,7216,7394,17813,2139,554,69184,48984,19027,69707,50930,18777,72726,52263,15475,73379,54255,19125,73295,50544,22751,68557,53785,14772,70320,49686,20634,69246,51690,17556,79256,58715,19296,88025,66478,18962,87226,65168,21822,85207,62406,22747,83820,62537,21228,80041,71840,0,85033,50902,34044,84104,58194,25856,77961,57965,18730,65716,49768,15773,63944,42129,1368,64948,48745,16045
33,33,137872,70591,26360,17353,19123,3973,4494,152888,69610,30870,23785,23593,4019,5853,156821,63579,31977,25805,28480,5586,5693,157256,63740,31996,25964,28495,5597,5711,152160,67978,31400,23293,25099,3761,5127,156102,65796,32108,24850,27918,3799,5611,105931,60556,16564,11421,13882,2645,2752,97201,58698,8554,11936,12341,2166,2621,122933,56122,21585,18143,21404,4193,3727,122933,56122,21585,15749,18570,874,2886,590,6557,96259,58316,8996,11961,12326,2072,1876,99884,56646,10492,13692,14578,1781,1834,51162,33066,17130,50172,33621,16551,52472,34138,14875,52552,35980,16572,52438,33076,19362,48413,36048,12365,50105,31889,18216,49069,33263,15807,58542,39749,17931,67047,46389,18759,66263,45266,20782,64509,43529,20919,63561,43750,19754,59807,52720,0,64477,35642,28760,63829,41110,22668,57296,38873,17545,44947,30685,14136,43650,25887,1164,44470,30268,14110
34,34,137542,86712,16721,12992,18594,3916,1998,152522,94299,19809,15135,21038,3690,2671,156743,91928,20889,15849,23390,5430,2004,157234,92106,20903,16016,23418,5452,2022,155680,94465,21173,16619,22186,4729,1794,154990,95180,19446,16142,22166,4813,1166,110097,74415,11081,8553,13766,2813,1211,111166,79415,8233,7942,12100,2285,723,127978,79598,15039,10846,18324,4184,1364,127978,79598,15039,8584,15207,927,782,717,7124,113416,80041,8879,8140,12823,2343,505,114215,80602,8625,9031,12818,2369,460,67737,53186,13387,70072,56595,13477,76732,61713,10537,76418,62752,13666,76274,58968,17306,71225,60103,11121,73037,58138,14899,74253,61694,12558,83068,68378,13674,91933,76748,12983,90927,75251,15433,88931,72164,16679,87519,71985,15451,83482,79217,0,88750,59855,28793,87765,67313,20361,82060,67897,13134,70642,59834,10665,68734,50666,637,69755,57973,11526
35,35,146461,122558,9502,3209,5856,5794,1376,155908,126393,13028,4172,6950,5797,1599,158942,121379,14627,4552,8104,9253,2094,157268,120486,14582,4242,8064,9177,2055,157186,124616,13294,5086,7979,5986,1732,159571,123327,15112,5354,8364,6552,2060,114287,98816,5649,1950,3941,3911,847,120370,103840,5635,2298,3750,3676,560,126753,100962,9166,2921,5632,6588,1388,126753,100962,9166,1809,3524,2189,638,774,7691,119737,102833,5720,2223,4073,3752,694,121419,102992,6454,2611,4617,3496,512,74361,38781,33949,72625,37986,34639,73964,32322,34934,75166,38541,36625,75221,34488,40733,69318,42946,26372,72722,33106,39616,71953,34848,37105,83951,39633,42723,95656,45610,46547,95216,43540,51361,92884,42971,49797,91630,44585,46930,85736,63834,0,92969,32289,60529,91861,40793,50952,84017,39194,43195,75386,35917,39273,73138,30185,3025,74902,37423,37384
36,36,128462,105878,6287,3919,10750,2229,658,156732,119539,8690,4878,21862,2824,771,157171,111948,10625,5657,24562,3452,999,157250,111995,10628,5674,24565,3459,999,160145,117680,9495,5803,25026,2987,649,156656,111594,10578,5301,25547,3445,568,109744,91819,4939,2928,8553,1798,491,121202,98848,5571,3181,11115,1393,148,133538,96718,8481,4343,20150,2768,706,133538,96718,8481,2825,16523,497,219,772,7503,123119,98834,6245,3848,12069,1320,129,119991,94537,7098,3501,12422,1705,94,80404,67552,11672,82669,70162,12507,90828,78000,7927,90332,77200,13132,89839,72872,16966,83839,73446,10393,85719,72447,13272,87342,76654,10688,95246,83179,10933,102761,91634,8645,101718,89878,11579,99540,85726,13735,98001,85754,12194,94528,91634,0,99335,71173,28077,98318,78509,19760,93591,82342,10093,80363,72147,8065,78191,60501,407,79056,69560,9110
37,37,136325,45918,11178,35054,44020,3281,1653,157781,58837,13167,38040,47335,3984,1358,156777,57565,14625,33839,48719,4132,1652,157247,57671,14634,34091,48751,4147,1671,159127,61467,14375,35845,47037,4080,1307,158314,62894,14219,34895,45889,4266,1591,108558,40209,7816,24646,35031,2356,1108,112871,50512,6409,22004,30508,1967,433,129010,50803,10940,24459,40562,3257,1238,129010,50803,10940,21177,36599,578,550,636,7727,115238,52573,7076,21313,30975,1802,429,115211,53833,7418,20878,29811,1586,560,57613,49709,7094,61231,54633,6598,67501,59206,5103,66688,60142,6546,66528,57944,8583,63072,56587,6485,63956,56582,7375,65281,58889,6392,74683,66299,7696,84610,74036,8779,83547,74087,9255,81702,71553,10069,80663,71042,9573,77864,75717,0,81418,61997,19326,80885,67766,13072,73723,65403,7613,60731,54661,5948,58958,46840,458,59997,54145,5675
