ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
13,13,19459,11451,1666,1411,2420,2639,642,18895,9717,2490,1052,3385,2722,567,18185,8782,1847,1377,2822,3064,1014,19410,9397,2694,952,3489,3498,452,18401,9288,2479,1312,2736,2909,473,14945,9543,1089,878,1677,1721,360,13920,8123,1345,726,1689,1626,302,14342,7605,1265,935,2105,2155,609,14342,7605,1265,633,1767,1192,483,80,1317,14017,7784,1485,674,1807,1912,270,13539,7730,1488,761,1468,1733,75,8051,3274,4641,7675,3150,3649,7507,1043,3286,6681,3194,3249,7779,3646,3741,8587,4268,3995,8544,4031,4152
14,14,18964,10495,1629,1310,2391,3000,824,17461,9683,1220,1261,2428,2598,751,18213,8944,1635,1339,2561,3266,1018,17646,9673,1411,1299,2262,2582,840,17929,9434,1231,1132,2438,3166,690,15043,8972,1116,878,1761,2146,485,13863,8471,1048,790,1486,1592,297,14827,7892,1166,1009,1960,2388,630,14827,7892,1166,741,1670,1510,522,69,1257,14196,8654,1182,668,1493,1643,285,14552,8489,1027,688,1512,2260,368,8264,4072,4052,7786,3904,2997,7588,1289,3052,6746,3904,2614,7580,4292,2929,8155,4773,3095,8090,4629,3136
15,15,17420,11484,1069,841,2227,1872,408,18972,11706,1409,912,2352,3090,325,18168,10628,1180,853,2811,2573,628,18814,12283,1136,616,2021,2817,472,19125,12180,1319,644,2368,2910,159,12784,9014,634,484,1472,1127,205,13146,8803,721,527,1303,1632,141,13704,8597,752,507,1988,1646,343,13704,8597,752,339,1623,851,251,87,1204,13044,9004,588,399,1030,1727,135,13547,9340,899,368,1103,1710,25,8817,3341,5330,8722,3461,4320,8631,962,4306,8015,3614,4141,9056,4003,4666,9887,4677,4907,9884,4345,5241
16,16,18848,12452,1183,799,2265,2166,459,18925,11846,1348,864,2586,2218,386,18182,10779,1298,825,2426,2592,682,18322,11379,1399,846,2505,2514,552,19026,11615,1432,1209,2644,2667,359,14385,10122,739,470,1604,1379,280,13879,9695,682,368,1569,1263,164,14269,9038,904,530,1791,1736,414,14269,9038,904,343,1460,975,311,97,1141,13845,9541,662,471,1590,1479,150,13924,9510,595,584,1572,1641,4,9731,4390,5174,9323,4471,3848,9198,1260,4162,8466,4656,3514,9487,5066,3995,10222,5742,4132,10207,5409,4479
17,17,17952,10605,1338,1769,1426,2770,693,17110,10106,999,1593,1585,2571,532,18203,9330,1674,2024,1743,2671,1343,17053,9623,981,1942,1806,2648,430,17139,10008,983,2256,1473,2372,479,14756,9448,929,1142,1061,2074,373,13336,8749,511,816,985,1956,270,14949,8356,1192,1391,1369,2020,805,14949,8356,1192,1036,1092,1239,698,141,1195,13274,8487,600,999,1105,1737,242,13567,8878,690,1212,832,1658,273,8014,4766,3065,7953,4673,2429,7773,1357,3096,7114,4645,2184,7866,4982,2538,8375,5445,2685,8308,5239,2839
18,18,20284,12515,2343,2729,1292,1716,446,19703,10361,3262,2709,1454,1379,1302,18023,9352,2537,2305,1469,2412,539,20119,9839,3535,3022,1445,1643,1584,19016,9556,3205,2502,1261,1209,1699,13927,8945,1391,1633,814,1192,242,13586,7901,1894,1491,709,874,643,14130,7541,1823,1672,1035,1976,367,14130,7541,1823,1290,786,1426,269,70,925,14028,7976,1817,1429,692,1174,797,13523,7858,1706,1282,572,1014,993,6145,2419,3634,4939,1813,2451,4621,813,2136,3018,1460,1383,4557,2061,2162,5546,2638,2611,5365,2482,2557
19,19,19470,6640,2241,2827,3507,4041,1490,19562,5444,2798,2555,3633,4060,2054,18243,5157,2475,2640,3305,3671,2279,20019,5318,2858,2779,4002,4308,1882,20519,5149,3432,2247,4303,3133,3026,13241,5586,1339,1644,1853,2490,815,12157,4535,1501,1279,1352,2264,1123,13076,4444,1601,1666,2107,2464,1304,13076,4444,1601,1205,1834,1596,1134,56,1206,11895,4241,1406,1427,1701,2340,808,12162,4326,1584,1155,2060,1935,1034,6229,3294,2815,5351,2977,1820,5205,1092,1945,4637,2834,1618,5353,3149,1909,5892,3469,2194,5817,3391,2093
20,20,18368,10007,1477,1908,2165,3022,564,17884,8713,1646,1485,3172,3006,630,18239,8251,1712,1795,2869,3467,1058,18546,8382,1447,2277,3760,2725,1225,17819,8252,1475,2264,2813,3386,1198,14084,8438,949,1256,1458,2004,324,13263,7291,1141,1134,1468,1855,277,14234,7143,1178,1239,2074,2387,613,14234,7143,1178,930,1647,1499,431,72,1334,13717,7194,985,1440,1689,1734,308,13285,7057,896,1265,1277,1976,290,7438,3312,3970,7555,3505,3092,7349,1201,3117,6533,3558,2727,7465,3897,3139,8093,4362,3376,8035,4200,3443
21,21,18445,11258,1232,2093,1636,2336,622,19099,10487,1867,2068,2051,2332,973,18414,9359,1462,1994,2367,3034,1030,17240,10521,1751,1292,1560,1857,1049,17137,9299,1980,964,2107,3477,322,13703,9192,726,1305,1039,1400,308,14345,9014,1337,1139,993,1431,325,14029,7905,924,1317,1543,2028,626,14029,7905,924,985,1180,1139,473,97,1326,13249,9023,1290,669,681,1167,238,13415,8117,1315,776,1074,1810,169,9377,3903,5299,8823,3739,4111,8686,1332,3713,7911,3888,3779,8886,4299,4170,9581,4915,4332,9556,4689,4509
22,22,17025,7858,1576,2760,2280,2643,854,17843,6778,1721,3127,3385,3902,509,18285,6477,1941,2644,3191,3399,1738,18858,6378,2333,4289,3627,3346,829,18357,5916,1301,4427,3799,3533,948,12035,6421,966,1633,1303,1599,474,11863,5921,1032,1700,1066,1767,294,13349,5477,1327,1787,2007,2209,1040,13349,5477,1327,1343,1693,1317,869,85,1238,11928,5677,1252,2173,854,1633,280,11939,5219,883,2088,1479,1916,255,5966,2684,3169,5846,2443,2640,5639,1004,2316,4922,2461,2250,5938,2909,2672,6729,3475,2985,6566,3275,2944
23,23,17565,14309,963,571,755,1104,89,18693,15316,948,717,957,805,241,18205,13405,1421,758,977,1632,193,17433,14038,1057,681,787,982,164,18096,13823,1481,1188,845,874,99,12546,10507,561,333,465,722,53,13438,11202,693,338,464,508,4,13241,10183,843,470,622,1022,107,13241,10183,843,298,355,454,58,84,966,12747,10626,738,337,384,518,14,13434,10706,995,631,579,441,15,9846,2924,6775,10125,2971,5786,9932,901,4810,8377,3035,5050,10038,3468,6033,11134,4166,6507,11111,3806,6895
24,24,17421,14189,805,444,620,1556,103,18624,14425,1193,740,842,1330,275,18032,13161,1236,581,926,1959,165,19097,15050,1365,508,881,1284,267,17707,13424,1346,535,991,1426,418,12718,10765,481,247,348,928,61,13000,10577,630,365,495,737,155,13509,10322,787,367,540,1262,92,13509,10322,787,248,344,521,45,140,1102,14059,11444,855,299,618,690,110,13388,10690,797,325,562,779,130,9745,2600,6976,9333,2270,5978,9106,707,4057,8008,2440,5314,9458,2797,6178,10576,3418,6699,10377,3080,6871
25,25,16785,13898,621,380,372,1670,118,20316,16106,994,524,568,2249,239,18822,14339,931,436,653,2329,250,20362,15816,1093,556,604,2300,289,19442,14800,1079,566,528,2324,269,11927,10211,329,215,209,1004,68,14497,12029,577,190,254,1339,72,13846,11008,576,256,410,1441,126,13846,11008,576,151,201,776,47,110,977,14974,12133,658,240,310,1450,153,14500,11724,660,313,264,1429,92,8311,2190,5957,9151,2055,6064,9015,676,3715,8186,2437,5476,9382,2636,6283,10302,2992,6930,10223,2925,6857
