ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
17,17,73914,50815,11217,8787,2805,1400,513,72839,47995,12844,8579,3006,1563,456,74304,47073,13259,9104,3022,2523,781,72097,47080,13006,8531,3018,1763,476,73814,47351,13620,8880,3218,1939,676,54106,39607,6519,5503,1977,897,288,50685,36965,6387,5043,1166,856,179,55286,36893,8571,6020,2115,1731,487,55286,36893,8571,4929,1488,266,312,298,2529,50276,36415,6501,5017,1257,814,127,51210,36600,6686,5199,1415,957,155,24112,10322,13065,22282,9161,12615,22409,7967,12644,22375,6363,14927,19313,9275,7795,19109,7479,11630,22329,8658,12618,26485,10764,14995,26335,10969,13751
18,18,70502,63798,3051,1740,731,1583,85,73016,65426,3620,2097,699,1463,14,73947,63569,4019,2186,1116,2980,157,72194,63992,3616,2097,877,1446,5,71951,63225,3520,2328,953,1723,66,51838,47905,1699,891,451,1025,53,53709,49512,1803,1182,203,1006,0,55252,48759,2331,1236,698,1986,98,55252,48759,2331,828,446,421,62,125,2280,53678,49093,1987,1163,375,1080,0,53595,48444,2151,1332,434,1178,0,33969,12516,20500,31548,11126,19552,33516,9924,20833,33385,8967,22904,30777,13644,14160,30407,9397,21010,34163,11390,21207,39135,13145,25014,39097,13629,23524
19,19,74105,46622,12874,12750,1121,2666,141,72775,44378,14856,10866,1373,2521,220,73960,42908,15392,12144,1451,4045,210,72142,43342,14591,11675,1314,2223,226,71570,42272,14705,11978,1340,2154,232,54929,37798,7538,7947,769,1689,93,53205,37239,6996,7123,399,1453,35,56284,35706,9641,7934,1016,2829,133,56284,35706,9641,6434,714,685,65,237,2802,52176,36537,6852,7073,412,1423,46,51401,35749,6707,7105,561,1270,5,29305,18029,10613,25772,16006,9086,25607,14685,8435,25357,13978,10057,23552,16320,5451,23281,13762,9519,25795,15882,8644,28785,18397,9622,28709,18182,8824
20,20,70921,59795,3987,4640,1727,1381,109,74001,60738,4709,5294,2512,1247,80,73301,57164,5714,6213,2249,2592,152,73387,59094,5309,5256,2411,1310,158,74808,59215,6362,5478,2633,1237,116,54467,47405,2357,2888,1165,873,60,55399,48093,2564,2851,1138,722,4,56731,46150,3533,3827,1575,1777,91,56731,46150,3533,2977,1272,382,32,128,2257,55229,47237,2570,3336,1296,731,7,57070,48015,3246,3644,1385,716,7,37643,16292,20628,34657,14697,19249,35628,14350,17996,35263,12592,21096,32918,17895,12351,32594,12360,20234,35873,15702,18509,39636,18499,20146,39641,18653,19161
21,21,69195,52336,7503,6064,2864,924,154,74393,55056,8233,7506,3496,1048,74,74509,52427,9160,7793,3441,1983,124,74801,55186,8410,7863,3197,1085,65,75010,53300,9314,9397,3044,1184,58,53290,42060,4834,3892,2055,631,88,54588,45249,2760,4192,1622,481,2,59107,43883,6002,5161,2599,1444,84,59107,43883,6002,4376,2089,141,42,212,2362,55821,45491,3264,4703,1656,484,4,56609,44846,3943,5546,1749,484,4,34131,17138,16472,32247,15091,16357,34306,16854,14119,33652,14984,16642,31653,18975,10284,31324,17785,13539,35121,19168,14148,39926,23587,15410,39938,22867,14890
22,22,71129,56582,4610,5609,3793,1032,270,75059,57439,6250,6243,4612,1134,305,71959,51807,7470,6515,4362,1918,418,74059,56389,6188,6191,4621,1191,261,72105,54492,6141,6019,4327,1424,386,57953,47513,3131,3727,3057,719,157,58805,48440,3695,4295,1548,739,78,59685,44152,5634,4788,3498,1465,266,59685,44152,5634,3903,2888,263,163,350,2332,58575,47895,3834,4243,1701,832,83,57645,47120,3784,4178,1741,679,80,23070,10495,12111,21101,8977,11507,21532,9341,10107,21635,7170,13438,19862,11280,6514,19525,9137,10388,22099,10390,10561,25171,12765,11610,25239,12767,11323
23,23,67822,53262,6906,4688,2501,807,104,71286,53908,8436,5687,3008,1023,63,72806,51795,9596,5932,3200,2191,197,70638,53750,7919,5119,2973,842,29,72393,54147,8910,5082,3405,1126,80,47862,39016,4094,2718,1657,525,63,47326,39839,2816,2755,1468,344,1,53173,39570,5947,3721,2180,1514,128,53173,39570,5947,3112,1799,186,48,234,2277,47433,40276,2585,2708,1580,359,1,49838,41423,3450,2441,2124,470,0,30931,12869,17531,29129,10835,17583,30364,11399,15909,29702,10109,17297,26697,12944,11432,26463,12323,14140,30720,13306,15627,35641,16843,17887,35568,16262,17142
24,24,75360,63983,6172,3011,1653,1005,95,73529,60957,7051,3154,1698,1107,93,72705,57957,7547,3391,1796,2221,177,72998,60288,7202,3244,1789,1130,175,72652,59446,7503,3291,1995,1188,146,56529,49795,3535,1647,1075,650,52,54540,48000,3081,1743,837,714,0,55836,46362,4544,2021,1232,1600,101,55836,46362,4544,1441,939,250,33,152,2115,54655,47640,3514,1593,899,693,0,54915,47395,4070,1443,1023,644,4,31673,10585,20219,29538,9060,19672,30274,7926,19857,30088,6390,21491,25141,10446,12174,24972,7710,17262,29452,8804,19170,33880,10274,22848,33742,10906,21219
25,25,76497,46091,18837,7532,2946,2489,141,75259,43025,20324,7665,2562,2821,35,73707,39360,19988,8778,3147,4052,234,75096,42899,20006,7472,2972,2885,46,73742,41062,18519,9191,3309,2809,115,56559,38209,10754,4428,2075,1639,95,50802,35690,7628,4378,1519,1590,0,56241,33362,12701,5565,2294,2958,155,56241,33362,12701,4501,1930,675,51,264,2757,51179,36212,7169,4315,1767,1533,0,51064,35416,7228,5236,1779,1392,10,23065,11879,10610,21017,10703,9441,21073,9944,8897,20318,9144,9526,18054,10744,5563,17697,9921,7776,20747,11032,8458,23878,13236,9967,23654,13160,9034
26,26,66840,58375,4234,1542,1620,1374,80,70578,60332,5511,1782,2180,1284,483,73190,59567,6336,2339,2149,2948,168,71445,59989,5681,2029,2650,1683,510,72439,60541,5640,1993,2771,1930,633,46784,41972,2313,743,1012,860,44,48972,43828,2623,680,805,718,65,52832,44334,3686,1295,1418,1994,95,52832,44334,3686,833,1100,396,33,138,2312,49408,43643,2521,858,1080,949,59,51055,44815,2677,940,1172,1074,73,27149,8364,18178,27279,7411,19161,30052,7067,20371,29457,6543,21057,25918,9448,13663,25426,7518,17908,30084,8522,20010,35363,10267,24275,35154,10638,22900
