ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
13,13,37966,21797,2425,12694,761,795,46,41588,20863,3132,13763,3498,877,49,41106,18837,3643,13245,4522,1374,88,40452,19519,3180,12978,4426,826,59,41617,19965,3536,13151,4549,844,128,27971,17648,1416,8165,489,486,31,28091,17066,948,8889,789,369,4,30252,15759,2253,8851,2678,915,48,30252,15759,2253,8204,2554,244,16,140,1082,26568,16011,1035,8336,793,354,0,27472,16263,1405,8413,1098,335,25,16636,10720,5652,15471,10078,5393,15210,9236,5249,12571,7669,4514,12557,7969,4588,7367,0,7367,13935,8431,5147,16620,10602,5686,14419,7097,6315
14,14,36554,31393,2114,1660,1152,352,73,41426,34849,3306,1739,1477,442,45,40857,31992,3768,2514,1747,855,114,40625,33249,3723,1839,1490,524,81,40956,33247,3833,2352,1268,451,23,26512,23432,1222,921,762,217,47,29838,26284,1647,803,860,180,9,30551,24936,2328,1421,1201,583,63,30551,24936,2328,1093,929,87,17,104,1057,29758,25970,1696,960,816,163,17,30837,26527,2102,1304,648,159,0,16823,6906,9664,17118,6590,10528,18929,6888,10728,16378,6298,9427,16361,6731,9630,12256,0,12256,18217,6936,10666,21761,9685,11535,19645,5306,12993
15,15,40602,35776,3810,421,334,351,109,41047,34646,4955,707,348,600,77,41650,33557,6230,580,402,984,52,40830,34311,5188,628,353,518,88,41915,34226,5822,600,375,909,87,30873,28079,2151,225,209,234,68,29547,27430,1257,377,132,300,53,31477,26558,3707,309,267,633,34,31477,26558,3707,187,166,109,8,80,662,29331,27124,1335,339,232,268,69,30372,27464,2044,347,239,268,12,17131,7228,9481,17131,6405,10726,17820,5203,11717,14363,4436,9447,14407,5291,9116,11535,0,11535,16346,5053,10949,19565,6339,12835,18418,3852,13354
16,16,37832,35718,1357,270,156,353,40,37372,34628,1737,427,245,432,62,38045,34549,1964,396,310,771,82,37399,34571,1749,397,207,504,77,38088,35011,1837,445,251,550,89,28521,27366,707,126,93,221,25,27860,26700,644,175,79,234,29,28935,26797,1162,202,181,510,57,28935,26797,1162,78,107,102,22,58,609,27850,26739,583,155,80,273,53,28453,27138,712,156,107,265,48,18722,6600,11566,17927,5526,12401,19070,4390,13599,16190,3993,11698,16249,4563,11686,13005,0,13005,18095,4389,13334,21436,5617,15372,20103,3259,15636
17,17,39688,24823,8531,970,787,4850,93,38817,22014,9516,1646,985,5260,17,40122,20939,10757,2328,955,5383,275,38766,21677,9586,1800,1027,5446,4,39698,21744,10389,2177,1084,5075,9,28504,19917,4803,644,545,2694,57,24819,17810,3195,702,377,2804,0,29050,17000,6671,1523,707,3173,176,29050,17000,6671,1375,577,2635,96,104,592,25051,17511,3620,750,360,2887,0,25992,17566,4345,865,518,2767,0,13377,5662,7276,12246,5342,6904,12767,4256,7840,10166,3393,6444,10192,3825,6367,7623,0,7623,11655,4002,7441,14154,5123,8735,13297,3922,8726
18,18,27391,21242,1183,3962,928,316,55,35091,25534,2027,5900,1488,489,196,41317,28684,2537,6207,3195,873,90,36504,26894,2189,5888,1331,435,171,40743,29829,2662,5895,1871,657,65,19335,15720,671,2309,559,168,30,23659,18999,1030,3015,377,183,31,29280,21400,1519,3712,2093,564,54,29280,21400,1519,3305,1860,105,23,98,970,24871,19980,989,3174,444,154,25,28264,22745,1004,3286,847,326,5,12364,5867,6336,12931,5110,7821,15238,6586,7783,13905,6268,7144,13903,6687,7216,9974,0,9974,16273,7184,8640,21516,10539,10564,19395,6341,11885
19,19,38678,32782,4551,680,247,595,38,38969,31727,5353,784,666,679,13,39550,31610,5578,741,633,1122,57,38857,31439,5500,710,735,760,0,39533,31701,5764,897,823,1002,117,28941,25591,2578,337,157,339,22,27753,24773,2028,383,202,333,0,29672,24728,3467,417,418,669,50,29672,24728,3467,302,325,240,9,66,535,27531,24570,2030,329,209,354,0,28183,24789,2254,362,398,311,0,15848,4543,10896,15151,3737,11414,16017,2909,12235,11951,2407,9175,11922,2762,9160,10068,0,10068,14286,2811,11163,17935,3721,13837,16968,2566,13346
20,20,40459,35860,1651,1567,1159,271,81,39809,34781,2069,1608,1193,427,11,41464,34123,2883,2086,1513,831,72,41361,35839,2551,1864,1114,280,4,42094,35495,2799,2172,1373,350,0,31399,28564,1028,881,780,162,48,29362,27032,876,823,441,162,4,31968,27269,1753,1215,1049,558,58,31968,27269,1753,986,859,87,27,74,913,30448,27893,1090,974,357,138,0,31367,28116,1383,1130,576,153,0,22460,9912,12244,22302,8530,13772,21532,9665,10659,19197,9188,9449,19190,9668,9522,13402,0,13402,20621,9594,10463,24130,12803,10858,20714,6565,12721
21,21,32939,28586,1558,1212,1334,377,28,37810,31101,2997,1545,1898,585,153,39105,31025,2531,2214,2614,858,66,38834,31812,3210,1306,2033,573,152,40747,32686,3065,1801,2579,841,118,23316,20779,871,583,902,225,20,26666,23164,1520,836,837,251,4,28418,23248,1537,1239,1866,518,49,28418,23248,1537,951,1669,126,18,70,799,27608,23715,1758,781,995,212,4,28557,24274,1655,1056,1215,253,4,13999,6511,7230,14981,6674,8307,15283,5482,8787,13077,6064,6491,13036,6301,6735,9273,0,9273,15208,6341,8402,19391,8531,10389,17670,5388,11234
22,22,36765,31374,4675,292,226,388,34,37579,30012,6588,389,362,226,5,38693,29443,7543,652,352,796,34,37728,29760,6922,404,382,245,5,38560,29672,7622,452,409,363,13,26960,23919,2660,156,121,209,24,25795,23135,2146,187,194,104,4,28527,22690,4769,388,222,508,20,28527,22690,4769,240,158,73,5,81,511,25960,22946,2426,209,202,137,4,26502,23017,2770,256,280,191,0,15331,4258,10652,14837,3469,11368,16098,2945,12466,12591,2591,9620,12595,2770,9825,10494,0,10494,14664,2815,11611,17993,3662,14045,17107,2466,13736
