ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep
183,183,63594,59415,2179,1132,758,288,42,64703,58331,3954,1693,474,550,36,66074,57252,4681,2238,1049,837,79,66148,57314,4686,2266,1061,837,79,65294,58164,4565,1747,633,418,68,65900,57145,5599,1740,978,392,45,49634,47171,1251,593,498,195,24,50303,46979,2148,650,254,239,0,52999,47427,2852,1310,689,602,50,52999,47427,2852,887,546,18,10,165,1094,51379,47323,2673,712,418,212,4,51670,46606,3504,745,574,181,4,30064,14693,14830,28680,12640,16040,32201,11131,19756,31602,11278,19194,30521,12478,18043,25677,11360,13870,25751,12271,13046,31687,12686,18313,38378,15094,22824,37364,15112,21207,37129,13494,21981,37173,14123,21739
184,184,59829,36506,6994,5217,11329,450,114,62685,34858,9180,5349,14061,529,171,63988,35945,9965,4317,13556,992,124,64108,35989,9975,4374,13560,992,124,62057,34501,9670,4526,14093,637,81,60009,33331,10366,4175,12282,592,133,48539,31567,4970,3721,8321,345,74,43581,29824,3380,3138,6970,134,19,51669,31373,6585,3291,10114,748,96,51669,31373,6585,2667,9654,21,12,215,1142,41868,29588,3103,2080,6877,121,8,41451,29110,3594,2308,6213,201,4,24926,16231,8387,22574,16879,5695,26601,17997,7835,25443,17646,7386,24832,18347,6485,21277,16348,4592,21279,16609,4393,25386,17967,6947,29672,19957,9486,28103,19168,7986,27708,18238,8343,27997,18923,8009
185,185,61024,24427,1780,31112,3916,476,110,63785,23606,3086,33176,4887,621,29,61628,22111,2749,31605,5159,636,85,61863,22146,2753,31715,5170,636,85,62941,22590,3076,34232,3941,506,38,63572,21591,3105,35576,3952,470,19,45544,20790,1186,20809,2822,323,68,43865,19361,1667,19899,2526,362,0,48042,19027,1902,23070,3931,472,65,48042,19027,1902,22072,3661,71,6,174,1129,44054,18553,1424,21611,2079,373,0,44901,18357,1548,22614,2198,276,0,26576,19319,7048,26274,20482,5792,27415,19952,7000,26393,19352,6772,26010,19826,6184,21286,16624,4459,21316,16886,4250,25863,19036,6531,30229,21186,8891,28812,20276,7895,28482,19490,8139,28688,20058,7955
186,186,58365,10068,2526,39594,6674,648,120,58689,16835,4148,32110,6200,687,47,61995,19245,4428,30034,8361,992,107,62436,19260,4432,30346,8361,993,107,59413,17904,3378,31066,7496,503,31,58262,17791,4458,28597,7797,678,44,43642,9162,1714,28009,4968,443,84,44766,14870,2238,23894,3290,406,15,49985,17211,3171,22875,6614,769,80,49985,17211,3171,21470,6098,126,6,244,1659,44708,15300,1724,23296,3949,328,0,43424,15468,2212,21158,4086,447,0,28135,26021,1963,28616,27013,1603,29678,26994,2065,28831,25939,2537,28395,26034,2361,24353,22631,1408,24410,22814,1358,28724,26076,2241,33382,30062,3117,32080,28076,2989,31915,27709,3159,31973,27626,3294
187,187,60840,53770,2588,1694,2783,245,37,65313,55092,4159,3017,3257,198,26,66265,53249,5127,3168,4062,757,45,66296,53272,5130,3172,4063,757,45,66995,55448,5355,3247,3191,161,42,66452,53040,7115,3288,2860,390,50,46104,41738,1528,973,1825,147,20,49350,43464,2577,1369,1648,181,4,51569,42934,3212,1983,2851,535,35,51569,42934,3212,1481,2612,35,6,148,1141,49817,43834,2740,1441,1558,155,20,49111,42347,3729,1272,1423,228,35,30478,14390,15642,29561,12508,17053,33503,13467,18750,33494,12547,19601,32660,13911,18749,27836,13500,13907,27874,14487,12948,33386,14839,17805,39378,17865,21062,38787,17235,20450,38609,15599,21371,38593,16189,21080
188,188,60172,19130,2458,30224,8733,698,126,59349,20106,3406,28519,7531,618,95,61564,21037,3950,26000,10663,886,101,61778,21042,3953,26128,10663,886,101,57199,20051,3522,26546,7771,490,273,57652,21548,3424,24920,8166,473,204,51203,18258,2037,22935,8153,544,104,44984,18226,2687,20429,3425,308,50,53291,19403,3354,20698,9720,690,78,53291,19403,3354,19065,8814,65,21,362,2207,43897,17871,2656,19348,3634,286,60,44519,18344,2614,18979,4116,222,45,29864,27889,1774,27139,25505,1634,29146,27263,1138,28550,26375,1903,27929,26176,1753,24064,22857,769,23979,22807,780,26920,25166,1208,28383,26923,1287,27535,24815,1378,27420,24861,1457,27443,24585,1556
189,189,59937,40806,8579,9188,1983,600,70,58999,36388,10665,11317,1908,753,77,61794,35428,11861,12328,2496,1271,134,61876,35471,11872,12357,2500,1271,134,58675,34912,10386,13576,1762,636,104,60663,34956,12159,13629,1386,641,105,46342,33520,5525,6089,1417,417,42,45793,30774,7161,6405,1046,257,20,49419,30181,8316,8933,1914,919,81,49419,30181,8316,7273,1593,81,20,356,1599,44847,29508,6538,7478,951,168,25,47005,30106,8019,7824,697,238,0,24345,14763,9239,21337,12852,8485,24628,13145,10685,23713,13015,10017,23129,13202,9927,19454,11630,7538,19482,11993,7217,24037,13700,9846,28959,16469,12179,28458,16104,11393,28290,15245,11719,28314,15452,11818
190,190,63997,4733,1784,56468,1593,792,71,61502,4752,2030,53415,1934,1030,175,61240,4230,2725,53306,1650,824,108,61771,4237,2746,53542,1650,825,108,57933,4268,2141,50242,1821,947,160,59341,4143,2585,51444,1715,1140,459,49906,4502,1221,43048,1423,563,51,45956,4101,1361,39383,594,443,25,48635,4006,1878,41603,1438,643,81,48635,4006,1878,39855,1221,97,22,203,1353,44264,3509,1339,38059,703,358,20,45757,3493,1471,39372,756,482,25,34554,33685,757,34195,33627,568,31350,30273,749,30405,29267,930,30160,29325,835,24168,23579,457,24150,23568,460,28240,27261,779,30633,29289,1206,29224,27587,1074,28996,27328,1010,29078,27272,1270
191,191,61060,3419,1392,55034,1828,667,118,61292,3385,1632,55277,1444,459,53,62188,2576,2246,56049,1882,910,69,62629,2590,2251,56224,1882,910,69,61441,3264,1889,56175,816,592,34,62927,3048,2568,57480,1046,1105,48,44333,3092,902,39305,1317,476,86,42372,3122,967,37377,608,180,10,46806,2358,1476,41813,1436,659,54,46806,2358,1476,40110,1244,107,9,244,1258,43053,2964,1215,38214,372,231,10,44015,2778,1356,39018,495,220,10,29800,28615,1054,30220,29527,693,28534,27358,892,27688,26526,1024,27454,26511,943,22125,21497,522,22178,21549,542,26085,25025,895,28657,27251,1293,27699,26017,1153,27533,25772,1107,27589,25744,1322
192,192,60803,5934,1493,52926,955,727,101,65510,4717,2282,58110,1015,276,207,61027,5230,1939,52916,1453,876,96,61419,5238,1943,53093,1453,877,96,64609,4586,1990,57564,1286,345,208,65224,4697,1914,57826,1316,495,161,45998,5546,1005,38924,740,521,91,47179,4201,1431,40744,622,193,0,47688,4626,1367,40722,1229,674,69,47688,4626,1367,39066,1010,102,5,206,1306,46923,4209,1253,40517,607,211,0,47245,4247,1160,40900,557,215,1,33214,31823,1293,32746,31741,1005,31429,29868,1169,30529,28854,1429,30280,29034,1246,25437,24640,647,25463,24678,663,29111,27787,1081,31606,30078,1371,30474,28662,1206,30234,28448,1159,30315,28364,1374
