ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
45,45,17294,14532,769,871,837,372,32,22328,18010,1317,842,1682,486,23,23558,18322,1423,1512,1470,949,34,22652,18137,966,1291,1571,740,0,22373,17499,944,1769,1411,718,0,13134,11257,505,577,588,249,26,16192,14269,484,609,507,321,0,18484,14795,974,1024,1059,673,21,18484,14795,974,748,883,197,5,67,815,16254,14199,392,678,538,394,0,16690,14086,467,1072,579,416,0,9447,5644,3651,9298,5275,3806,10689,6555,3280,10758,6132,4234,11091,8148,2389,10883,6794,4089,11790,7738,3641,13707,9470,3942,13706,9343,3923
46,46,24125,19447,1250,1439,1447,794,56,24550,19148,1945,1902,1278,754,21,23753,17736,1838,1877,1305,1108,57,24214,18581,1914,2116,1256,696,30,23784,18118,1774,1879,1315,1083,37,21706,17927,1009,1080,1278,563,48,20931,17186,1530,1285,475,511,1,20942,16029,1431,1442,1170,840,42,20942,16029,1431,1066,873,306,22,104,1111,20999,16915,1588,1393,591,507,0,20593,16532,1372,1333,672,612,8,10021,7924,1841,7700,6004,1374,7591,5937,975,7629,6049,1222,7672,6737,607,7530,6407,1123,7886,6544,1031,8465,7120,1165,8480,7042,1089
47,47,23433,21987,487,239,136,645,18,23213,21300,655,303,150,857,18,22746,20236,745,330,175,1105,54,23612,21442,687,355,230,910,19,22725,20575,756,398,184,793,0,17744,16879,274,113,81,419,13,17969,16749,413,152,64,600,7,17473,15819,432,189,117,771,32,17473,15819,432,114,67,237,24,36,744,18452,17147,403,158,173,572,4,17835,16617,384,174,174,560,0,11085,4410,6366,10268,3886,6119,10732,3443,6531,10805,3353,6932,9938,4504,4448,9810,3465,6345,10955,3926,6548,12548,4420,7826,12546,4576,7302
48,48,21673,17667,814,852,2230,145,38,23612,17128,1383,1116,3880,128,27,23506,16626,1308,1152,3877,416,50,24672,17339,1569,1434,4148,157,10,24588,17754,1251,1059,4311,204,38,15096,12536,501,553,1430,94,19,15445,12671,614,634,1408,66,20,17567,12966,828,752,2638,289,31,17567,12966,828,608,2495,32,14,58,566,16211,12867,774,753,1668,136,10,16651,13341,617,589,1918,150,4,11144,4346,6704,11079,3883,7036,11537,4907,5659,11341,4133,6717,10722,5670,4345,10620,5021,5599,11904,5624,5797,13610,7157,6249,13629,6889,6236
49,49,22456,17980,1345,1219,1804,191,44,22950,18121,1338,1348,2082,121,37,23860,17484,1715,1599,2416,547,49,22667,17177,1225,1636,2497,178,23,22255,17061,1167,1679,1895,395,51,15177,12420,798,710,1142,123,30,15708,13020,645,717,1245,40,4,17638,13370,1117,1026,1658,368,35,17638,13370,1117,845,1507,33,19,66,681,16143,12796,627,1049,1594,82,8,16249,13162,714,942,1180,215,4,10897,4385,6385,10547,3715,6650,11105,4481,5624,10851,3876,6398,9887,5083,4102,9780,4690,5090,11290,5204,5565,13061,6617,6173,13075,6451,6044
50,50,22490,20571,955,448,185,447,23,22885,21184,998,322,84,247,3,23076,20092,1108,541,282,1028,39,22922,20648,1160,425,326,416,0,22476,20126,890,489,374,580,0,16399,15316,525,210,103,287,15,17026,15982,597,224,32,201,0,17361,15478,676,283,178,692,22,17361,15478,676,164,104,160,9,36,734,17188,15677,689,309,176,322,0,16740,15246,596,312,209,394,0,12052,4583,7230,11363,4217,6898,11851,3726,7076,11710,3358,7862,10969,5390,4665,10838,3314,7524,12022,4267,7192,13448,4798,8291,13421,5034,7741
51,51,20211,18372,771,475,322,352,23,21251,18864,1031,583,616,254,33,22839,19533,1388,697,450,778,51,21415,19023,1141,587,452,310,21,22358,19486,1494,681,366,578,49,14901,13848,440,228,193,216,15,15062,14102,452,154,190,156,4,16750,14753,791,365,269,493,34,16750,14753,791,278,163,70,22,33,640,15332,14293,528,228,106,164,4,16050,14602,687,333,163,243,4,9480,2961,6271,8916,2664,6013,9755,2580,6318,9825,2072,7223,8971,3733,4218,8846,2605,6241,10104,3052,6542,11861,3704,7825,11847,3831,7410
52,52,22224,19021,1151,1057,784,328,32,22948,19553,1258,774,1087,324,0,23602,19008,1577,1373,1055,644,44,23402,19664,1494,879,893,328,0,23159,19672,1254,911,992,212,28,16905,14868,689,671,525,214,15,17215,15324,760,578,417,147,0,18247,15214,987,843,721,463,27,18247,15214,987,669,636,117,4,28,592,17344,15148,760,718,600,119,0,17410,15266,697,708,611,86,0,12975,5296,7526,12280,4726,7347,12887,5177,6569,12773,4328,7983,12143,6645,4680,12031,4284,7747,13097,5653,6911,14312,6687,7323,14371,6730,7161
53,53,22585,18293,1522,1989,548,516,45,23916,19173,1729,2188,681,355,0,23144,16949,2237,2651,768,903,48,22507,17152,1678,2217,599,374,0,22503,16856,2504,1845,710,463,0,18167,15386,923,1205,394,333,28,18356,15680,1004,1202,260,229,0,18712,14533,1446,1656,566,634,31,18712,14533,1446,1285,474,128,16,58,772,17636,15000,969,1251,233,194,0,17805,14668,1340,1151,322,306,0,11847,5793,5831,10683,5287,5183,10692,5031,4638,10564,4492,5586,9824,5926,3080,9711,4343,5368,10702,5433,4750,11748,6407,5049,11725,6386,4767
54,54,22347,20612,773,510,141,382,20,21830,18878,806,1705,367,266,32,22912,19831,1221,779,248,842,28,22030,19290,1137,1143,425,239,81,22096,18935,1416,1259,231,291,25,16665,15697,402,257,76,253,10,16323,14830,373,685,198,186,0,17299,15473,683,374,145,565,15,17299,15473,683,235,83,103,5,35,682,16521,15145,468,459,189,177,0,16567,15152,628,491,108,205,0,11619,4286,7028,10708,3831,6599,11002,3258,6823,10933,3055,7240,9988,4352,4568,9916,3080,6836,11024,3652,6815,12352,4056,7987,12305,4243,7343
